English	German	probability
θ_#>	d̥_#>	1.0
ˈʊ_ɫ	ˈɔ_l	1.0
ˈʊ	ˈuː	1.0
ˈəʊ̯_ɫ	ˈa_l	1.0
ˈəʊ̯_#>	ˈeː_#>	1.0
ˈəʊ̯	ˈaɪ̯	1.0
ˈɐ_n	ˈoː_n	1.0
ˈæ_n	ˈa_n	1.0
ˈæ	ˈa	1.0
ˈe_n	ˈɛ_n	1.0
ˈe_d	ˈoː_t	1.0
ˈaʊ̯_#>	ˈuː_#>	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaɪ̯_t	ˈa_x	1.0
ˈaɪ̯_n	ˈɪ_n	1.0
ˈaɪ̯_#>	ˈiː_ɡ_n_#>	1.0
ʧ	ç	1.0
ʤ	k_ə	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɹ	ʁ	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɪ	ɪ_ç	1.0
ə_#>	ɐ_#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
z	z_ə	1.0
w	v	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
p_#>	f_#>	1.0
p	f_n	1.0
n_#>	n_#>	1.0
n	n	1.0
m	m_ə	1.0
l_#>	l_ə_#>	1.0
l	l	1.0
k_ɪ	k	1.0
j	ɡ	1.0
f_#>	b̥_#>	1.0
<#_θ	<#_d	1.0
<#_ˈɐ	<#_ˈʊ	1.0
<#_ˈæ	<#_ˈa	1.0
<#_ˈeɪ̯	<#_ˈa	1.0
<#_ʧ	<#_kʰ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ɹ	<#_ʁ	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#_v	1.0
<#_tʰ	<#_ʦ	1.0
<#_pʰ	<#_p͡f	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_kʰ	1.0
<#_j	<#_j	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_tʰ	1.0
<#_b	<#_b	1.0
#>	t_#>	1.0
m_#>	m_#>	0.8
t_#>	s_#>	0.769
<#_s	<#_z	0.606
ˈɜː	ɐ	0.6
ˈɒ	ˈa	0.6
ə	-	0.6
k_#>	ç_#>	0.6
<#	<#_ˈɛ	0.571
d_#>	t_#>	0.542
ˈuː	ˈuː	0.5
ˈuː	n	0.5
ˈiː_#>	ˈiː_ɐ_#>	0.5
ˈiː_#>	ˈaɪ̯_#>	0.5
ŋ	ŋ_ə	0.5
ŋ	ŋ	0.5
ð	t	0.5
ð	d	0.5
ˈɪ	ˈɪ	0.485
ˈaɪ̯	ˈaɪ̯	0.474
ˈɐ	ˈʊ	0.467
d_#>	d̥_#>	0.458
d	d	0.444
<#	<#_kʰ	0.429
ˈɜː	ˈʊ_ɐ	0.4
ˈɒ	ˈɔ	0.4
ə	ʁ_ə	0.4
v	f	0.4
k_#>	x_#>	0.4
<#_s	<#_ʃ	0.394
ˈe	ˈɛ	0.385
k	k	0.364
ˈɔː	ɐ	0.333
d	t_n	0.333
ˈɑː	ˈaː	0.308
v	b_n	0.3
v	b	0.3
ˈeɪ̯	ˈaː_ɡ	0.273
ˈeɪ̯	ˈaː	0.273
ˈeɪ̯	ˈa	0.273
k	ç	0.273
ˈɔː	ˈɔ_ɐ	0.267
ˈɐ	ˈaʊ̯	0.267
t	t	0.261
ˈɑː	ˈa_ɐ	0.231
t_#>	ʦ_#>	0.231
ˈiː	ˈiː	0.227
ˈiː	ˈaʊ̯	0.227
d	d_n	0.222
t	s_n	0.217
ˈaɪ̯	ˈɪ	0.211
m_#>	m_ə_#>	0.2
ˈiː	ˈyː	0.182
ˈiː	ˈaː	0.182
ˈeɪ̯	ˈeː	0.182
k	n	0.182
k	k_n	0.182
t	ʦ	0.174
t	ç	0.174
t	s	0.174
ˈaɪ̯	ˈɔʏ̯	0.158
ˈaɪ̯	n	0.158
ˈɑː	ˈɛ_ɐ	0.154
ˈɑː	ˈa_l	0.154
ˈɑː	ˈa	0.154
ˈe	ˈeː	0.154
ˈe	ˈaɪ̯	0.154
ˈe	ˈa	0.154
ˈe	-	0.154
ˈɪ	ˈʏ	0.152
ˈɔː	ˈɔ	0.133
ˈɔː	ˈa_ɐ	0.133
ˈɔː	ˈa	0.133
ˈɐ	ˈɔ	0.133
ˈɐ	ˈuː	0.133
ˈɪ	ˈiː	0.121
ˈiː	ˈuː	0.091
ˈiː	ˈeː	0.091
ˈɪ	ˈɛ	0.061
ˈɪ	ˈøː	0.061
ˈɪ	ˈeː	0.061
ˈɪ	ˈaɪ̯	0.061
