Portuguese	Portuguese	probability
ˈɨ	-	1.0
ˈɐ_ɲ	ˈa_ɲː	1.0
ˈũ	ˈu_n	1.0
ˈu	ˈu	1.0
ˈo_ð	ˈu_tː	1.0
ˈi_ɲ	ˈi_n	1.0
ˈi_ɣ	ˈi_k	1.0
ʃ_#>	#>	1.0
ɾ_#>	ɪ_#>	1.0
ɫ_s	r_s	1.0
ɡ	ɡ	1.0
ɔ	o	1.0
ɐ̃	-	1.0
ɐ_β	ˈa_p	1.0
ɐ_ð	a_t	1.0
ð_ɨ_#>	#>	1.0
z	-	1.0
ũ	v_i	1.0
u_ʃ	ɪ	1.0
t_ɾ	ʈ_ɽ	1.0
s_u	ʦː_ʊ	1.0
p	p	1.0
õ	u_n	1.0
l_ɐ	ɖː_a	1.0
j_ʃ	ʃː	1.0
j_t	tː	1.0
j_#>	ɪ_#>	1.0
ĩ	-	1.0
i_ʃ	ʃ	1.0
ẽ	ˈɛ_d	1.0
b	b	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_c	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_b	<#	1.0
f	f	0.952
ˈa	ˈa	0.949
ˈɛ	ˈɛ	0.909
v	v	0.906
m	m	0.897
ɐ	a	0.89
k	k	0.886
ˈi	ˈi	0.857
ɲ	ɲː	0.857
u	ʊ	0.857
d	d	0.818
ð	t	0.8
#>	ɪ_#>	0.765
t	t	0.759
l	l	0.719
β	p	0.7
i	-	0.667
n	nː	0.625
j̃	ɪ	0.625
ɾ	ɾ	0.622
ˈe	ˈi	0.613
ˈẽ	ˈɛ_n	0.6
ʒ	j	0.6
w	w	0.6
ʁ	ʐ	0.583
ɫ	l	0.571
ɨ	ɪ	0.561
ˈɔ	ˈɔ	0.556
w̃	n_ʊ	0.556
ʎ	ɟː	0.538
s	s	0.526
ˈo	ˈɔ	0.515
ˈɐ_j	ˈɛ	0.5
ˈɐ_j	ˈi	0.5
ˈĩ	ˈi_ŋ	0.5
ˈĩ	ˈi_n	0.5
ɣ	k	0.5
ˈɐ̃	ˈa	0.474
ˈɐ	ˈa	0.462
ʎ	cː	0.462
ˈɔ	ˈu	0.444
w̃	n	0.444
j	j	0.417
ˈẽ	ˈɛ	0.4
ʒ	ʤ	0.4
ˈo	ˈu	0.394
ʃ	ɕ	0.381
n	n	0.375
j̃	-	0.375
ˈõ	ˈɔ_n	0.333
ˈõ	ˈo_n	0.333
ˈõ	n	0.333
ɣ	ɡ	0.333
i	i	0.333
ɾ	r	0.324
ˈɐ	ˈi	0.308
β	-	0.3
ɫ	-	0.286
l	ɖː	0.281
ˈɐ̃	ˈa_n	0.263
ʁ	-	0.25
j	i	0.25
ʃ	s	0.238
s	ɕ	0.237
ˈɐ	ˈɛ	0.231
ɨ	i	0.22
ð	-	0.2
w	l	0.2
w	-	0.2
ˈe	ɪ	0.194
d	nː	0.182
ʁ	ʐː	0.167
ɣ	-	0.167
j	n	0.167
j	-	0.167
ˈɐ̃	ˈu	0.158
#>	ʊ_#>	0.147
ˈi	-	0.143
ʃ	ɪ	0.143
ʃ	j	0.143
ɲ	ɲ	0.143
ɫ	lː	0.143
t	tː	0.138
ɨ	ʊ	0.122
k	kː	0.114
ˈɐ̃	ˈa_ŋ	0.105
m	mː	0.103
ɨ	-	0.098
ʃ	ç	0.095
ˈɛ	ˈi	0.091
ˈo	ˈa	0.091
#>	a_#>	0.088
s	sː	0.079
u	u	0.077
t	ʧː	0.069
ˈe	ˈi_ɾ	0.065
ˈe	ɾ	0.065
ˈe	-	0.065
v	b	0.062
ɾ	-	0.054
s	ʦ	0.053
s	ʃː	0.053
s	-	0.053
ˈa	-	0.051
