Romanian	Romanian	probability
ˈɨ_n	ã	1.0
ˈu_n	ɒ̃ʊ̯̃	1.0
ˈo_w	œ_f	1.0
ˈo_s	o	1.0
ˈo_k	øʏ̯	1.0
ˈo_j	u	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈi_m	ã	1.0
ˈi_k	i	1.0
ˈe_ʤ	w	1.0
ˈe_l	oʊ̯	1.0
ˈa_ʧ	æɛ̯	1.0
ˈa_s	e	1.0
ˈa_r	e	1.0
ˈa_p	ɛ	1.0
ˈa_l	oʊ̯	1.0
ʧʲ	-	1.0
ʦʲ	-	1.0
ɨ_n	ã	1.0
ə_#>	#>	1.0
ə	-	1.0
ŋ	ɡ	1.0
w	-	1.0
v	v	1.0
t_ˈi	æɛ̯	1.0
t_ə_#>	#>	1.0
t_#>	#>	1.0
r_t	ʁ	1.0
r_#>	#>	1.0
p_t	i	1.0
p_j	p	1.0
p_#>	#>	1.0
o	-	1.0
nʲ	-	1.0
n_u	œ̃ʏ̯̃	1.0
n_t	ã	1.0
n_i	ɑ	1.0
n_e	d	1.0
kʲ	j	1.0
k_ə_#>	ʃ_#>	1.0
k_r	k_ʁ	1.0
k_#>	#>	1.0
j_ˈe	æɛ̯	1.0
i	-	1.0
f_o̯ˈa	f	1.0
f	f	1.0
e_r	ʁ	1.0
e_n	œ_n	1.0
e_d	w	1.0
e_#>	#>	1.0
d	-	1.0
<#_ˈa	<#	1.0
<#_s	<#	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
m	m	0.828
l	l	0.818
b	b	0.778
<#_t	<#_t	0.75
r	ʁ	0.73
n_ə_#>	n_#>	0.727
ʤ	ʒ	0.7
p	p	0.69
s	s	0.682
ʃ	s	0.667
z	ʣ	0.667
ʒ	ʒ	0.6
a	-	0.571
t	t	0.56
ɡ	ɡ	0.545
ʧ	s	0.533
ˈə	w	0.5
ˈə	-	0.5
e	ɛ	0.5
e	-	0.5
#>	ɛ_#>	0.5
#>	øʏ̯_#>	0.5
ˈa	æɛ̯	0.448
ˈɨ	ẽɪ̯̃	0.444
e̯ˈa	-	0.429
a	æɛ̯	0.429
k	k	0.414
ˈi	i	0.4
ʦ	-	0.4
ʒ	d	0.4
n	ẽɪ̯̃	0.4
u	-	0.389
o̯ˈa	-	0.385
k	ʃ	0.379
ˈo	ɑɔ̯	0.375
ˈo	u	0.375
t	-	0.36
ˈe	ɛ	0.348
ˈɨ	æɛ̯	0.333
ʧ	-	0.333
ʃ	-	0.333
z	-	0.333
j	j	0.333
ʤ	-	0.3
e̯ˈa	ɛ	0.286
e̯ˈa	w	0.286
ˈi	ɪ	0.28
u	u	0.278
j	-	0.278
ɡ	-	0.273
n_ə_#>	#>	0.273
n	n	0.267
ˈo	ɥ	0.25
<#_t	<#	0.25
ˈi	-	0.24
o̯ˈa	ɥ	0.231
o̯ˈa	ɑɔ̯	0.231
s	e	0.227
ˈɨ	-	0.222
u	ɔ	0.222
b	-	0.222
ˈe	w	0.217
p	-	0.207
ʦ	t	0.2
ʦ	s	0.2
ʦ	a_s	0.2
n	-	0.2
ˈu	u	0.194
ˈu	-	0.194
ɡ	l	0.182
l	-	0.182
ˈe	j	0.174
ˈe	-	0.174
ˈa	a	0.172
m	-	0.172
j	i	0.167
ˈu	ɒ̃ʊ̯̃	0.161
ˈu	y	0.161
o̯ˈa	aœ̯	0.154
ˈa	ɛ	0.138
k	-	0.138
ʧ	k	0.133
n	ã	0.133
u	ɑɔ̯	0.111
j	ʒ	0.111
j	ɲ	0.111
ˈa	e	0.103
p	v	0.103
ˈu	w	0.097
r	l	0.095
s	-	0.091
ˈe	ɪ	0.087
ˈi	j	0.08
t	ʁ	0.08
ˈa	œ_v	0.069
ˈa	-	0.069
k	ɡ	0.069
ˈu	ʊ	0.065
ˈu	ɥ	0.065
ˈu	ɔ	0.065
r	ɛ_ʁ	0.063
