American English	Old High German	probability
θ	d	1.0
ˈɪ_n	ˈi_n	1.0
ˈɛə̯	ˈɑ	1.0
ˈɛ_ɫ	ˈɛ_l	1.0
ˈi_ɚ	r	1.0
ʤ	kː	1.0
ʃ	s_k	1.0
ɾ	s̻ː	1.0
ɹ_n	r_n	1.0
ɹ	r	1.0
ɪ	u	1.0
ɡ	ɡ	1.0
ə	ɑ	1.0
w_ˈɔ	w_ˈɑ	1.0
w	w	1.0
tʰ	ʦ	1.0
t	t	1.0
s	s	1.0
pʰ	p͡f	1.0
oʊ̯	-	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ɑ_ɡ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
m	m	0.924
d	t	0.869
n	n	0.828
ˈɔ	ˈo	0.714
ɫ	l	0.704
ˈaʊ̯	ˈuː	0.69
ˈoʊ̯	ˈei̯	0.687
ˈeɪ̯	ˈɑ	0.647
z	s	0.642
ŋ	ŋ_ɡ	0.614
ˈʌ	ˈu	0.599
ˈɝ	ˈu_r	0.589
ˈæ	ˈɑ	0.586
ˈɑ	ˈɑ	0.572
ʧ	kʰ	0.57
ˈɪ	ˈi	0.569
ð	d	0.558
p	f	0.537
ˈʌɪ̯	ˈiː	0.5
ˈʊ	ˈuo̯	0.5
ˈʊ	ˈo	0.5
ˈu	ˈuo̯	0.472
k	x	0.469
ʔ	s̻	0.461
ɚ	ɑ_r	0.448
ð	t	0.442
v	b_ɑ	0.432
ʧ	xː	0.43
ˈɝ	r	0.411
ˈaɪ̯	ˈi	0.393
ŋ	ŋ	0.386
z	s_ɑ	0.358
v	f	0.328
ˈʌɪ̯	x	0.3
ˈaɪ̯	ˈiː	0.294
ˈɔ	ˈu	0.286
ˈu	ˈiu̯_w	0.268
p	f_ɑ	0.268
ˈu	ˈɑ_n	0.26
k	kː	0.259
ɚ	r	0.256
ˈæ	-	0.244
ˈɪ	ˈu	0.24
v	b	0.24
ˈɛ	-	0.229
ˈɛ	ˈe	0.224
ˈɛ	ˈɛ	0.214
ˈi	ˈɑː	0.212
ˈʌɪ̯	ˈɑ_x	0.2
ˈɑ	ˈo	0.2
k	xː	0.191
ˈaʊ̯	-	0.185
ˈeɪ̯	ˈɑ_ɡ	0.18
ɚ	ɛ	0.179
ˈoʊ̯	ˈɑ	0.177
ˈeɪ̯	ˈɛ_ɡ	0.174
ˈæ	ˈɑ_l	0.17
ʔ	t	0.169
ˈi	ˈou̯	0.164
ˈʌ	ˈo	0.163
ˈɑ	ˈɛ	0.149
ˈi	ˈuo̯	0.149
n	nː	0.142
ˈoʊ̯	ˈeː	0.136
ˈʌ	ˈuː	0.132
ˈi	ˈio̯	0.131
ˈɛ	ˈoː	0.125
ˈaʊ̯	ˈuo̯	0.125
ˈaɪ̯	ˈio̯_ɡ	0.125
ˈi	ˈoː	0.124
ɚ	r_o	0.116
ˈaɪ̯	-	0.113
ɫ	l_ɑ	0.11
ˈɛ	ˈɑː	0.109
ˈʌ	ˈuo̯	0.105
ʔ	ʦː	0.105
ʔ	s̻ː	0.105
ɫ	ɑ_l	0.104
p	fː	0.101
ˈɛ	ˈɑ	0.098
p	p	0.094
ˈɪ	ˈɛ	0.084
ɫ	lː	0.083
ˈi	ˈi	0.081
ʔ	x_t	0.081
k	k	0.081
ˈɑ	-	0.08
ʔ	ʦ	0.078
ˈaɪ̯	ˈuː	0.076
d	d_ɑ	0.063
ˈi	h_ɑ	0.06
ˈɪ	ˈiː	0.054
ˈɪ	ˈio̯	0.054
