American English	American English	probability
ˈʌɪ̯_ʔ	d̥	1.0
ˈɛ_d	ˈœˀ_ð̞ˠ	1.0
ˈu_#>	#>	1.0
ˈi_ʔ	ð̞ˠ	1.0
ˈeɪ̯	-	1.0
ˈaʊ̯_#>	ˈoˀ_#>	1.0
ˈaɪ̯_#>	ˈyː_w_ə_#>	1.0
ʧ	-	1.0
ʤ_#>	ɡ̊_#>	1.0
ʃ	s_ɡ̊	1.0
ɾ	-	1.0
ɹ_ʔ	ɐ_d̥	1.0
ɹ_n	ɐˀ_n	1.0
ɫ_#>	l_#>	1.0
ɡ	ɡ̊	1.0
ə	-	1.0
ŋ_k	ɡ̊_ə	1.0
ð	-	1.0
tʰ	ʦʰ	1.0
t_#>	ð̞ˠ_#>	1.0
t	d̥	1.0
s_w	s	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
p_#>	b̥_#>	1.0
oʊ̯	-	1.0
n_d	nˀ	1.0
l	l	1.0
kʰ	kʰ	1.0
j	-	1.0
b	b̥	1.0
<#_ˈɛ	<#_ˈeˀ	1.0
<#_n	<#_n	1.0
<#_h	<#_j	1.0
<#_d	<#_d̥	1.0
s	s	0.971
ɚ	ɐ	0.92
h	h	0.9
f	f	0.9
w	ʋ	0.87
m	m	0.833
ˈaʊ̯	ˈuˀ	0.8
n	n	0.75
p	b̥_ə	0.667
<#_w	<#	0.667
θ	ʦʰ	0.647
ŋ	ŋˀ	0.625
i	-	0.6
f_#>	w_#>	0.6
ˈɔ	-	0.583
ˈɑ	-	0.571
#>	ə_#>	0.562
ɫ	lˀ	0.556
ˈʊ	ˈu	0.5
ˈʊ	ˈoˀ	0.5
ˈɝ	ɐˀ	0.5
ˈɝ	-	0.5
ˈɛə̯	ˈæ	0.5
ˈɛə̯	-	0.5
ˈæ	ˈæ	0.5
ˈæ	-	0.5
ˈi_#>	ˈɛˀ_#>	0.5
ˈi_#>	ˈeˀ_#>	0.5
ʔ	-	0.5
<#	<#_ˈeː	0.5
<#	<#_kʰ	0.5
ɹ	ʁ	0.474
ˈʌ	-	0.455
ˈoʊ̯	-	0.438
d	ð̞ˠ	0.423
ˈɔ	ˈo	0.417
ˈɛ	-	0.409
ˈu	ˈoˀ	0.4
ˈu	-	0.4
i	i	0.4
f_#>	#>	0.4
ˈoʊ̯	ˈeˀ	0.375
ŋ	ŋ_ə	0.375
k	j	0.364
k	-	0.364
ˈʌɪ̯	ˈɑ	0.333
ˈʌɪ̯	ˈiˀ	0.333
ˈʌɪ̯	-	0.333
ɫ	l	0.333
v	w_ə	0.333
v	w	0.333
v	-	0.333
p	b̥	0.333
<#_w	<#_ˈo	0.333
ʔ	ð̞ˠ_ə	0.273
k	ɡ̊	0.273
d	-	0.269
ˈɪ	ˈe	0.241
ˈi	-	0.24
ˈaɪ̯	ˈiˀ	0.235
ˈaɪ̯	ˈe	0.235
ˈʌ	ˈu	0.227
ˈɛ	ˈe	0.227
ʔ	d̥	0.227
ˈɑ	ˈɛ	0.214
ˈɑ	ˈæ	0.214
#>	ð̞ˠ_#>	0.208
ˈu	ˈɔˀ	0.2
ˈi	ˈøː	0.2
ˈaʊ̯	ˈu	0.2
ˈoʊ̯	ˈɔˀ	0.188
ˈʌ	ˈɔ	0.182
θ	ð̞ˠ	0.176
ˈaɪ̯	-	0.176
ˈɪ	ˈø	0.172
ˈi	ˈyˀ	0.16
ɹ	ɐ	0.158
d	ə	0.154
ˈɪ	ˈiˀ	0.138
ˈɪ	-	0.138
ˈʌ	ˈʌ	0.136
ˈɛ	ˈɛ	0.136
ɹ	ɐˀ	0.132
w	-	0.13
ˈi	ˈɔˀ	0.12
ˈi	ˈøˀ	0.12
θ	nˀ	0.118
ˈaɪ̯	ˈuˀ	0.118
ˈaɪ̯	ˈiː	0.118
ˈaɪ̯	ə	0.118
ɫ	ˈʌ	0.111
n	nˀ	0.111
ɹ	ʁ_ˈœ	0.105
#>	w_#>	0.104
ˈɪ	ˈɛ	0.103
h	h_ˈɛː	0.1
f	ʋ	0.1
ˈɛ	ˈøˀ	0.091
ˈɛ	ˈeˀ	0.091
n	-	0.083
m	mˀ	0.083
m	m_ˈɔː	0.083
#>	j_#>	0.083
ˈi	ˈœˀ	0.08
ˈi	ˈiˀ	0.08
ɚ	-	0.08
ɹ	-	0.079
d	n	0.077
d	lˀ	0.077
ˈɪ	ˈœ	0.069
ˈɪ	ˈy	0.069
ˈɪ	ˈiː	0.069
θ	ʨ	0.059
n	ə	0.056
ɹ	ʁ_ˈɑ	0.053
