Danish	Danish	probability
ˈʌˀ	ˈi	1.0
ˈɛː	ˈe	1.0
ˈɒː	-	1.0
ˈɒˀ	-	1.0
ˈɑ_jˀ	ˈɛː	1.0
ˈœː	-	1.0
ˈæˀ	-	1.0
ˈyː_w	ˈiː	1.0
ˈyː	-	1.0
ˈu_lˀ	ˈuː	1.0
ˈoː	-	1.0
ˈi	-	1.0
ˈeˀ_#>	#>	1.0
ɡ̊_ə	ŋ_k	1.0
ə_n	ə_n	1.0
ɐ_d̥	r_t	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
ð̞ˠ_#>	θ_#>	1.0
w_#>	#>	1.0
s_ɡ̊	ʃ	1.0
s_ə	z	1.0
pʰ	pʰ	1.0
n	n	1.0
mˀ	-	1.0
m_ˈɔː	m	1.0
m	m	1.0
lˀ_ʋ_#>	f_#>	1.0
l	l	1.0
jˀ	-	1.0
j_ˈɑ_j	ˈaː	1.0
j_#>	#>	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
e	e	1.0
d̥	t	1.0
b̥_ə	p	1.0
<#_ˈeː	<#	1.0
<#_ʁ	<#_r	1.0
<#_d̥	<#_d	1.0
ə	-	0.923
s	s	0.918
ʁ	r	0.882
kʰ	kʰ	0.833
ɐˀ	r	0.778
b̥	b	0.778
ʋ	w	0.762
ˈiː	-	0.714
<#	<#_j	0.714
ˈɑ	-	0.7
n_ə	n	0.7
ˈɑˀ	ˈeː_r	0.667
ˈo	-	0.625
ˈɛˀ	ˈiː	0.6
ˈɔ	-	0.6
ˈœˀ	-	0.6
ˈøː	ˈi	0.6
ˈuː	-	0.6
ˈuˀ	ˈu	0.6
ˈe	ˈɪ	0.588
ˈiˀ	ˈəi̯	0.583
ˈœ	ˈɪ	0.571
ˈø	ˈɪ	0.571
ɡ̊	ɡ	0.565
ð̞ˠ	t	0.543
ˈøˀ	ˈi	0.5
ˈøˀ	-	0.5
ˈeˀ	ˈe	0.5
ʦʰ	θ	0.5
ʦʰ	tʰ	0.5
j	-	0.5
ɐ	ə_r	0.484
ˈu	ˈʌ	0.455
ˈœ	-	0.429
ˈø	-	0.429
ɐ	r	0.419
ˈoˀ	ˈø	0.417
ˈiˀ	-	0.417
nˀ	n_d	0.417
nˀ	n	0.417
ˈɛˀ	-	0.4
ˈɛ	ˈɛ	0.4
ˈɛ	-	0.4
ˈɔ	ˈʌ	0.4
ˈœˀ	ˈi	0.4
ˈøː	ˈiː	0.4
ˈæ	ˈɑː	0.4
ˈuː	ˈu	0.4
ˈɔˀ	ˈeː	0.375
ˈɔˀ	-	0.375
ˈyˀ	ˈi	0.375
ˈyˀ	-	0.375
ˈo	ˈo	0.375
lˀ	l_d	0.375
lˀ	l	0.375
w	-	0.364
ˈɑˀ	-	0.333
ˈɑ	ˈa	0.3
n_ə	n_d	0.3
ˈiː	ˈəi̯	0.286
ð̞ˠ	d	0.286
j	k	0.286
<#	<#_ˈɛ	0.286
ˈu	ˈu	0.273
ˈu	-	0.273
w	ə	0.273
ˈæ	ˈa	0.267
ɡ̊	-	0.261
ˈʌ	ˈɪ	0.25
ˈʌ	ˈɑː	0.25
ˈʌ	ˈi	0.25
ˈʌ	-	0.25
ˈɔˀ	ˈi	0.25
ˈyˀ	ˈiː	0.25
lˀ	-	0.25
#>	r_#>	0.25
ˈe	ˈɛ	0.235
ɐˀ	r_d	0.222
b̥	p	0.222
ˈeˀ	ˈɛ	0.214
j	h	0.214
ˈɛ	ˈɪ	0.2
ˈæ	-	0.2
ˈuˀ	ˈəi̯	0.2
ˈuˀ	-	0.2
#>	d_#>	0.2
w	v	0.182
w	k	0.182
ˈoˀ	ˈɪ	0.167
ˈoˀ	ˈuː	0.167
ˈoˀ	-	0.167
nˀ	θ	0.167
kʰ	k	0.167
#>	ˈuː_#>	0.15
#>	ˈiː_#>	0.15
#>	ˈeː_#>	0.15
ˈeˀ	ˈɪ	0.143
ˈeˀ	ˈiː	0.143
ʋ	ʍ	0.143
ˈæ	ˈɪ	0.133
ɡ̊	k	0.13
ˈe	ˈi	0.118
ʁ	r_ˈi	0.118
ð̞ˠ	ˈe_d	0.114
#>	f_#>	0.1
ɐ	-	0.097
ʋ	-	0.095
ˈoˀ	ˈøː	0.083
ə	ə	0.077
ˈe	ˈaːɪ̯	0.059
ð̞ˠ	ˈɪ_t	0.057
