Swiss German	Swiss German	probability
χː_tː	ʰtː	1.0
ˈɒ_tː	ˈɑː	1.0
ˈøː	-	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈæi̯	ˈæɪ̯	1.0
ˈyː_#>	ˈeː_#>	1.0
ˈyə̯	ˈøː	1.0
ˈoː_d̥	ˈæʉ̯	1.0
ˈiə̯	-	1.0
ʃː_tː	s_t	1.0
ɣ̊	kʰ	1.0
ɡ̊_#>	#>	1.0
ə_r	ɾ	1.0
ə_#>	#>	1.0
ŋ_kː	ʰkː	1.0
æ	e_n	1.0
v̥	f	1.0
tː_#>	#>	1.0
sː_#>	#>	1.0
r_ʦ	ɾ_t	1.0
r_#>	#>	1.0
n_i	ŋ	1.0
n_d̥	nː	1.0
m_#>	m_#>	1.0
l_d̥	lː	1.0
l_#>	l_#>	1.0
i	-	1.0
b̥_ə	ʋ_e	1.0
b̥	b	1.0
<#_ˈe	<#_ˈɛ	1.0
<#_ʋ	<#	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d̥	<#_tʰ	1.0
<#	<#_ç	1.0
m	m	0.941
h	h	0.895
<#_tː	<#_d	0.867
r	ɾ	0.86
ɡ̊	ɡ	0.857
z̥	s	0.852
ˈuː	ˈʉː	0.833
sː	t	0.833
ˈiː	ˈiː	0.818
l	l	0.815
ˈuə̯	ˈuː	0.8
ʦ	tʰ	0.8
ˈɒ	ˈɑ	0.72
ˈau̯	ˈæʉ̯	0.667
ʒ̊	s	0.667
n	n	0.667
χː	k	0.625
ʋ	ʋ	0.619
ˈeː	ˈoː	0.6
kː	ɡː	0.571
ə	ɑ	0.569
ˈi	ˈɪ	0.55
fː	p	0.545
ˈɒː	ˈoː	0.5
ˈy	ˈʏ	0.5
ˈy	-	0.5
ˈu	ˈʉ	0.5
ʃː	s	0.5
ʃː	-	0.5
ŋ	ŋː	0.5
p͡f	pʰ	0.5
p͡f	p	0.5
b̥_#>	ʋ_#>	0.5
b̥_#>	#>	0.5
ˈyː	ˈyː	0.455
#>	n_#>	0.438
tː	-	0.429
d̥	d	0.429
ˈeː	ˈøː	0.4
ŋ	nː	0.4
ˈo	ˈʉ	0.385
ˈo	-	0.385
ˈoː	ˈæʉ̯	0.375
ˈoː	ˈoː	0.375
ˈæ	ˈɛ	0.364
ˈæ	-	0.364
fː	ʋ	0.364
ˈau̯	-	0.333
ˈɒː	ˈɑː	0.312
#>	ɑ_#>	0.312
tː	t	0.286
kː	-	0.286
d̥	-	0.286
ˈyː	ˈʉː	0.273
ˈyː	-	0.273
ˈoː	ˈɔ	0.25
n	nː	0.25
ˈo	ˈʊ	0.231
ʒ̊	ʂ	0.222
ˈuə̯	-	0.2
ˈi	-	0.2
ʦ	tː	0.2
ʋ	-	0.19
ə	e	0.19
ˈɒː	ˈɑ	0.188
ˈu	ˈʏ	0.188
ˈu	-	0.188
l	lː	0.185
ˈiː	-	0.182
ˈuː	-	0.167
sː	s	0.167
ˈɒ	ˈɑː	0.16
ˈi	ˈeː	0.15
ɡ̊	j	0.143
tː	tʰ	0.143
tː	d	0.143
kː	jː	0.143
d̥	ç	0.143
d̥	d_e	0.143
ˈæ	ˈeː	0.136
<#_tː	<#	0.133
χː	ɡ	0.125
χː	ç	0.125
χː	-	0.125
ˈu	ˈɔ	0.125
#>	nː_#>	0.125
#>	k_#>	0.125
ə	ə	0.121
ˈɒ	-	0.12
ʒ̊	s_k	0.111
z̥	ʂ	0.111
h	j	0.105
ˈi	ˈʏ	0.1
ŋ	ɲ	0.1
ʋ	v	0.095
ʋ	kʰ_ʋ	0.095
ˈæ	ˈæː	0.091
fː	ʰpː	0.091
n	-	0.083
m	mː	0.059
ə	n	0.052
