Emilian	Emilian	probability
ˈʌu̯_v_e_r	ˈy	1.0
ˈʌ_ŋ	ˈɔ̃	1.0
ˈɛ_s	ˈe	1.0
ˈɛ_l	ˈoː	1.0
ˈɔː_l	ʎ	1.0
ˈɔ_s	ˈoː	1.0
ˈæ_ŋ	ˈɛ̃	1.0
ˈuː_ɡ	w_ˈa	1.0
ˈo_ŋ	ˈɔ̃	1.0
ˈe_ŋ	ˈĩ	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_j	ˈɛː	1.0
ʤ	ɡ_ʎ	1.0
ŋ_t	ˈɛ̃	1.0
z_#>	#>	1.0
r_θ	ʁ_s	1.0
r_u	y	1.0
r_t	ʁ	1.0
r_e	ʁ	1.0
r_a	ʁ_a	1.0
r_#>	#>	1.0
p_#>	#>	1.0
p	p	1.0
k_r	k_ʁ	1.0
k_a	ʃ	1.0
j_ˈa	l	1.0
f	f	1.0
d_#>	#>	1.0
a_ŋ	ɑ̃	1.0
a_s	ɑː	1.0
a_l	a_l	1.0
<#_ˈɔː	<#_w	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈaː	<#	1.0
<#_ð	<#_ð	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_l	<#_l	1.0
m	m	0.893
b	b	0.857
v	v	0.852
i	-	0.833
l_#>	l_#>	0.812
l	l	0.8
θ	s	0.786
n	n	0.759
ˈiː	ˈi	0.643
r	ʁ	0.641
a	a	0.639
ˈɔ	-	0.625
s	s	0.607
ˈɛː	-	0.6
ɲ	ɲ	0.6
ð	-	0.6
ɡ	ɡ	0.562
ˈaː	ˈa	0.556
t	t	0.545
ˈʌ	-	0.5
ˈɛ_r	ˈe_ʁ	0.5
ˈɛ_r	ˈe	0.5
ʧ	ʎ	0.5
w	w	0.5
w	-	0.5
v_#>	f_#>	0.5
v_#>	#>	0.5
ˈa	ˈɛː	0.462
t	-	0.455
ɡ	-	0.438
ŋ	-	0.438
k	ʃ	0.438
k	k	0.438
d	d	0.435
e	e	0.429
ˈe	ˈi	0.417
ˈɛː	ˈɛ	0.4
ɲ	-	0.4
ð	ð	0.4
ˈa	-	0.385
ˈɔː	ˈoː	0.375
ˈɔ	w	0.375
ˈo	ˈo	0.375
ˈo	-	0.375
#>	ˈe_#>	0.357
ˈuː	ˈu	0.333
ˈuː	w	0.333
ˈuː	-	0.333
ˈe	-	0.333
z	z	0.333
u	o	0.333
ˈɔː	-	0.312
e_r	ʁ_o	0.312
e_r	ə	0.312
d	-	0.304
ˈʌu̯	ˈø	0.3
ˈʌu̯	w_ˈɛː	0.3
j	ʎ	0.294
e	o	0.286
e	-	0.286
#>	ʃ_#>	0.286
ˈaː	-	0.278
a	ə	0.262
d	ð	0.261
ˈʌ	ˈu	0.25
ˈʌ	j	0.25
ˈo	w	0.25
ˈe	ˈɛ	0.25
ʧ	ˈø_ʎ	0.25
ʧ	k	0.25
ŋ	ˈɛ̃	0.25
u	ɔ	0.25
u	u	0.25
e_r	ʁ_ə	0.25
n	-	0.241
ˈɛ	ˈa	0.238
j	l	0.235
j	j	0.235
z	ˈe_ʃ	0.222
z	ʃ	0.222
z	-	0.222
θ	-	0.214
ˈɛ	ˈe	0.214
ˈiː	-	0.214
s	-	0.214
#>	a_#>	0.214
r	ð	0.205
ˈʌu̯	ˈo	0.2
ˈʌu̯	-	0.2
l	-	0.2
ˈɛ	ˈaː	0.19
ˈɔː	ˈø	0.188
ŋ	ˈɔ̃	0.188
l_#>	#>	0.188
s	e	0.179
ˈaː	ˈe	0.167
u	-	0.167
i	ɛ̃	0.167
ˈa	ˈi	0.154
v	-	0.148
ˈiː	j	0.143
b	b_ˈɔ	0.143
#>	ˈi_#>	0.143
ˈɔː	ˈo	0.125
ŋ	n_a	0.125
k	-	0.125
e_r	ʁ	0.125
j	ˈe	0.118
j	-	0.118
m	-	0.107
ˈɛ	ˈɛː	0.095
ˈɛ	ˈɛ	0.095
ˈɛ	-	0.095
ˈɛ	j	0.071
a	i	0.066
r	ˈe	0.051
r	ð_ə	0.051
r	-	0.051
