Friulian	Friulian	probability
ˈɛ_s	ɛɪ̯	1.0
ˈɛ_l	oʊ̯	1.0
ˈɔː	øʏ̯	1.0
ˈɔ_t	ɥ_i	1.0
ˈɔ_l	u	1.0
ˈuː_l	y	1.0
ˈuː_k	øʏ̯	1.0
ˈu_ɲ	w_ẽɪ̯̃	1.0
ˈu_ŋ	œ̃ʏ̯̃	1.0
ˈoː_s	w_ɛ	1.0
ˈo_ŋ	ɒ̃ʊ̯̃	1.0
ˈi_ŋ	ẽɪ̯̃	1.0
ˈi_n	ã	1.0
ˈeː_t	w_ɛ	1.0
ˈeː	w_ɛ	1.0
ˈaː_t	e	1.0
ˈaː_s	æɛ̯	1.0
ˈa_ŋ	ẽɪ̯̃	1.0
ˈa_l	oʊ̯	1.0
ˈa_d	e	1.0
ʤ	ʒ	1.0
ɟ	-	1.0
ŋ_k	ã	1.0
z	-	1.0
w_ˈɛ	o	1.0
w_ˈi	ɔ	1.0
w_ˈa	ɑɔ̯	1.0
v_ˈi	v	1.0
u_l	l	1.0
s_t	t	1.0
s_e	s	1.0
s_#>	#>	1.0
r_ˈa	ʁ	1.0
r_t	ʁ	1.0
r	ʁ	1.0
n_t_#>	#>	1.0
n_t	ã	1.0
n_e	n	1.0
l_ˈa	l	1.0
l_i	j	1.0
k_w	k	1.0
k_#>	#>	1.0
k	k	1.0
j_ˈɛ_l	oʊ̯	1.0
i_#>	#>	1.0
f	f	1.0
e_#>	#>	1.0
d_i	ɛ_ʁ	1.0
c	ʃ	1.0
b	b	1.0
a_r	ʁ	1.0
a_n	ã	1.0
<#_ʧ	<#	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#	1.0
<#_a	<#_a	1.0
m	m	0.912
p	p	0.9
v	v	0.867
a	a	0.833
l	l	0.824
ɡ	ɡ	0.75
ŋ	ẽɪ̯̃	0.75
w	-	0.75
t_e_#>	t_#>	0.75
s	s	0.725
ˈaː	e	0.684
u	-	0.667
f_#>	f_#>	0.667
ʧ	s	0.588
#>	ʁ_#>	0.579
ˈoː	aœ̯	0.571
d	d	0.562
j_ˈɛ	æɛ̯	0.556
ˈiː	i	0.545
t	t	0.52
ˈɛ	-	0.5
ˈɔ	œ	0.5
ˈɔ	-	0.5
ˈuː	œ	0.5
ˈuː	y	0.5
ˈu	-	0.5
ˈo_n	ɒ̃ʊ̯̃	0.5
ˈo_n	w_ẽɪ̯̃	0.5
ɲ	ɲ	0.5
ɲ	n	0.5
j	j	0.438
ˈoː	u	0.429
o	ɔ	0.417
ˈa	æɛ̯	0.412
ʧ	-	0.412
ˈi	ɪ	0.409
t	-	0.4
i	-	0.4
ˈi	-	0.364
e	œ	0.364
e	æɛ̯	0.364
u	u	0.333
o	-	0.333
f_#>	#>	0.333
<#	<#_ʒ	0.333
<#	<#_l	0.333
<#	<#_a	0.333
ˈo	-	0.316
j	-	0.312
ˈu	y	0.3
ˈe	w_ɛ	0.3
ˈe	-	0.3
i	i	0.3
ˈiː	ɪ	0.273
e	-	0.273
ˈa	a	0.265
#>	i_#>	0.263
ɡ	-	0.25
ŋ	ɒ̃ʊ̯̃	0.25
w	ɔ	0.25
t_e_#>	#>	0.25
o	u	0.25
d	-	0.25
n	ɒ̃ʊ̯̃	0.231
n	n	0.231
n	ã	0.231
j_ˈɛ	ɛ	0.222
j_ˈɛ	j	0.222
ˈo	u	0.211
ˈaː	ɛ	0.211
ˈu	ʏ	0.2
ˈe	ɛ	0.2
i	ʁ	0.2
d	ʣ	0.188
ˈiː	j_ɛ	0.182
ˈa	-	0.176
s	e	0.175
ˈɛ	ɛ	0.167
ˈɛ	æɛ̯	0.167
ˈɛ	j	0.167
a	œ	0.167
ˈo	ʊ	0.158
#>	e_#>	0.158
n	ẽɪ̯̃	0.154
n	-	0.154
ˈi	ã	0.136
v	-	0.133
j	ʒ	0.125
j	l	0.125
l	-	0.118
ˈo	ɔ	0.105
ˈo	œ	0.105
ˈo	w	0.105
ˈaː	æɛ̯	0.105
ˈe	æɛ̯	0.1
ˈe	w	0.1
p	-	0.1
i	ɛ	0.1
ˈi	v	0.091
ˈa	oʊ̯	0.088
m	-	0.088
t	ʦ	0.08
ˈa	ẽɪ̯̃	0.059
l	j	0.059
