Megleno-Romanian	Megleno-Romanian	probability
ˈɛ	ˈe_ʎ	1.0
ˈɔ	ˈɐ̃	1.0
ˈi_n	ˈẽ	1.0
ʧ	-	1.0
ʒ	ʒ	1.0
ɲ	-	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ	-	1.0
v	v	1.0
r_n	ɦ_n	1.0
o̯ˈa	ˈɔ	1.0
n_t	t	1.0
kʲ	p	1.0
k_ʎ	ʎ	1.0
j_n	w̃	1.0
j_#>	j_ʃ_#>	1.0
j	ĩ	1.0
i_#>	#>	1.0
f	f	1.0
e	-	1.0
b_u	ũ	1.0
a	-	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_j	<#	1.0
<#	<#_f	1.0
<#_n	<#_n	0.846
ə	ɐ	0.818
l	l	0.812
m	m	0.778
u	u	0.75
ʎ	ʎ	0.714
ˈo	ˈo	0.706
i	i	0.692
#>	u_#>	0.686
ˈe	ˈe	0.667
e̯ˈa	ˈe	0.667
d	d	0.667
p	p	0.643
k	k	0.619
s	s	0.611
z	-	0.6
r_i	h	0.6
b	b	0.6
ˈa	ˈa	0.552
r	ɾ	0.552
n	-	0.526
ˈi	ˈi	0.5
ʃ	s	0.5
ʃ	j	0.5
w_ə	ɐ	0.5
w_ə	v_i	0.5
p_t	j_ʧ	0.5
p_t	j	0.5
z	ʒ	0.4
r_i	w	0.4
b	v	0.4
ʦ	s	0.364
ˈe	ˈɛ	0.333
e̯ˈa	ˈɛ	0.333
d	-	0.333
t	t	0.312
t	d	0.312
i	-	0.308
ˈi	ˈĩ	0.286
ʎ	-	0.286
ˈa	ˈɛ	0.276
ʦ	-	0.273
t	-	0.25
ˈu	ˈo	0.238
k	ɡ_u	0.238
s	ʃ	0.222
ˈi	ˈẽ	0.214
p	b	0.214
n	j̃	0.211
ˈu	ˈu	0.19
ˈu	ˈõ	0.19
l	-	0.188
ʦ	t	0.182
ʦ	k	0.182
ə	-	0.182
ˈo	ˈu	0.176
u	o	0.167
s	e_ʃ	0.167
n	n	0.158
<#_n	<#	0.154
ˈu	ˈɔ	0.143
ˈu	ˈũ	0.143
p	-	0.143
k	ɡ	0.143
r	ɦ	0.138
r	-	0.138
t	ʧ	0.125
ˈo	ˈɛ	0.118
#>	ɐ_#>	0.114
m	ɡ	0.111
m	-	0.111
n	w̃	0.105
ˈa	-	0.103
r	h	0.103
ˈu	-	0.095
#>	i_#>	0.086
u	ɐ̃	0.083
ˈa	a	0.069
r	u	0.069
#>	t_u_#>	0.057
#>	j_ʃ_#>	0.057
