Faroese	Faroese	probability
ˈʊ̯iː_#>	ˈɪ_n_#>	1.0
ˈʊ̯iː	ˈaɪ̯	1.0
ˈʊ_ʤ̊ː	ˈɛ_n	1.0
ˈʉːu̯	ˈɔɪ̯	1.0
ˈɛːi̯	ˈɔɪ̯	1.0
ˈɛːa̯_ɹ	ˈɪ_ʀ	1.0
ˈɔ̯aː	ˈɔ	1.0
ˈɔːu̯_w	ˈʊ_t	1.0
ˈɔːu̯	ˈʊ	1.0
ˈɔːi̯	ˈɔɪ̯	1.0
ˈuː	-	1.0
ˈoː	ˈɔ	1.0
ˈeː_v	ˈɛ	1.0
ˈeː_#>	ˈɪ_χ_#>	1.0
ˈeː	ˈɛ	1.0
ˈaːi̯	ˈɛɪ̯	1.0
ˈai̯	ˈɛɪ̯	1.0
ˈa_ɹ	ˈa_ʀ	1.0
ʰʧ	k	1.0
ʰt͡n̥	s_ə	1.0
ʰp	f	1.0
ʰk	ŋ_k	1.0
ʧʰ	k	1.0
ʧ	χ	1.0
ʤ̊	ɡ	1.0
ʊ_ɹ_#>	#>	1.0
ʊ_#>	#>	1.0
ʈ	ʦ	1.0
ɹ_ʊ	ə	1.0
ɹ_a	ə_ʀ	1.0
ɹ_#>	#>	1.0
ɲ	ŋ	1.0
v̥_a	n	1.0
v̥	ˈʊ	1.0
v_a	b_n	1.0
t͡n̥	ʀ	1.0
tʰ	ʦ	1.0
sː	d_z	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_#>	z_#>	1.0
r	ʀ	1.0
p	f	1.0
n̥	n	1.0
n	n	1.0
mː	m	1.0
m_ʊ	ɛ	1.0
m	m	1.0
l̥	ɫ	1.0
kʰ_v	v	1.0
kʰ	k	1.0
k	χ	1.0
j_ˈœ	ˈɛ	1.0
j_ʊ	t	1.0
h	h	1.0
f	f	1.0
b̥	b	1.0
a_v	a	1.0
a_#>	#>	1.0
<#_ɹ	<#_ʀ	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_tʰ	<#_d	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_d̥	<#_t	1.0
l	ɫ	0.913
ɹ	ʀ	0.884
ɡ̊	ɡ	0.812
ˈɪ	ˈɪ	0.789
ŋ	ŋ	0.778
j	-	0.778
#>	t_#>	0.778
ˈa	ˈa	0.714
ʃ	ʃ	0.667
t͡l̥	ɫ	0.667
v	v	0.654
a	n	0.618
ʊ	ə	0.615
s	z	0.615
ˈøː	ˈɪ	0.6
t	s	0.6
<#	<#_v	0.6
ˈʊ	ˈʊ	0.562
ʰt	χ_t	0.545
d̥	d	0.538
ˈʏ	ˈɪ	0.5
ˈʏ	-	0.5
ˈɛːa̯	ˈɔ	0.5
ˈɛːa̯	ˈa	0.5
ˈɛ	ˈɛ	0.5
ˈœ	-	0.5
ˈiː	ˈɪ	0.5
ʤ̊ː	n	0.5
ʤ̊ː	-	0.5
w	d	0.5
w	-	0.5
nː	n_ə	0.5
nː	n	0.5
d̥	t	0.462
ʰt	s	0.455
ɪ	ə	0.438
ɪ	-	0.438
ˈøː	ˈʊ	0.4
t	t	0.4
s	ʃ	0.385
ˈɔ	ˈa	0.375
ʃ	ʧ	0.333
t͡l̥	ɫ_d	0.333
ˈɔ	ˈɔ	0.25
ˈœ	ˈɪ	0.25
ˈœ	ˈɔ	0.25
ˈiː	ˈɔ	0.25
ˈiː	-	0.25
ʊ	ɡ	0.231
ŋ	-	0.222
j	h	0.222
#>	ʀ_#>	0.222
ˈɛ	ˈɛɪ̯	0.214
ˈɪ	-	0.211
<#	<#_t	0.2
<#	<#_j	0.2
v	b	0.192
ˈʊ	ˈɔɪ̯	0.188
ˈɔ	ˈʊ	0.188
ˈɔ	ˈɛ	0.188
ɡ̊	-	0.188
a	ə_n	0.176
ʊ	-	0.154
v	f	0.154
ˈɛ	ˈa	0.143
ˈɛ	-	0.143
ˈa	ˈaɪ̯	0.143
ˈa	-	0.143
ˈʊ	ˈɔ	0.125
ˈʊ	ˈaɪ̯	0.125
ɪ	ʀ	0.125
a	ə	0.088
l	ˈɛ	0.087
ɹ	m	0.07
a	ɡ	0.059
a	-	0.059
