Limburgish	Limburgish	probability
ˈʏː	-	1.0
ˈʏ	ˈɪ	1.0
ˈʊː_ʀ	ˈɝ	1.0
ˈʊ	ˈʌ	1.0
ˈɪ	-	1.0
ˈɛːi̯_#>	ˈi_#>	1.0
ˈœː	-	1.0
ˈœi̯	-	1.0
ˈæː_l	ˈɛ	1.0
ˈeː_ɣ	ˈaɪ̯	1.0
ʃ	ʃ	1.0
ɪ	-	1.0
ɦ	h	1.0
ɣ̊_#>	#>	1.0
ɣ̊	ˈaɪ̯	1.0
ɡ	ˈaɪ̯	1.0
ə_ʀ	ɚ	1.0
ə_ɣ̊	i	1.0
ə_l	ɫ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
w	ɫ	1.0
v̥	v	1.0
v_ə	v	1.0
s_#>	ʃ_#>	1.0
n_#>	#>	1.0
m	m	1.0
l_ˈʊː	l	1.0
k_ˈɪ	kʰ	1.0
k_ə	k	1.0
k_n	n	1.0
j_ə	d	1.0
j_#>	#>	1.0
i	t_i	1.0
d̥_#>	θ_#>	1.0
d̥	d	1.0
d_ˈu	d_ˈɛ	1.0
b	b	1.0
<#_ʀ	<#_ɹ	1.0
β	w	0.935
z	s	0.917
v	f	0.857
n	n	0.848
ˈɪː	ˈɪ	0.818
p	p	0.8
x	ʔ	0.778
v̥_#>	f_#>	0.75
ˈuː	ˈaʊ̯	0.727
ɣ	ɡ	0.706
ə	-	0.667
s	s	0.611
ˈøː	ˈi	0.6
ˈæ	-	0.6
ˈyː	-	0.6
ˈu	-	0.6
ˈɑː	-	0.571
ˈoː	ˈʌ	0.571
ʀ_ə	ɹ_n	0.571
ˈɔ	ˈɑ	0.556
d	d	0.529
t	ʔ	0.512
ˈɔː	ˈi	0.5
ˈɔu̯	ˈʌ	0.5
ˈɔu̯	-	0.5
ˈœ	ˈɪ	0.5
ˈœ	-	0.5
ˈæː	ˈɑ	0.5
ˈæː	-	0.5
l	l	0.5
ˈɛː	ˈoʊ̯	0.471
ʀ	ɹ	0.471
l	ɫ	0.45
ˈɛ	ˈɪ	0.429
ˈɑː	ˈɛə̯	0.429
ˈoː	ˈaʊ̯	0.429
ʀ_ə	ɹ	0.429
ˈɒː	ˈi	0.417
ˈiː	ˈaɪ̯	0.417
k	k	0.414
d	θ	0.412
ˈʊː	ˈʌ	0.4
ˈøː	-	0.4
ˈæ	ˈɛ	0.4
ˈyː	ˈaɪ̯	0.4
ˈu	ˈɛ	0.4
j	d	0.4
ˈɑ	ˈæ	0.385
ˈi	ˈi	0.364
ˈɒː	-	0.333
ˈaː	ˈeɪ̯	0.318
ʀ	ɚ	0.314
ˈɑ	-	0.308
ˈɛ	ˈaɪ̯	0.286
ˈɛ	-	0.286
s	s_t	0.278
ˈuː	-	0.273
ˈi	ˈoʊ̯	0.273
ˈaː	ˈɑ	0.273
ˈeː	ˈi	0.269
ˈɔː	ˈoʊ̯	0.25
ˈɔː	-	0.25
ˈɒː	ˈɛ	0.25
ˈiː	ˈʌɪ̯	0.25
v̥_#>	#>	0.25
k	ʧ	0.241
k	kʰ	0.241
ˈɛː	-	0.235
ˈeː	ˈɛ	0.231
ˈɔ	ˈʌ	0.222
ˈɔ	ˈʊ	0.222
x	-	0.222
t	tʰ	0.209
t	t	0.209
ˈʊː	ˈɔ	0.2
p	pʰ	0.2
j	ɫ	0.2
j	ð	0.2
j	j	0.2
ˈeː	ˈɪ	0.192
ˈɪː	ˈaɪ̯	0.182
ˈi	ˈʌɪ̯	0.182
ˈi	-	0.182
ˈaː	ˈæ	0.182
ˈɛː	ˈi	0.176
ɣ	-	0.176
ˈiː	ˈɪ	0.167
ˈiː	ˈi	0.167
ˈɑ	ˈʌɪ̯	0.154
ˈɑ	ˈɛ	0.154
v	v	0.143
ˈaː	-	0.136
ˈɛː	ˈɪ	0.118
ɣ	j	0.118
s	k_s	0.111
k	ʤ	0.103
ˈʊː	ˈʊ	0.1
ˈʊː	ˈu	0.1
ˈʊː	ˈoʊ̯	0.1
ˈʊː	-	0.1
ˈaː	ˈɛə̯	0.091
n	ˈɛ_n	0.087
z	s_ˈɪ	0.083
ʀ	ˈɝ	0.078
ʀ	-	0.078
ˈeː	ˈɛ_ð	0.077
ˈeː	ˈɔ	0.077
ˈeː	ˈeɪ̯	0.077
ˈeː	-	0.077
ə	ə_n	0.074
ə	n	0.074
t	ɾ	0.07
β	-	0.065
n	-	0.065
ʀ	ˈɔ	0.059
d	-	0.059
ə	ɹ	0.056
ə	ɫ	0.056
