Proto-Germanic	East Frisian Low Saxon	probability
θ_ɑ	d̥	1.0
ˈɑː	-	1.0
ˈɑi̯_w	ˈɛːɪ̯	1.0
ˈɑ_t	ˈɒː_t	1.0
ˈĩː	ˈɪ	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈyː	1.0
ˈeː	ˈɪ	1.0
ˈe_k	ˈɪ_k	1.0
ɸ	f	1.0
ɣ_ɑ	ɣ̊	1.0
ɣ_j	ɣ̊	1.0
ɡʷ	-	1.0
ɡ_ɑ	ɡ̊	1.0
ɡ	-	1.0
ɛː	ɐ	1.0
ɔ̃ː	-	1.0
ɔːː	-	1.0
ɔːu̯	-	1.0
ɑː	-	1.0
ɑi̯	n	1.0
ɑ_n	n	1.0
ɑ_l	ɫ	1.0
ŋ	ŋ	1.0
ð_ɑ	d̥	1.0
z	-	1.0
xʷ	v	1.0
x_l	l	1.0
u	-	1.0
tː	t	1.0
t_ɑ	t	1.0
t	t	1.0
s_l	s_l	1.0
r_ˈi	r	1.0
r_ɔː	ɐ	1.0
r_ɑ	ɐ	1.0
r_n	ɐ_n	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
n_ɑ	n	1.0
n_d	n	1.0
mː	ˈɛ	1.0
m_b	m	1.0
lː	l	1.0
l_ɑ	l	1.0
l	l	1.0
kː	-	1.0
kʷ	k	1.0
k	k	1.0
jː	j	1.0
iː	-	1.0
e_x	ɑɪ̯	1.0
e	ɐ	1.0
d_ɑ	d̥	1.0
d_u	d̥	1.0
b	b	1.0
i	-	0.957
n	n	0.93
m	m	0.904
d	d	0.879
j	-	0.851
ɔː	-	0.841
ɣ	ɡ	0.807
ˈɑu̯	ˈoː	0.711
ˈɑi̯	ˈæɪ̯	0.686
ˈi	ˈɪ	0.667
ˈɛː	ˈɒː	0.643
ˈeu̯	ˈæɪ̯	0.636
w	v	0.589
ˈuː	ˈuː	0.583
r	ɐ	0.568
θ	d	0.564
ɑ	ɐ	0.563
x	h	0.559
β_ɑ	v	0.525
β	v̥	0.516
s	s	0.509
β	v	0.484
β_ɑ	v̥	0.475
ð	d̥	0.43
ˈɔː	ˈɑʊ̯	0.413
r	r	0.397
ˈɑ	ˈɑ	0.387
s	z	0.372
ˈeu̯	-	0.364
ˈɛː	ˈɔː	0.357
ˈuː	-	0.31
ˈe	ˈeː	0.297
ð	-	0.297
ˈɑu̯	ˈøː	0.289
ˈe	-	0.279
ð	d	0.273
ˈi	-	0.272
ɑ	n	0.257
w	-	0.252
x	χ	0.24
θ	-	0.221
ˈu	ˈʊ	0.221
θ	d̥	0.215
x	-	0.201
ˈɔː	ˈœy̯	0.194
ɣ	ɣ̊	0.193
ɑ	-	0.18
ˈe	ˈɛ	0.178
ˈɔː	-	0.166
ˈɑi̯	ˈæːɪ̯	0.161
ɔː	ɐ	0.159
w	w	0.159
ˈɑ	ˈɑː	0.156
ˈu	ˈøː	0.155
ˈɑi̯	-	0.153
ˈu	ˈoː	0.152
j	ˈɛːɪ̯	0.149
ˈɑ	ˈɒː	0.128
ˈe	ˈeːe̯	0.128
ˈu	ˈɔ	0.124
d	d̥	0.121
ˈɑ	ˈɑːɑ̯	0.119
s	z̥	0.119
ˈe	ˈɑː	0.118
ˈu	ˈœ	0.111
ˈuː	ˈuːu̯	0.107
ˈɔː	ˈœːy̯	0.101
ˈu	ˈʏ	0.096
m	-	0.096
ˈɑ	-	0.078
ˈi	ˈɪə̯	0.062
ˈu	ˈʏə̯	0.054
n	-	0.052
