Québécois French	Québécois French	probability
ʣ	d	1.0
ʒ_#>	#>	1.0
ʏ	ˈy	1.0
ʊ	ˈu	1.0
ʁ_æɛ̯	r_ˈa	1.0
ʁ_w	r_ˈe	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛɪ̯	s	1.0
ɑ	ˈa	1.0
œ̃ʏ̯̃	ˈy_ŋ	1.0
æɛ̯_ʁ	ˈaː	1.0
æɛ̯_d	a_ʤ	1.0
w_ɛ	ˈe	1.0
t_#>	t_a_#>	1.0
p_l	ʧ	1.0
p	p	1.0
o	ˈɔ_s	1.0
m	m	1.0
l_#>	#>	1.0
k_l	ʧ	1.0
j_ɛ	ˈeː	1.0
i_ʁ	ˈiː	1.0
e_#>	#>	1.0
b	b	1.0
ã_d	ˈe_n	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_oʊ̯	<#_ˈaː	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f_l	<#_ʃ	1.0
<#_e	<#_s	1.0
<#_d	<#_d	1.0
<#_ã	<#_ˈa_n	1.0
v	v	0.933
f	f	0.909
e	ˈaː	0.833
k	k	0.8
s	s	0.763
t	t	0.733
ɑɔ̯	ˈɔː	0.727
ɪ	ˈi	0.7
z	ʒ	0.667
ʃ	k	0.652
ɒ̃ʊ̯̃	ˈu_ŋ	0.647
ʒ	z	0.615
l	l	0.588
n	ŋ_a	0.529
#>	u_#>	0.523
ʁ	r	0.5
ɛ_ʁ	j	0.5
ɛ_ʁ	d_e	0.5
ɛ_#>	ʒ_e_#>	0.5
ɛ_#>	#>	0.5
oʊ̯	ˈe_l	0.5
d	d	0.5
d	-	0.5
aœ̯	ˈuː	0.5
aœ̯	-	0.5
<#	<#_s	0.5
<#	<#_l	0.5
w	ˈe	0.474
ã	ˈe_ŋ	0.429
a	a	0.429
ẽɪ̯̃	ˈa_ŋ	0.4
a	ˈa	0.381
y	ˈyː	0.375
w	-	0.368
n	n	0.353
ɥ	ˈø	0.333
ɛ	j	0.333
ɔ	ˈɔ	0.333
ɔ	u	0.333
ɔ	-	0.333
øʏ̯	ˈøː_ɡ	0.333
z	z	0.333
j	-	0.333
ʒ	ʤ	0.308
ɪ	-	0.3
oʊ̯	ˈaː	0.3
ẽɪ̯̃	ˈi_ŋ	0.3
u	ˈuː	0.294
l	-	0.294
œ	ˈøː	0.278
œ	e	0.278
j	ʤ_a	0.278
ɑɔ̯	-	0.273
ʃ	k_a	0.261
y	ˈy	0.25
y	-	0.25
#>	e_#>	0.239
u	ˈu	0.235
æɛ̯	ˈa	0.233
i	ˈiː	0.227
ɥ	ˈyː	0.222
ɥ	ˈu	0.222
ɥ	-	0.222
øʏ̯	ˈuː	0.222
øʏ̯	ʤ_u	0.222
øʏ̯	u	0.222
j	ˈeː	0.222
#>	a_#>	0.22
ã	ˈa_ŋ	0.214
ã	a_ŋ	0.214
æɛ̯	ˈɛː	0.2
æɛ̯	ˈaː	0.2
oʊ̯	ˈɔː	0.2
k	k_w	0.2
a	-	0.19
i	ˈi	0.182
œ	a	0.167
œ	-	0.167
j	ʤ_u	0.167
e	ˈɛː	0.167
w	ˈuː	0.158
ẽɪ̯̃	ɲ_u	0.15
ẽɪ̯̃	ŋ	0.15
ɛ	ˈɛ	0.143
ɛ	ˈeː	0.143
ɛ	ˈe	0.143
ɛ	-	0.143
ã	ŋ	0.143
i	ˈeː	0.136
i	t_u	0.136
i	i	0.136
æɛ̯	-	0.133
t	s	0.133
t	-	0.133
y	y	0.125
ɒ̃ʊ̯̃	ˈu	0.118
ɒ̃ʊ̯̃	u_ŋ	0.118
ɒ̃ʊ̯̃	u	0.118
u	ˈy_t	0.118
u	w_ˈiː	0.118
u	w	0.118
u	-	0.118
n	ŋ	0.118
l	a	0.118
ʁ	-	0.111
œ	ˈø	0.111
s	s_a	0.105
æɛ̯	w	0.1
ɛ	e	0.095
i	ˈeː_z	0.091
i	-	0.091
f	v_u	0.091
ʃ	e	0.087
ʁ	u	0.083
ʁ	e	0.083
s	-	0.079
ʒ	sː	0.077
æɛ̯	ˈe	0.067
æɛ̯	a	0.067
v	-	0.067
ʁ	j_a	0.056
ʁ	j	0.056
s	ʃ	0.053
