German	Bokmål Norwegian	probability
ˈʊ	ˈʉ	1.0
ˈɔʏ̯	ˈyː	1.0
ˈøː	ˈøː	1.0
ˈyː	ˈœ	1.0
ˈeː_#>	ˈøː_#>	1.0
ʁ	ɾ	1.0
ɪ	i	1.0
ɡ_n	ə	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɐ_n	ɳ	1.0
ɐ_#>	#>	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
v_ˈɔ	ˈʉ	1.0
v	ʋ	1.0
tʰ	d	1.0
s_t	s_t	1.0
p͡f	pʰ	1.0
n_ə	nː	1.0
n_d̥_#>	nː_#>	1.0
n_d	nː	1.0
n_#>	#>	1.0
m_ə	mː	1.0
l_d̥	lː	1.0
k_ə	ɡː	1.0
j	-	1.0
f_n	p_ə	1.0
d̥_#>	#>	1.0
b_n_#>	#>	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ʁ	<#_ɾ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
m	m	0.909
b	b	0.909
f	f	0.9
t_#>	#>	0.857
h	h	0.857
z	s	0.85
ˈɛ	ˈɛ	0.833
kʰ	kʰ	0.833
ˈɪ	ˈɪ	0.824
l	l	0.818
ɐ	ɾ	0.8
s	t	0.8
ˈaʊ̯	ˈʉː	0.75
x	k	0.75
s_#>	s_#>	0.75
ˈʏ	ˈʏ	0.714
ʦ	tʰ	0.7
ˈuː	ˈuː	0.692
ˈa	ˈɑ	0.679
ɡ̊_#>	ɡ_#>	0.667
b̥_#>	ʋ_#>	0.667
d	tʰ	0.647
ˈeː	ˈæː	0.6
ç	k	0.6
t_ɐ	ə_ɾ	0.6
f_#>	p_#>	0.6
ɡ	ɡ	0.579
ˈiː	ˈyː	0.571
ʃ	s	0.56
ˈoː	ˈøː	0.545
ˈaː	ˈoː	0.538
n	ə	0.508
ç_#>	k_#>	0.5
ç_#>	#>	0.5
t	t	0.5
ˈaː	ˈɑː	0.462
ˈɔ	ˈuː	0.455
ˈeː	-	0.4
ç	tː	0.4
t_ɐ	ɾ	0.4
f_#>	#>	0.4
ˈaɪ̯	ˈiː	0.375
ɡ̊_#>	#>	0.333
k	ɡː	0.333
k	kː	0.333
k	k	0.333
b̥_#>	#>	0.333
n	n	0.322
ʦ	tː	0.3
ˈaɪ̯	ˈæɪ̯	0.292
ˈʏ	ˈœ	0.286
ʃ	s_k	0.28
t	ə	0.278
ˈoː	ˈoː	0.273
ˈaʊ̯	ˈøː	0.25
x	tː	0.25
s_#>	#>	0.25
ˈiː	ˈʉː	0.214
ˈiː	ˈiː	0.214
ɡ	j	0.211
ˈaɪ̯	ˈɛ	0.208
s	tː	0.2
ˈɔ	ˈʉː	0.182
ˈɔ	ˈʉ	0.182
ˈɔ	ˈɔ	0.182
ˈoː	ˈʉː	0.182
l	lː	0.182
ˈa	ˈɑː	0.179
ˈɪ	ˈiː	0.176
d	d	0.176
d	-	0.176
ˈɛ	ˈæː	0.167
kʰ	ç	0.167
ʃ	ʂ	0.16
ˈuː	ˈʉː	0.154
ˈuː	ˈøː	0.154
z	ʂ	0.15
ɐ	ə_ɾ	0.143
t_#>	d_#>	0.143
h	j	0.143
n	nː	0.136
ˈaɪ̯	ˈeː	0.125
t	s	0.111
t	-	0.111
ɡ	ˈæɪ̯	0.105
ɡ	-	0.105
f	p	0.1
m	mː	0.091
b	ʋ_ə	0.091
ˈa	ˈɔ	0.071
ˈa	ˈoː	0.071
ɐ	ɳ	0.057
