Dutch	North Frisian	probability
χ_ə	d	1.0
χ_#>	#>	1.0
ˈɛi̯_n	ˈi_n	1.0
ˈɛi̯_#>	ˈeː_#>	1.0
ˈɑu̯	ˈœ	1.0
ˈɑ_n	ˈœ	1.0
ˈyː	ˈøː	1.0
ˈoː_v	ˈɔu̯	1.0
ˈeː_n	ˈiː_nʲ	1.0
ˈaː_t	ˈɒː_d	1.0
ʋ_ˈɔ	ˈʊ	1.0
ɾ_ə	r	1.0
ɾ	r	1.0
ɫ_ə	l_v	1.0
ɪ	i	1.0
ɦ	h	1.0
ə_χ	i	1.0
ə_ɫ	ə_l	1.0
ə_n_#>	#>	1.0
ə_n	ə	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
v̥_#>	f_#>	1.0
v̥	ə_v	1.0
v	f	1.0
t_ə	z	1.0
s_χ	ʃ	1.0
s_ɫ	s_l	1.0
p	p	1.0
n_d̥	ˈyː_n	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
f	ə_n	1.0
d̥_#>	#>	1.0
d_ˈi	t_ˈiː	1.0
d_ə	dʲ	1.0
b	b	1.0
#>	f_#>	1.0
ɫ	l	0.953
ʋ	v	0.929
k	k	0.923
z	s	0.92
ə	ə	0.909
ˈi	ˈiː	0.857
t	t	0.854
n	n	0.78
s	s	0.75
d	d	0.69
ˈɛi̯	ˈi	0.667
ˈɔ	ˈʊ	0.6
ˈœy̯	ˈyː	0.583
ˈʏ	ˈʏ	0.5
ˈʏ	ˈeː	0.5
v_ə	v_ə	0.5
v_ə	v	0.5
d̥	d	0.5
ˈeː	ˈiː	0.438
ˈɛ	ˈeː	0.4
ˈu	ˈœ	0.385
ˈɪ	ˈi	0.353
ˈɪ	ˈa	0.353
ˈɛi̯	ˈiː	0.333
ˈɛ	ˈa	0.333
ˈu	ˈɛ	0.308
ˈoː	ˈuː	0.29
χ	ɡ	0.286
χ	j	0.286
ˈɑ	ˈɒ	0.269
ˈɔ	ˈɔː	0.267
ˈaː	ˈɛi̯	0.267
χ	x	0.257
ˈœy̯	ˈøː	0.25
s	ʃ	0.25
d	t	0.241
d̥	dʲ	0.227
ˈaː	ˈɛː	0.2
ˈoː	ˈyː	0.194
ˈeː	ˈɛː	0.188
n	ə	0.18
ˈɪ	ˈʊ	0.176
ˈœy̯	ˈʏ	0.167
ˈoː	ˈɔ	0.161
ˈɑ	ˈɒː	0.154
ˈɑ	ˈuː	0.154
ˈu	ˈɛi̯	0.154
ˈu	-	0.154
t	tʲ	0.146
ˈi	-	0.143
d̥	nʲ	0.136
d̥	lʲ	0.136
ˈɛ	ˈʊ	0.133
ˈɛ	-	0.133
ˈɔ	ˈɔ	0.133
ˈaː	ˈɔu̯	0.133
ˈaː	ˈɒː	0.133
ˈaː	ˈeː	0.133
ˈaː	j_ˈa	0.133
ˈoː	ˈiː	0.129
ˈeː	ˈɛː_d	0.125
ˈeː	ˈɔː	0.125
ˈeː	ˈaː	0.125
ˈɪ	ˈai̯	0.118
ˈɑ	ˈʊ	0.115
ˈɑ	ˈeː	0.115
ˈɑ	ˈa	0.115
χ	w	0.114
ˈoː	ˈaː	0.097
ə	n	0.091
z	z	0.08
ˈɑ	ˈɔː	0.077
k	k_ə	0.077
ʋ	-	0.071
d	tʲ	0.069
ˈoː	ˈøː	0.065
ˈoː	-	0.065
χ	ˈɛi̯	0.057
