American English	Limburgish	probability
ˈʌɪ̯_ʔ	x	1.0
ˈɛ_ð	ˈeː	1.0
ˈɛ_n	n	1.0
ʧ	k	1.0
ʤ	k	1.0
ɾ	t	1.0
ɹ_n	ʀ_ə	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
w_ˈɔ	β	1.0
w	β	1.0
t_i	i	1.0
t	t	1.0
s_t	s	1.0
pʰ	p	1.0
p	p	1.0
oʊ̯	ə	1.0
m	m	1.0
kʰ	k	1.0
k_ɪ	k	1.0
k_s	s	1.0
j	ɣ	1.0
i	ə_ɣ̊	1.0
h	ɦ	1.0
f	v	1.0
b	b	1.0
l	l	0.9
n	n	0.859
ʔ	t	0.834
ɫ	l	0.827
ˈu	-	0.823
ɡ	ɣ	0.777
θ	d	0.723
ɹ	ʀ	0.715
ˈɝ	ʀ	0.712
s	z	0.675
ˈɔ	ˈʊː	0.667
k	k	0.644
z	-	0.642
ɚ	ʀ	0.63
ˈɛə̯	ˈɑː	0.6
ˈaʊ̯	ˈuː	0.594
v	v	0.591
ʃ	ʃ	0.572
ð	j	0.526
ð	d	0.474
ˈeɪ̯	ˈaː	0.47
ˈoʊ̯	ˈɛː	0.458
d	d	0.456
ˈɑ	ˈaː	0.453
ʃ	s	0.428
ˈɪ	ˈɪː	0.424
ˈʌɪ̯	ˈiː	0.42
ˈɛə̯	ˈaː	0.4
d	d̥	0.394
ˈʌ	ˈʊː	0.393
ˈæ	ˈɑ	0.386
ɚ	ə_ʀ	0.37
z	z̥	0.358
ˈeɪ̯	-	0.353
ˈʊ	ˈʊː	0.333
ˈʊ	ˈɔ	0.333
ˈʊ	-	0.333
ˈɔ	ˈeː	0.333
s	s	0.325
ˈæ	ˈaː	0.309
ˈæ	-	0.306
ˈʌɪ̯	ˈɑ	0.29
ˈʌɪ̯	ˈi	0.29
ˈɝ	ˈʊː_ʀ	0.288
θ	d̥	0.277
ˈɛ	ˈeː	0.277
ˈaɪ̯	ˈiː	0.261
ˈʌ	-	0.259
k	k_ə	0.255
ˈɑ	ˈɔ	0.24
ˈoʊ̯	-	0.234
ɡ	ə	0.223
ˈaʊ̯	ˈoː	0.216
v	ə	0.204
v	v̥	0.204
ɹ	ʀ_ə	0.2
ˈi	ˈeː	0.196
ˈaʊ̯	-	0.19
ˈeɪ̯	ˈeː	0.178
ˈu	ˈʊː	0.177
ˈi	ˈøː	0.176
ʔ	x	0.166
ˈi	ˈɒː	0.163
ˈɑ	-	0.158
ˈaɪ̯	ˈeː_ɣ	0.158
ˈɛ	ˈɪ	0.153
ˈʌ	ˈoː	0.152
ˈaɪ̯	-	0.15
ˈɑ	ˈæː	0.149
ˈaɪ̯	ɣ̊	0.143
ˈɛ	ˈu	0.141
ˈɛ	-	0.141
ˈaɪ̯	ˈɪː	0.141
ˈɛ	ˈɒː	0.137
ˈoʊ̯	ˈi	0.136
ˈi	ˈɔː	0.136
ɫ	ə_l	0.116
n	ə	0.114
ˈɪ	ˈeː	0.108
ˈi	-	0.102
k	ə_k	0.101
l	l_ˈʊː	0.1
ˈɪ	ˈʏ	0.099
d	j_ə	0.092
ˈi	ˈi	0.09
ˈɛ	ˈæ	0.087
ˈoʊ̯	ˈʊː	0.087
ˈoʊ̯	ˈɔː	0.086
ɹ	-	0.085
ˈɪ	-	0.076
ˈaɪ̯	ˈeː	0.076
ˈʌ	ˈɔ	0.075
ˈɪ	ˈɛ	0.075
ˈɪ	ˈœ	0.075
ˈʌ	ˈɔu̯	0.073
ˈaɪ̯	ˈɛ	0.071
ˈɛ	ˈæː	0.064
ˈi	ˈiː	0.06
d	j	0.058
