Swiss German	Yiddish	probability
fː	f	1.0
j	j	1.0
k	k	1.0
kː	k	1.0
l	l	1.0
lː	l	1.0
mː	m	1.0
n	n	1.0
nː	n	1.0
p	p	1.0
rː	ʀ	1.0
sː	s	1.0
tː	t	1.0
w	l	1.0
æ	n	1.0
ʃː	ʃ	1.0
ʋ	v	1.0
ʦ	ʦ	1.0
ˈei̯	ˈaɪ̯	1.0
ˈi	ˈɪ	1.0
ˈuə̯	ˈʊ	1.0
ˈuː	ˈɔɪ̯	1.0
ˈæi̯	ˈɛɪ̯	1.0
ˈø	ˈɛ	1.0
ə	n	0.551
ˈiː	ˈɪ	0.061
ˈoː	ˈɔɪ̯	0.571
ˈyə̯	ˈʊ	0.191
ˈyː	ˈaɪ̯	0.561
ˈøi̯	ˈʊ	0.261
d̥	d	0.792
s	z	0.912
ŋ	n	0.132
ŋ	ŋ	0.822
ɡ̊ː	ɡ	0.312
ʃ	s	0.112
ˈy	ˈaɪ̯	0.12
ˈøi̯	ˈaɪ̯	0.2
ˈɒ	ˈɔ	0.12
χ	χ	0.552
p͡f	p	0.313
ɡ̊	-	0.093
ɡ̊	k	0.093
ˈe	ˈɛ	0.783
ˈiə̯	ˈɪ	0.823
ˈo	ˈɔɪ̯	0.073
ˈo	ˈʊ	0.113
ˈoː	ˈɔ	0.273
ˈy	ˈɪ	0.723
ˈæː	ˈa	0.413
ˈøi̯	ˈɛɪ̯	0.363
d̥	t	0.174
ˈeː	ˈɛ	0.344
ˈo	ˈɔ	0.814
f	f	0.985
m	m	0.965
ɡ̊	ɡ	0.735
ˈu	ˈʊ	0.705
ˈøː	ˈɛ	0.775
b̥	b	0.986
h	-	0.066
i	ɪ	0.666
ˈeː	ˈɛɪ̯	0.656
ˈoː	ˈʊ	0.156
ˈæ	ˈa	0.226
ˈøi̯	ˈɔɪ̯	0.176
i	ə	0.137
p͡f	f	0.687
ˈau̯	ˈɔɪ̯	0.967
ˈe	ˈa	0.217
ˈiə̯	ˈaɪ̯	0.177
ˈu	ˈɔ	0.227
ˈy	ˈa	0.157
ˈæː	ˈɛ	0.587
ˈøː	ˈɛɪ̯	0.157
i	-	0.198
r	ʀ	0.988
s	s	0.088
ɡ̊ː	k	0.688
ʃ	ʃ	0.848
ˈøː	ˈɔɪ̯	0.068
ˈɒ	ˈa	0.88
χ	k	0.438
h	h	0.889
t	t	0.979
ə	ə	0.429
ˈiː	ˈaɪ̯	0.939
ˈyə̯	ˈɪ	0.809
ˈyː	ˈɪ	0.439
ˈæ	ˈɛ	0.749
ˈɒː	ˈɔ	0.909
