Afrikaans	Afrikaans	probability
ˈɪə̯_v	v	1.0
ˈɪə̯_#>	ˈiː_#>	1.0
ˈɪø̯	ˈɪ	1.0
ˈɛː	ˈeː	1.0
ˈəɪ̯_k	ʧ	1.0
ˈɔ_ɫ	ˈuː	1.0
ˈœ	ˈɪ	1.0
ˈæː_r	r	1.0
ˈæ_r	ˈɔɪ̯	1.0
ˈæ_k	ˈaː	1.0
ˈyː	-	1.0
ˈoː	ˈi	1.0
ˈi_χ	ˈiː	1.0
ˈa_ɫ	ˈɑː	1.0
ˈa_r	ˈeː_r	1.0
ˈa_n	ˈø	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_χ	i	1.0
ə_k	ɪ	1.0
ŋ	ŋ	1.0
w	ˈɑː	1.0
v̥_#>	#>	1.0
v_ˈɪə̯	w	1.0
s_k	ʃ	1.0
n_s	s	1.0
n_#>	#>	1.0
m	m	1.0
i	i	1.0
d̥_#>	#>	1.0
d_ˈʊə̯	d_ˈe	1.0
b	b	1.0
n	n	0.94
v̥	f	0.931
ˈə	ˈɪ	0.87
r	r	0.821
ə_ŋ	n	0.8
t	t	0.791
p	p	0.786
ˈœɪ̯	ˈu	0.778
d̥	d	0.774
s	s	0.75
ə	ə	0.72
v	w	0.714
χ_#>	#>	0.667
k	k	0.667
j	j	0.6
ˈɪə̯	ˈe	0.538
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈœu̯	ˈɑː_l	0.5
ˈœu̯	-	0.5
ˈæ	ˈɪ	0.5
ˈæ	ˈɛ	0.5
χ	ɡ	0.483
ˈu	ˈi	0.462
ˈɔ	ˈʌ	0.455
d	d	0.438
j	d	0.4
ˈəɪ̯	ˈəi̯	0.389
d	θ	0.375
ˈi	ˈiː	0.353
ˈi	-	0.353
ˈa	ˈa	0.348
χ_#>	ə_#>	0.333
k	kʰ	0.333
ˈɔ	-	0.318
ˈu	ˈø	0.308
ˈi	ˈi	0.294
ˈʊə̯	ˈi	0.273
ˈɑː	ˈeː	0.261
ˈa	ˈɛ	0.261
ˈa	ˈɑː	0.261
ə	-	0.24
ˈɪə̯	ˈɛ	0.231
ˈʊə̯	ˈiː	0.227
ˈɔ	ˈo	0.227
d̥	θ	0.226
ˈəɪ̯	ˈiː	0.222
ˈœɪ̯	-	0.222
ˈɑː	ˈi	0.217
ˈɑː	ˈe	0.217
p	pʰ	0.214
t	tʰ	0.209
ə_ŋ	e	0.2
d	-	0.188
ˈʊə̯	ˈo	0.182
χ	x	0.172
ˈɪə̯	ˈi	0.154
ˈu	ˈɪ_ð	0.154
v	ʍ	0.143
v	-	0.143
χ	ç_t	0.138
ˈʊə̯	-	0.136
ˈə	-	0.13
ˈɑː	ˈa	0.13
ˈa	ˈɪ	0.13
ˈəɪ̯	ˈɛ	0.111
ˈəɪ̯	ˈe	0.111
ˈəɪ̯	-	0.111
χ	ç	0.103
ˈʊə̯	ˈɪ	0.091
ˈʊə̯	ˈeː	0.091
r	ə_r	0.09
ˈɑː	ˈʌ	0.087
ˈɑː	-	0.087
ˈɪə̯	ˈɛː	0.077
ˈu	ˈøː	0.077
s	s_t	0.071
χ	j	0.069
v̥	v	0.069
n	-	0.06
ˈəɪ̯	ˈaːɪ̯	0.056
s	ʃ	0.054
s	z	0.054
