American English	American English	probability
θ_ˈɪ	d_ˈɪ	1.0
ˈɛə̯	ˈɑ	1.0
ˈɛ_ð	ˈeː	1.0
ˈɛ_n	ˈi_n	1.0
ˈɑ_ɹ	ɾ	1.0
ˈoʊ̯_ɫ	ˈɑu̯	1.0
ˈoʊ̯_n	ˈeː_n	1.0
ˈi_ʔ	ˈu_t	1.0
ˈi_k	ˈeː_k	1.0
ˈi_#>	ˈɛi̯_#>	1.0
ʧ	k	1.0
ʤ	χ	1.0
ʔ	t	1.0
ɾ	t_ə	1.0
ɪ	-	1.0
ɡ	ə	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	d	1.0
t_i	i	1.0
t	t	1.0
s_ˈʌ	z_ˈoː	1.0
s_#>	z̥_#>	1.0
pʰ	p	1.0
p	p	1.0
oʊ̯	χ	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
k_s	s	1.0
i	ə_χ	1.0
h	ɦ	1.0
b	b	1.0
<#_ˈʌ	<#_ˈɔ	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ɹ	<#_ɾ	1.0
<#_ɡ	<#_χ	1.0
<#_tʰ	<#_t	1.0
<#	<#_ˈɑ	1.0
n	n	0.96
ɹ	ɾ	0.939
w	ʋ	0.935
ɫ	ɫ	0.84
ˈæ	ˈɑ	0.8
f	v	0.719
k	k	0.692
θ	d	0.667
ˈaʊ̯	ˈœy̯	0.636
ʃ	s_χ	0.636
v	v_ə	0.625
ɚ	ɾ	0.6
s	z	0.6
j	j	0.6
ˈʊ	ˈɔ	0.5
ˈʊ	ˈu	0.5
ˈeɪ̯	ˈaː	0.5
z	z̥	0.5
z	z_ə	0.5
d	d̥	0.491
d	d	0.472
ˈɔ	ˈoː	0.455
ˈɑ	ˈɔ	0.417
ˈɪ	ˈɪ	0.407
s	s	0.4
j	χ	0.4
#>	χ_#>	0.4
ˈoʊ̯	ˈeː	0.385
ˈʌɪ̯	ˈɪ_χ	0.375
ˈʌɪ̯	ˈɛi̯	0.375
ˈu	ˈu	0.375
ˈu	-	0.375
v	v̥	0.375
ˈɔ	-	0.364
ʃ	s	0.364
θ	d̥	0.333
ˈʌ	ˈɔ	0.333
ˈɝ	ˈɛ_ɾ	0.333
ˈɝ	ˈɔ_ɾ	0.333
ˈɝ	ɾ	0.333
ˈeɪ̯	ˈɑ	0.333
ɚ	ə_ɾ	0.333
ˈaɪ̯	ˈɛi̯	0.316
k	k_ə	0.308
ˈi	ˈoː	0.281
ˈi	ˈi	0.281
ˈʌɪ̯	ˈɑ_χ	0.25
ˈɛ	ˈɛ	0.25
ˈɑ	ˈaː	0.25
ˈu	ˈɑ_n	0.25
ˈoʊ̯	ˈɛi̯	0.231
ˈʌ	ˈoː	0.222
ˈi	ˈaː	0.219
f	v̥	0.219
ˈɛ	ˈoː	0.214
ˈɛ	ˈeː	0.214
ˈaɪ̯	χ_ə	0.211
ˈaɪ̯	ˈɪ	0.211
ˈæ	ˈɑ_ɫ	0.2
#>	ˈɛi̯_#>	0.2
#>	ə_#>	0.2
#>	z̥_#>	0.2
ˈɪ	ˈʏ	0.185
ˈɔ	ˈɑ	0.182
ˈaʊ̯	ˈu	0.182
ˈaʊ̯	-	0.182
ˈɛ	ˈaː	0.179
ˈʌ	ˈœy̯	0.167
ˈʌ	ˈu	0.167
ˈɑ	ˈɑ	0.167
ˈɑ	-	0.167
ˈeɪ̯	χ	0.167
ɫ	ə_ɫ	0.16
ˈaɪ̯	ˈoː_χ	0.158
ˈoʊ̯	ˈoː	0.154
ˈoʊ̯	-	0.154
ˈɪ	ˈɛ	0.148
ˈi	ˈu	0.125
ˈʌ	-	0.111
ˈɪ	ˈeː	0.111
ˈaɪ̯	ˈœy̯	0.105
ˈi	ˈeː	0.094
ˈoʊ̯	ˈøː	0.077
ˈɪ	ˈɛi̯	0.074
ˈɪ	ˈi	0.074
ˈɛ	ˈɑ	0.071
ˈɛ	-	0.071
ɚ	ˈyː_ɾ	0.067
w	-	0.065
f	χ	0.062
ɹ	ɾ_ə	0.061
