Occitan	Ladin	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#	1.0
a_n	a_n	1.0
a_ð	a_d	1.0
a_β	a_v	1.0
d_ɾ	d_e	1.0
e_n	e_n	1.0
i	i	1.0
j_ˈɛ	ˈɛ	1.0
k	k	1.0
k_#>	k_#>	1.0
k_ɔ	ʨ_a	1.0
l_#>	l_#>	1.0
l_ɔ	l	1.0
l_ˈa	l_ˈa	1.0
m	m	1.0
m_#>	m_#>	1.0
m_b	m	1.0
n_#>	n_t_#>	1.0
p_#>	f_#>	1.0
r	r	1.0
r_#>	r_#>	1.0
s_k	k	1.0
s_p	ʃ_p	1.0
s_t	s_t	1.0
t	t	1.0
t_#>	t_#>	1.0
u	o	1.0
w	-	1.0
w_#>	f_#>	1.0
w_ɾ	v	1.0
z	ʒ	1.0
ŋ	ŋ	1.0
ɔ	-	1.0
ɔ_#>	a_#>	1.0
ɣ	ɡ	1.0
ɥ_ˈɔ	w_ˈɛ	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_#>	1.0
ɲ_ɔ	ɲ	1.0
ɾ_e	e	1.0
ɾ_ˈa	r_ˈa	1.0
ʤ	-	1.0
ʦ	ʦ	1.0
ʦ_#>	ʃ_#>	1.0
ʧ_#>	t_#>	1.0
ˈa_j	ˈɛ	1.0
ˈa_n	ˈa_n	1.0
ˈa_ŋ	ˈa_ŋ	1.0
ˈe_j	ˈe	1.0
ˈi	ˈi	1.0
ˈi_#>	ˈi_#>	1.0
ˈi_n	ˈi_n	1.0
ˈu_n	ˈɔ_n	1.0
ˈy	ˈu	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_r	ˈɛ_r	1.0
<#_k	<#_k	0.571
<#_v	<#	0.211
l	l	0.81
s	-	0.111
s	ʨ	0.111
ɾ	-	0.161
ˈa	-	0.091
<#_e	<#_s	0.2
<#_s	<#_s	0.792
<#_ʤ	<#_ɡ	0.222
<#_ˈa	<#	0.222
n	-	0.182
n	ɲ	0.182
ˈa_#>	ˈe_#>	0.722
ˈu	d	0.062
β	ˈo_w	0.222
β	l_b	0.222
e	e	0.583
e_#>	r_#>	0.083
e_#>	e_#>	0.333
e_#>	#>	0.583
s	ʧ	0.333
s_#>	s_#>	0.833
ɥ	-	0.333
ˈa	ˈɛ	0.303
ˈa_w	ˈɔ	0.333
ˈa_w	w_ˈɛ	0.333
ˈa_w	ˈa_w	0.333
ˈe	ˈe_j	0.423
ˈɔ	ˈo	0.143
#>	r_#>	0.464
a	e	0.214
s	ʃ	0.444
ʎ	j	0.4
ˈu	ˈɔ	0.094
ˈu	ˈu	0.094
<#_a	<#	0.5
<#_a	<#_a	0.5
e	j	0.25
j	j	0.5
j	-	0.5
l	-	0.095
l	l_a	0.095
ð	t	0.25
ð	d	0.75
ˈe_#>	ˈɛ_n_#>	0.5
ˈe_#>	j_#>	0.5
ˈu	ˈo_w	0.25
ˈu	ˈo	0.5
#>	n_#>	0.536
a	a	0.786
n	n	0.636
ʎ	-	0.6
ˈa	ˈa	0.606
β	v	0.556
e	-	0.167
s_#>	p_#>	0.167
ɥ	w	0.667
ˈe	ˈe	0.577
ˈɛ	ˈɛ	0.647
<#_e	<#	0.8
<#_s	<#	0.208
<#_ʤ	<#_ʒ	0.778
<#_ˈa	<#_ˈa	0.778
ˈa_#>	ˈa_n_#>	0.278
ˈɔ	w_ˈɛ	0.238
ˈɛ	ˈe	0.118
ˈɛ	j_ˈɛ	0.118
<#_k	<#_ʨ	0.429
<#_v	<#_v	0.789
ɾ	r	0.839
ˈɔ	ˈɔ	0.619
ˈɛ	-	0.059
ˈɛ	ˈɛ_d	0.059
