Friulian	Friulian	probability
ˈɛ_ŋ	ˈẽ_j̃	1.0
ˈɔː	ˈo_w	1.0
ˈuː_k	ˈo_ɡ	1.0
ˈoː_r	ˈo_h	1.0
ˈo_n	ˈõ	1.0
ˈo_d	ˈe	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_n	ˈẽ	1.0
ˈa_w	ˈo_w	1.0
ˈa_v	ˈa_b	1.0
ˈa_n	ˈɐ̃	1.0
ʤ	ʒ	1.0
ɟ	-	1.0
ŋ_k	ɡ	1.0
z_v	v	1.0
w_ˈa	ˈɔ	1.0
v_j	v	1.0
s_ˈe	s_ˈe	1.0
r_ˈɛ	ɾ_ˈe	1.0
p_l	ʃ	1.0
p	p	1.0
n_e	ɐ	1.0
m_i	m_e	1.0
m	m	1.0
l_i	ʎ_u	1.0
l_e	ɐ	1.0
l_#>	#>	1.0
k_r	k_ɾ	1.0
j_ˈɛ	ˈɛ	1.0
f_l	ʃ	1.0
f_#>	v_i_#>	1.0
f	f	1.0
e_n	ẽ	1.0
e_#>	#>	1.0
d_ˈu	t_ˈo	1.0
c	k	1.0
b_e	v_ɐ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
v	v	0.875
b	b	0.867
ɲ	j̃	0.818
e	ɐ	0.817
ˈuː	ˈu	0.75
n_t	t_u	0.75
k	k	0.75
ɡ	ɡ	0.714
ʧ	s	0.706
w_ˈɛ	ˈo	0.667
u	o	0.667
j	-	0.667
ˈeː	ˈe	0.625
d	d	0.625
ˈoː	ˈɔ_j	0.6
z	z	0.6
<#_j	<#_l	0.6
a	a	0.591
#>	u_#>	0.557
o	o	0.556
ˈaː	ˈa	0.55
r	ɾ	0.544
ˈu	ˈũ	0.538
ˈɔ	ˈo	0.5
s	s	0.492
ˈa	ˈɐ̃	0.462
ˈaː	ˈa_h	0.45
ˈɛ	ˈɛ	0.444
ˈa	ˈa	0.436
ŋ	w̃	0.429
n	-	0.429
l	l	0.412
a	-	0.409
ˈoː	ˈu	0.4
z	s	0.4
<#_j	<#	0.4
ˈe	ˈe	0.389
ˈi	ˈi	0.375
ˈeː	-	0.375
ˈiː	ˈɛ	0.364
ˈo	ˈo	0.357
n	n	0.357
l	w	0.353
ˈɛ	ˈe	0.333
w_ˈɛ	ˈɔ	0.333
u	-	0.333
j	ˈɛ	0.333
t	t	0.327
ˈi	ˈĩ	0.312
w	w	0.312
w	-	0.312
ˈu	ˈu	0.308
ˈɔ	ˈo_j	0.3
ɡ	ɡ_w	0.286
ˈe	ˈe_j	0.278
ˈiː	ˈe_h	0.273
s	ʃ	0.262
ˈuː	ˈɔ	0.25
w	ˈo	0.25
n_t	t	0.25
k	k_u	0.25
#>	i_#>	0.241
ŋ	j̃	0.238
ŋ	-	0.238
ˈɛ	ˈẽ	0.222
o	õ	0.222
o	-	0.222
i	i	0.219
n	j̃	0.214
ˈɔ	-	0.2
d	ʤ	0.188
d	-	0.188
ˈiː	ˈi_h	0.182
ˈiː	ˈi	0.182
ɲ	-	0.182
ʧ	-	0.176
l	-	0.176
r	h	0.175
t	ʧ	0.173
ˈe	ˈẽ	0.167
ˈe	-	0.167
ˈi	-	0.156
i	ˈe_h	0.156
i	u	0.156
i	-	0.156
ˈu	ˈõ	0.154
ˈo	ˈɔ	0.143
ˈo	ˈõ	0.143
r	ɦ	0.14
b	v	0.133
w	ˈɔ	0.125
v	b	0.125
i	h	0.125
ʧ	s_u	0.118
t	d_u	0.115
t	-	0.115
ˈo	ˈɐ̃	0.107
ˈo	ˈu	0.107
ˈa	-	0.103
s	j_ʃ	0.098
s	e_ʃ	0.098
t	ʤ_i	0.096
ŋ	n_u	0.095
ˈi	ˈẽ	0.094
#>	ɐ_#>	0.076
ˈo	ˈũ	0.071
ˈo	-	0.071
r	-	0.07
e	e	0.07
ˈi	ˈi_ʎ	0.062
i	ĩ	0.062
i	ẽ	0.062
i	e	0.062
l	u	0.059
t	t_u	0.058
t	j_t	0.058
t	d	0.058
#>	ʃ_#>	0.051
