Portuguese	Portuguese	probability
ˈɨ	ˈɛ	1.0
ˈɛ_ʃ	ˈɛə̯_s	1.0
ˈo_w	ˈɔə̯	1.0
ˈo_j	ˈɔ	1.0
ˈe_ɾ	ˈi	1.0
ˈa_ɾ	ˈeə̯	1.0
ʒ	ð	1.0
ʁ	r	1.0
ɾ_ɐ	r_ɐ	1.0
ɾ_u_#>	r_#>	1.0
ɾ_t	r_t	1.0
ɾ_#>	#>	1.0
ɫ	l	1.0
ɣ	ɡ	1.0
ɡ	ŋ_ɡ	1.0
ɐ_#>	#>	1.0
ð_ɐ	d_ɐ	1.0
z	-	1.0
w̃_#>	#>	1.0
ũ	b_l	1.0
u_#>	#>	1.0
t_ɨ	t	1.0
p	p	1.0
õ	u_n	1.0
o	-	1.0
n_u	ɐ_n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j̃	-	1.0
j_ʃ	s	1.0
ĩ	-	1.0
i_ʃ	s	1.0
f	f	1.0
ẽ	ɐ_n	1.0
d	d	1.0
b	b	1.0
<#_ʃ	<#_ʧ	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ˈɐ̃	ˈʌ̃	0.941
t	t	0.893
v	v	0.844
ɐ	ɐ	0.843
ɾ	r	0.841
β	v	0.778
n	n	0.714
j	-	0.7
ɲ	ɲ	0.636
ˈĩ	ˈẽ	0.6
ˈẽ	ˈẽ_n	0.6
ˈa	ˈeə̯	0.581
ʃ_#>	#>	0.571
ð	t	0.571
ʎ	j	0.556
s	s	0.556
ɨ	-	0.548
ˈɐ_j	ˈɛə̯	0.5
ˈõ	ˈõũ̯	0.5
ˈõ	ˈou̯_n	0.5
ɾ_ɨ	ɐ_r	0.5
ɾ_ɨ	r	0.5
ɐ̃	ɐ_n	0.5
ɐ̃	ɐ	0.5
i	i	0.5
i	-	0.5
ˈi	ˈi	0.464
ɨ	ɐ	0.452
ʎ	ʧ	0.444
#>	r_#>	0.444
ʃ	s	0.438
ˈɐ	ˈʌ̃	0.429
ʃ_#>	z_#>	0.429
ˈɛ	ˈɛə̯	0.4
ˈĩ	ˈɛ	0.4
ˈẽ	ˈɛ_n	0.4
w	v	0.4
w	-	0.4
s	θ	0.378
ˈu	ˈu	0.368
ˈu	ˈo	0.368
ɲ	n	0.364
ˈɐ	ˈɛ	0.357
ˈa	ˈa	0.355
u	u	0.353
ˈɔ	ˈɔə̯	0.35
ˈo	ˈo	0.344
#>	l_#>	0.333
ˈe	ˈɛ	0.321
ˈɔ	ˈou̯	0.3
j	n	0.3
ð	d	0.286
n	-	0.286
ˈɛ	ˈeː	0.25
ˈɐ_j	ˈi	0.25
ˈɐ_j	ˈa	0.25
ˈo	ˈou̯	0.25
ˈi	ˈɛ	0.25
ˈe	ˈeː	0.25
β	-	0.222
#>	ɐ_#>	0.222
ˈɐ	-	0.214
ˈɛ	-	0.2
w	u_l	0.2
ˈo	ˈɔə̯	0.188
ʃ	p_j	0.188
ˈi	-	0.179
u	ɐ	0.176
u	r	0.176
u	-	0.176
ˈu	ˈou̯	0.158
ˈo	ˈɔ	0.156
v	b	0.156
ˈɛ	ˈɛ	0.15
ˈɔ	ˈɔ	0.15
ˈe	ˈi	0.143
ð	-	0.143
ʃ	ˈeː_t	0.125
ʃ	z_ɐ	0.125
ʃ	f_j	0.125
u	l	0.118
ˈi	ˈẽ	0.107
ˈe	-	0.107
t	n_t	0.107
ˈu	-	0.105
ˈɔ	ˈo	0.1
ˈɔ	u_j	0.1
ˈe	ˈeə̯	0.071
ˈe	ɐ	0.071
ɾ	ɐ	0.068
s	-	0.067
ˈa	-	0.065
ˈo	-	0.062
ˈɐ̃	ˈɛ̃	0.059
ɐ	-	0.057
