American English	American English	probability
θ_#>	#>	1.0
ˈɛ_ɫ	ˈeː_l	1.0
ˈi_ɚ	ʀ	1.0
ˈi_#>	ˈi_#>	1.0
ˈeɪ̯_#>	ˈɛi̯_#>	1.0
ʧ	k	1.0
ʤ	-	1.0
ʃ	ʃ	1.0
ɾ	d_ə	1.0
ɹ_ˈi	ʀ_ˈiː	1.0
ɹ_n	ʀ_n	1.0
ɹ	ʀ	1.0
ɫ_d	lʲ	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	-	1.0
tʰ	t	1.0
t_i	ɛi̯	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
oʊ̯	j	1.0
n_t	n_t	1.0
m	m	1.0
l_ˈaɪ̯	w	1.0
l	l	1.0
kʰ	k	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f_#>	v̥_#>	1.0
f	f	1.0
d_ɚ	ə_ʀ	1.0
b	b	1.0
<#_ɹ	<#_ʀ	1.0
<#	<#_j	1.0
ɫ	l	0.895
t	t	0.857
k	k	0.857
w	v	0.846
ɡ	ɡ	0.833
n	n	0.769
ʔ	t	0.72
ˈeɪ̯	-	0.714
ˈɛə̯	ˈœ	0.667
ˈɔ	ˈɔ	0.667
θ	t	0.643
ˈʊ	ˈœ	0.6
ɚ	ʀ	0.583
ˈaʊ̯	ˈʏ	0.571
ˈaɪ̯	ˈi	0.562
ˈu	-	0.545
ˈoʊ̯	ˈiː	0.529
ˈɝ	ˈœ_ʀ	0.5
ˈɝ	ʀ	0.5
v	v_ə	0.5
ˈɑ	-	0.467
n_d	n	0.444
#>	ç_#>	0.444
d	d	0.441
ˈʊ	-	0.4
ˈʌɪ̯	ˈɒ_x	0.375
ˈʌɪ̯	ˈi	0.375
ˈɛ	-	0.375
ˈæ	ˈɒː	0.364
ˈɛə̯	ˈɔː	0.333
ˈɔ	-	0.333
ɚ	ə_ʀ	0.333
n_d	nʲ	0.333
#>	nʲ_#>	0.333
ˈʌ	ˈʊ	0.292
ˈi	ˈiː	0.286
ˈeɪ̯	ˈʊ	0.286
ʔ	tʲ	0.28
ˈæ	-	0.273
ˈu	ˈɔu̯	0.273
ˈʌɪ̯	ˈa_x	0.25
ˈi	ˈɛ	0.25
ˈi	ˈuː	0.25
v	v̥	0.25
v	v	0.25
d	dʲ	0.235
ˈɪ	ˈa	0.231
ˈɪ	-	0.231
n_d	n_ə	0.222
#>	k_#>	0.222
θ	z̥	0.214
ˈi	ˈɛi̯	0.214
ˈaʊ̯	ˈœː	0.214
ˈaʊ̯	-	0.214
ˈɛ	ˈyː	0.208
d	d̥	0.206
ˈɑ	ˈɔː	0.2
ˈɑ	ˈa	0.2
ˈɪ	ˈi	0.192
ˈaɪ̯	ˈiː	0.188
ˈæ	ˈuː_l	0.182
ˈæ	ˈeː	0.182
ˈu	ˈœ	0.182
ˈoʊ̯	ˈœ	0.176
ˈoʊ̯	-	0.176
ˈʌ	ˈɔu̯	0.167
ˈɛ	ˈɛː	0.167
ˈɛ	ˈɒː	0.167
ɡ	ə	0.167
ˈɪ	ˈʊ	0.154
w	-	0.154
θ	d	0.143
t	-	0.143
k	-	0.143
ˈɑ	ˈɒ	0.133
ˈʌ	ˈʏ	0.125
ˈʌ	ˈaː	0.125
ˈʌ	ˈa	0.125
ˈaɪ̯	ˈuː_x	0.125
ˈaɪ̯	-	0.125
ˈoʊ̯	ˈyː	0.118
d	-	0.118
ˈɪ	ˈeː	0.115
ɫ	lʲ	0.105
n	n_ə	0.103
ˈʌ	ˈœː	0.083
ˈʌ	ˈœ	0.083
ˈɛ	ˈɒ	0.083
ɚ	ə	0.083
ˈɪ	ˈai̯	0.077
n	nʲ	0.077
n	ə_n	0.051
