Gothic	Gothic	probability
β	β	1.0
ˈɛ	ˈe	1.0
ˈuː	ˈuː	1.0
ˈu	ˈu	1.0
ˈoː	ˈɔː	1.0
ˈa_n	ˈɑ_n	1.0
ˈa	ˈɑ	1.0
ʍ	xʷ	1.0
ɣ	ɣ	1.0
ɡʷː	wː	1.0
ɡʷ	ɡʷ	1.0
ɔː	ɔːu̯	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	-	1.0
x	ɣ_ɑ	1.0
w	w	1.0
u_s	s	1.0
u	u	1.0
s_ˈi	s_ˈi	1.0
s_w	s_w	1.0
r_n	r_n	1.0
r	r	1.0
nː	nː	1.0
m	m	1.0
lː	lː_ɑ	1.0
kʷ	kʷ	1.0
k	k	1.0
j	j	1.0
e	-	1.0
d_a	jː	1.0
d	d	1.0
aː	-	1.0
a_#>	ɔː_#>	1.0
<#_ˈu	<#_ˈu	1.0
<#_n	<#_n	1.0
h	x	0.939
n	n	0.929
ˈɛː	ˈɑi̯	0.917
l	l	0.912
#>	ɑ̃_#>	0.898
b	b	0.882
ˈeː	ˈɛː	0.857
t	t	0.857
f	ɸ	0.818
ˈiː	ˈiː	0.8
θ	θ	0.76
ˈɔː	ˈɑu̯	0.75
p	p	0.75
a	ɑ	0.649
ˈɔ	ˈu	0.625
ɡ	ɣ	0.6
ˈi	ˈi	0.576
ˈiu̯	ˈeu̯	0.545
iː	i_j	0.5
iː	-	0.5
i	i	0.5
oː	ɔ̃ː	0.429
ˈi	ˈe	0.424
s	z	0.383
ˈɔ	ˈɑu̯	0.375
s	s	0.355
ɡ	ɡ	0.3
i	-	0.3
oː	ɔːː	0.286
oː	ɔː	0.286
ˈiu̯	ˈe_w	0.273
ˈɔː	ˈu	0.25
p	p_ɑ	0.25
s	ɑ_z	0.243
ˈiː	-	0.2
i	ɑ	0.2
ˈiu̯	ˈiu̯	0.182
ˈeː	ˈeː	0.143
θ	ð_ɑ	0.12
θ	ð	0.12
b	-	0.118
a	ɛː	0.108
a	ɔːː	0.108
#>	z_#>	0.102
ɡ	-	0.1
f	β_ɑ	0.091
f	β	0.091
l	l_ɑ	0.088
t	t_ɑ	0.086
ˈɛː	ɑi̯	0.083
a	e	0.081
n	n_ɑ	0.071
h	n_x	0.061
t	-	0.057
a	j_ɑ	0.054
