Ligurian	Brazilian Portuguese	probability
ˈyː	ˈu	1.0
ˈy_t	ˈo_d	1.0
ˈi_ŋ	ˈĩ	1.0
ˈe_ŋ	ˈẽ	1.0
ˈa_ŋ	ˈɐ̃	1.0
ʧ	-	1.0
ʒ_e	j_ʃ	1.0
ɲ	j̃	1.0
ɥ	a_d	1.0
ɡ	ɡ	1.0
ɔː	o	1.0
y	j_m	1.0
v_ˈa	v_ˈa	1.0
t_r	j	1.0
s_t	ʃ_t	1.0
r_t	h_ʧ	1.0
r_k	h_k	1.0
p	p	1.0
o	u	1.0
k	k	1.0
j_ˈaː	ˈɔ	1.0
i_ŋ	ĩ	1.0
f	f	1.0
d_e	h	1.0
a_v	a_b	1.0
m	m	0.924
l	l	0.846
a	ɐ	0.824
s	s	0.817
u	u	0.733
ʃ	ʃ	0.725
b	b	0.708
n	n	0.69
v	v	0.684
ˈy	ˈũ	0.652
ʤ	ʎ	0.639
ˈa	ˈɐ̃	0.635
ˈøː	ˈo	0.617
ˈi	ˈĩ	0.589
ˈø	ˈo	0.529
ˈɛ	ˈɛ	0.525
ˈu_ŋ	ˈõ	0.511
i	i	0.507
ˈe	ˈe	0.505
ˈu_ŋ	ˈo	0.489
ˈɛ	a_ɾ	0.475
ʒ	-	0.475
ˈø	-	0.471
r	ɾ	0.471
ˈɔː	ˈo	0.454
d	d	0.437
t	t	0.436
ˈaː	ˈa_h	0.435
j	ɾ	0.434
ˈiː	ˈi	0.429
ˈaː	ˈa	0.42
e	i	0.417
ˈi	ˈi	0.411
ˈeː	ˈe	0.41
j	-	0.385
ˈøː	ˈɔ	0.383
w	w	0.376
ˈɛː	ˈɛ	0.362
ˈɔː	ˈɔ	0.355
i	-	0.354
ˈy	-	0.348
ˈu	ˈõ	0.342
w	-	0.335
z	z	0.334
v	b	0.316
ˈɛː	ˈe	0.314
d	ʤ	0.314
n	-	0.31
ˈɔ	-	0.307
ˈɔ	ˈõ	0.299
ˈu	ˈɐ̃	0.294
b	-	0.292
w	o	0.289
ʒ	z	0.285
ʃ	s	0.275
ŋ	j̃	0.266
r	ɦ	0.264
ˈu	ˈo	0.254
ˈuː	ˈɔ	0.253
d	-	0.25
ˈa	ˈa	0.248
z	-	0.242
z	ɾ	0.241
ʒ	v	0.24
ˈɔ	ˈɔ	0.236
ˈeː	ˈɛ	0.231
ˈuː	ˈu	0.23
ŋ	j	0.23
ˈiː	ˈi_h	0.222
ˈiː	ˈe_h	0.222
t	ʧ	0.222
e	e	0.22
ˈuː	ˈo	0.203
ŋ	-	0.203
ˈɔː	ˈo_w	0.191
ˈeː	ˈẽ	0.191
ˈe	ˈẽ	0.191
e	-	0.186
ʤ	ʒ	0.184
z	j	0.182
ʤ	-	0.177
ˈe	-	0.173
ˈuː	ˈɔ_l	0.171
ˈɔ	ˈo	0.158
l	-	0.154
ŋ	ˈĩ_j̃	0.15
ŋ	n	0.15
t	d	0.145
ˈuː	ˈo_h	0.142
i	u_ʃ	0.139
ˈe	ˈɛ	0.131
ˈiː	ˈe	0.127
r	h	0.126
ˈa	-	0.116
ˈu	ˈu	0.11
ˈɛː	ˈa_ʤ	0.109
ˈɛː	ˈa	0.109
s	ʃ	0.109
t	-	0.107
ˈɛː	-	0.106
j	h	0.106
a	a	0.094
u	-	0.093
ˈaː	ˈa_w	0.089
t	j_t	0.089
ˈeː	-	0.088
r	-	0.084
ˈeː	ˈɛ_w	0.08
m	m_a	0.076
j	j_ʃ	0.076
e	ˈe_h	0.072
u	ɾ_u	0.063
u	i	0.061
ˈaː	a	0.056
r	w	0.054
u	o	0.05
