Afrikaans	German	probability
χ_t	x_t	1.0
χ_r	ɡ_ʁ	1.0
ˈʊə̯_r	ˈɔ	1.0
ˈɪə̯_n	ˈaɪ̯_n	1.0
ˈɪø̯	ˈoː	1.0
ˈɛ	ˈɛ	1.0
ˈœ	ˈʏ	1.0
ˈæː	ˈɛ	1.0
ˈyː	ˈɔʏ̯	1.0
ɦ	h	1.0
ə_r	ɐ	1.0
ə_#>	ə_#>	1.0
w	v	1.0
v̥	b̥	1.0
v	v	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
r_ə	ɐ	1.0
n_ə	n_ɪ	1.0
n_#>	#>	1.0
m	m	1.0
j	j	1.0
f	f	1.0
d_ə	t	1.0
b	b	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
ɫ	l	0.959
n	n	0.955
ˈə	ˈɪ	0.9
ˈəɪ̯	ˈaɪ̯	0.882
#>	ə_#>	0.848
ˈa	ˈa	0.758
ˈi	ˈiː	0.75
ˈœɪ̯	ˈaʊ̯	0.727
ˈu	ˈuː	0.714
ŋ	ŋ	0.647
ˈœu̯	ˈa_l	0.6
r	ɐ	0.574
ˈæ	ˈɛ	0.571
d	d	0.543
ˈɔ	ˈʊ	0.522
d̥	d̥	0.5
ˈɔ	ˈɔ	0.478
p	f	0.467
χ	ɡ	0.459
ˈɑː	ˈaː	0.458
d	tʰ	0.457
s	z	0.447
t	ʦ	0.432
ˈæ	ˈɪ	0.429
k	kʰ	0.424
ˈœu̯	ˈaʊ̯	0.4
ˈʊə̯	ˈoː	0.391
r	ʁ	0.389
s	ʃ	0.383
d̥	t	0.375
ˈɪə̯	ˈeː	0.357
ˈɪə̯	ˈaɪ̯	0.357
p	p͡f	0.333
t	s	0.297
ˈɪə̯	ˈɛ	0.286
ˈu	ˈyː	0.286
ˈœɪ̯	ˈɔʏ̯	0.273
ˈʊə̯	ˈaʊ̯	0.261
ˈɑː	ˈa	0.25
ˈi	ˈeː	0.25
k	ç	0.242
ŋ	n	0.235
ə	ɪ	0.231
ə	ɐ	0.231
ə	-	0.231
p	f_n	0.2
ˈa	ˈaː	0.182
ˈʊə̯	ˈɔ	0.174
ˈʊə̯	ˈøː	0.174
χ	ɡ̊	0.162
ə	ə	0.154
ə	n	0.154
k	x	0.152
χ	k	0.135
t	t	0.135
t	s_n	0.135
ˈɑː	ˈɛː	0.125
ˈəɪ̯	n	0.118
ŋ	ç	0.118
ˈə	ˈaɪ̯	0.1
k	k_n	0.091
k	k	0.091
#>	t_#>	0.091
s	s_t	0.085
ˈɑː	ˈoː	0.083
ˈɑː	ˈeː	0.083
χ	ç_t	0.081
d̥	t_n	0.062
d̥	-	0.062
ˈa	ˈɛ	0.061
#>	ɐ_#>	0.061
χ	ç	0.054
χ	x_t	0.054
χ	x	0.054
