Portuguese	Portuguese	probability
β_ɾ	f	1.0
β	-	1.0
ˈɐ̃_w̃	ˈɔ̃	1.0
ˈɐ_j	ˈiː	1.0
ˈũ	ˈɔ̃	1.0
ˈõ	ˈɔ̃	1.0
ˈo_ɾ	w_ˈa	1.0
ˈo_ɣ	ˈøː	1.0
ˈo_ɐ	ˈuː_n	1.0
ˈo_ð	ˈɔ	1.0
ˈo_w	ˈoː	1.0
ˈi_ɲ	ˈẽ	1.0
ˈi_ɣ	ˈi	1.0
ˈẽ_t	ˈɛ̃	1.0
ˈẽ	ˈɛ̃	1.0
ˈe_ɾ	ʀ	1.0
ˈe_k	ˈɛ_ʧ	1.0
ˈa_ɾ	ˈe	1.0
ˈa_ɫ	ˈɔː	1.0
ʒ_w	ɲː	1.0
ʎ_ɐ	j	1.0
ʎ_u_#>	#>	1.0
ʎ	j	1.0
ʃ_ɐ	ʃ	1.0
ʃ_t	s	1.0
ʁ	ʀ	1.0
ɾ_t	ˈa	1.0
ɾ_#>	#>	1.0
ɫ_#>	#>	1.0
ɫ	l	1.0
ɣ_ɐ	j	1.0
ɣ_w	w	1.0
ɐ̃	ɑ̃	1.0
ɐ_ʒ	ɛː	1.0
ɐ_#>	#>	1.0
ð_ɐ	j	1.0
w̃	-	1.0
u_#>	#>	1.0
t_ɾ	t	1.0
t_u_#>	#>	1.0
õ	ɔ̃	1.0
o	ɔ	1.0
n_ɐ	ˈɛ̃_n	1.0
l_u	ˈa	1.0
k_u	ʃ	1.0
j̃_#>	#>	1.0
ĩ	ẽ	1.0
i_ʃ	s	1.0
i	-	1.0
f	f	1.0
ẽ	ɛ̃	1.0
b	b	1.0
<#_ˈo	<#_ˈuː	1.0
<#_ʁ	<#_ʀ	1.0
<#_ɔ	<#_ɔ	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_ɛ	1.0
<#	<#_a	1.0
#>	ˈɛ_#>	1.0
p	p	0.931
d	d	0.857
ð	-	0.833
ɨ	-	0.825
m	m	0.815
t	t	0.8
ɣ	-	0.75
s	s	0.725
ɾ	ʀ	0.724
ʃ_#>	#>	0.714
ʒ	ʤ	0.7
ɲ	ɲ	0.7
j	-	0.688
n	-	0.667
k_ɐ	ʧ	0.667
v	v	0.656
k	k	0.625
ˈĩ	ˈɛ̃	0.6
w	-	0.571
ɡ	ɡ	0.556
z	-	0.5
u	-	0.5
ɐ	-	0.438
ˈo	ˈɔ	0.429
w	w	0.429
ˈi	ˈɛ	0.421
ˈɐ̃	ˈɑ̃	0.4
ˈɐ	-	0.4
ˈĩ	ˈẽ	0.4
l	j	0.385
ˈɛ	j	0.333
ˈɐ	ˈa	0.333
u	ɔ	0.333
n	n	0.333
k_ɐ	ʧ_ɛ	0.333
ˈe	ˈɛ	0.32
ˈɔ	w	0.318
ɐ	a	0.312
l	l	0.308
l	-	0.308
ʒ	-	0.3
ɲ	n	0.3
ʃ_#>	ˈɛ_#>	0.286
k	ʧ	0.281
ˈɐ̃	ˈɛ̃	0.267
ˈɐ	w	0.267
ʃ	s	0.263
ɣ	ɡ	0.25
z	ʒ	0.25
z	s	0.25
ˈɔ	ˈɔ	0.227
ˈɛ	ˈiː	0.222
ˈɛ	j_ˈɛ	0.222
ɡ	k	0.222
ɡ	-	0.222
ˈi	ˈiː	0.211
ˈi	-	0.211
ʃ	ʃ	0.211
ˈa	ˈɔː	0.206
ˈa	ˈiː	0.206
ˈa	ˈa	0.206
ˈɐ̃	-	0.2
ˈu	ˈøː	0.2
ˈu	ˈuː	0.2
ˈu	ˈu	0.2
ˈu	-	0.2
ˈe	ˈi	0.2
ˈe	w	0.2
ˈe	-	0.2
t	-	0.2
j	ˈɛ	0.188
m	-	0.185
ð	d	0.167
u	j_ˈa	0.167
ˈi	ˈi	0.158
ʃ	p_l	0.158
ʃ	-	0.158
v	-	0.156
s	-	0.15
ˈo	ˈøː	0.143
ˈo	ˈu	0.143
d	-	0.143
ɾ	-	0.138
ˈɔ	ˈøː	0.136
ˈɔ	ˈuː	0.136
ˈɐ̃	ˈẽ	0.133
ˈu	ˈy	0.133
ɨ	ɛ	0.125
ɐ	ɔː	0.125
ɐ	n	0.125
v	f	0.125
s	ʃ	0.125
j	j	0.125
ˈɛ	ˈɛ	0.111
ˈɛ	-	0.111
ʃ	k_l	0.105
ʃ	f_l	0.105
ɾ	ˈe	0.103
ˈo	ˈuː	0.095
ˈo	ɔ	0.095
ˈo	-	0.095
k	-	0.094
ˈɔ	ˈoː	0.091
ˈɔ	ɔ	0.091
ˈa	ˈɛː	0.088
ˈa	ˈe	0.088
ˈa	-	0.088
ˈe	ˈeː	0.08
p	-	0.069
ˈu	ˈœ̃	0.067
v	v_i	0.062
ˈa	w	0.059
ˈa	l	0.059
