American English	East Franconian	probability
θ	d̥	1.0
ˈʌ_n	ˈoː_n	1.0
ˈɔ_ɹ	ɐ	1.0
ʤ	ɡ̊_n	1.0
ʃ	ʃ	1.0
ɾ	z̥	1.0
ɹ_n	ɐ_n	1.0
ɪ	-	1.0
ɡ	ɡ̊	1.0
ɚ	ɐ	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z	z̥	1.0
tʰ	ʦ	1.0
pʰ	b̥͡v̥	1.0
oʊ̯	-	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b	b̥	1.0
d	d̥	0.939
w	v	0.913
n	n	0.897
ɫ	l	0.876
ð	ɾ	0.768
t	d̥	0.765
ˈɪ	ˈɪ	0.747
ˈʌ	ˈʊ	0.671
ˈɛə̯	ˈɒ	0.667
ˈɔ	ˈɔ	0.667
ɹ	r	0.627
ʧ	kʰ	0.626
ˈu	-	0.595
s	s	0.583
ˈɝ	ɐ	0.567
ˈaʊ̯	ˈaʊ̯	0.565
v	β	0.554
ˈʌɪ̯	ˈaɪ̯	0.553
p	v̥	0.53
k	ɡ̊	0.527
ˈaɪ̯	ˈaɪ̯	0.51
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuː	0.5
i	ɪ	0.5
i	-	0.5
ʔ	s	0.498
ˈoʊ̯	ˈaː	0.497
p	f	0.47
v	f	0.446
ˈɝ	ˈɔ_ɐ	0.433
ˈɑ	ˈɒ	0.422
ˈu	ˈuː	0.405
s	ʃ	0.394
ˈɛ	ˈɛ	0.386
ʧ	ç	0.374
ɹ	ɐ	0.373
ˈeɪ̯	ˈoː	0.337
ˈæ	ˈɒ	0.335
ˈɛə̯	-	0.333
ˈɔ	ˈɛ	0.333
ˈaɪ̯	ˈɪ	0.301
ˈi	ˈiː	0.284
ˈoʊ̯	-	0.279
ˈɛ	-	0.257
ˈæ	ˈoː	0.251
ˈæ	ˈɛ	0.246
t	-	0.235
ð	-	0.232
ˈeɪ̯	-	0.228
ˈʌɪ̯	ˈɒ	0.224
ˈʌɪ̯	-	0.224
k	x	0.214
ˈeɪ̯	ˈoː_ŋ	0.213
ˈɑ	ˈɔ	0.197
ˈɑ	ˈɛ	0.19
ˈaɪ̯	ˈiː_ŋ	0.189
ʔ	z̥_n	0.186
ˈaʊ̯	-	0.185
ˈæ	ˈɒ_l	0.168
ˈi	ˈoː	0.16
ˈʌ	ˈuː	0.153
ˈi	ˈaː	0.15
ˈoʊ̯	ˈiː	0.137
k	ŋ	0.133
ʔ	x_d̥	0.126
k	ç	0.126
ˈaʊ̯	ˈuː_ɣ̊	0.125
ˈaʊ̯	ˈuː	0.125
ɫ	l_n	0.124
ˈʌ	ˈaʊ̯	0.122
ˈɪ	-	0.117
ˈeɪ̯	ˈɒː	0.111
ˈeɪ̯	ɣ	0.111
ˈɛ	ˈuː	0.107
n	ˈoː	0.103
ˈɛ	ˈeː	0.102
ˈɑ	-	0.099
ʔ	ç_d̥	0.097
ˈɑ	ˈa	0.093
ʔ	ʦ	0.093
ˈoʊ̯	ˈɒ	0.088
w	-	0.087
ˈɪ	ˈiː	0.083
ˈi	ˈeː	0.079
ˈi	ˈaɪ̯	0.077
ˈi	-	0.077
ˈɛ	ˈaː	0.075
ˈɛ	ˈɒ	0.074
ˈi	ˈiː_ɐ	0.062
d	d̥_n	0.061
ˈi	ˈɛː	0.058
ˈʌ	n	0.054
ˈi	ˈuː	0.054
ˈɪ	ˈaɪ̯	0.053
