American English	West Flemish	probability
θ	d	1.0
ˈɝ	ˈæ	1.0
ˈɛə̯	ˈɑ	1.0
ˈɛ_n	ˈiə̯_n	1.0
ˈoʊ̯_ɫ	ˈu	1.0
ʧ	k	1.0
ʤ	ɦ_ə	1.0
ʃ	ʃ_h	1.0
ɾ	t	1.0
ɹ_n	ɾ_n	1.0
ɪ	-	1.0
ɡ_ɚ	ɾ	1.0
ɡ	ɦ	1.0
ə	-	1.0
ŋ	ŋ	1.0
v	v	1.0
t	t	1.0
pʰ	p	1.0
p	p	1.0
oʊ̯	-	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
k_s	s	1.0
k	k	1.0
j	j	1.0
f	v	1.0
d_ˈɛ	d_ˈoː	1.0
d_ˈi	d_ˈiə̯	1.0
b	b	1.0
ɹ	ɾ	0.935
w	ʋ	0.918
n	n	0.814
ˈæ	ˈɑ	0.737
ɚ	ɾ	0.706
z	-	0.642
ʔ	t	0.626
ˈʊ	ˈuə̯	0.6
s	z	0.571
ˈaʊ̯	ˈyː	0.538
ˈɪ	ˈɪ	0.537
ð	-	0.525
i	iə̯	0.525
d	d̥	0.517
ˈeɪ̯	ˈɒː	0.499
ð	d	0.475
i	ç	0.475
ˈaʊ̯	-	0.462
d	d	0.456
ˈu	ˈuə̯	0.447
ˈʊ	ˈœ	0.4
ˈɔ	ˈoː	0.4
ˈoʊ̯	ˈɛː	0.396
ɫ	w	0.378
ˈɛ	ˈeː	0.373
z	z̥	0.358
ˈi	ˈoː	0.342
ɫ	l	0.341
ˈu	n	0.34
s	s	0.317
ˈɑ	ˈæ	0.304
ˈaɪ̯	ˈi	0.3
ˈɛ	ˈæ	0.298
ˈeɪ̯	-	0.293
ˈoʊ̯	ˈeː	0.289
ʔ	t_n	0.287
ˈɑ	ˈɔ	0.274
ˈɑ	ˈɒː	0.269
ˈæ	-	0.263
ˈʌɪ̯	ˈɛ	0.252
ˈʌɪ̯	ˈɑ_h	0.252
ˈʌɪ̯	h	0.252
ˈʌ	ˈu	0.248
ˈʌɪ̯	ˈi	0.245
ˈaɪ̯	ˈɪ	0.243
ˈi	ˈɒː	0.223
ˈu	ˈɑ_n	0.214
ˈeɪ̯	ˈɑ	0.208
ˈʌ	ˈoː	0.204
ˈɔ	ˈɔ	0.2
ˈɔ	ˈɑ	0.2
ˈɔ	-	0.2
ˈoʊ̯	-	0.19
n	n_ə	0.186
ɫ	ə_l	0.185
ˈaɪ̯	-	0.177
ɚ	ə_ɾ	0.166
ˈɛ	ˈoː	0.165
ˈɛ	-	0.163
ˈi	ˈiə̯	0.161
ˈaɪ̯	ɦ	0.161
ˈi	ˈuə̯	0.155
ˈɑ	-	0.152
ɚ	ɾ_ə	0.128
ˈoʊ̯	l	0.125
ˈaɪ̯	ˈiə̯_ɦ	0.118
s	z̥	0.111
ˈʌ	ˈuə̯	0.101
ˈʌ	ˈœ	0.1
ˈʌ	ˈøː	0.1
ˈʌ	ˈyː	0.1
ˈɪ	ˈɛ	0.099
ˈɪ	ˈœ	0.099
ɫ	ə	0.096
ˈɪ	ˈæ	0.089
ˈʌ	ˈɔ	0.087
ʔ	h_t	0.087
w	-	0.082
ˈi	-	0.073
ɹ	ɾ_ˈoː	0.065
ˈʌ	ˈɑ	0.061
ˈɪ	ˈiə̯	0.06
ˈɪ	ˈi	0.06
ˈɪ	ɪ	0.056
