American English	Bavarian	probability
θ	d̥	1.0
ˈɝ	ɐ	1.0
ˈɛə̯_n	n	1.0
ˈɛ_ð	ˈe_d̥	1.0
ˈɛ_n	n	1.0
ˈu	-	1.0
ʃ	ʃ	1.0
ɾ	sː	1.0
ɹ_ˈɛ	r	1.0
ɹ_n	ɐ_n	1.0
ɹ_m	ɐ_m	1.0
ɪ	ɑ	1.0
ɡ	-	1.0
ɚ	ɐ	1.0
ə	-	1.0
ŋ	ŋ	1.0
ð	d̥	1.0
z	s	1.0
tʰ	ʦ	1.0
s_t	ʃ_d̥	1.0
pʰ	b̥͡v̥	1.0
p	fː	1.0
m	m	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f_ˈɑ	f	1.0
d_ˈi	d̥_ˈiɐ̯	1.0
b	b̥	1.0
n	n	0.952
f	f	0.944
l	l	0.92
d	d̥	0.875
w	ʋ	0.852
s	s	0.786
ɹ	r	0.74
ˈɪ	ˈi	0.707
ˈæ	-	0.667
ˈʌ	ˈu	0.642
ʧ	kʰ	0.626
ˈʌɪ̯	ˈai̯	0.62
v	m	0.614
ʔ	s	0.607
ˈoʊ̯	ˈoɐ̯	0.603
ˈaʊ̯	ˈau̯	0.591
ɫ	j	0.529
ˈʊ	ˈuɐ̯	0.5
ˈʊ	ˈo	0.5
ˈɔ	ˈo	0.5
ˈɔ	-	0.5
ʤ	ɡ̊_a	0.5
ʤ	ɡ̊	0.5
i	ɡ̊	0.5
i	-	0.5
k	ɡ̊	0.464
k	x	0.439
ˈaɪ̯	ˈai̯	0.431
ˈɑ	-	0.424
v	β	0.386
ˈʌɪ̯	x	0.38
ʧ	ç	0.374
ˈɑ	ˈo	0.369
ˈɛ	ˈe	0.356
ˈaɪ̯	ˈi	0.352
ˈæ	ˈɒː	0.333
ˈeɪ̯	ˈɑː	0.31
ˈoʊ̯	ˈo	0.268
ɹ	ɐ	0.26
ˈeɪ̯	ˈɒ	0.227
ʔ	s_n	0.226
ˈɛ	ˈeː	0.222
ˈaʊ̯	-	0.209
ˈɑ	ˈɒ	0.207
ˈaʊ̯	ˈu	0.2
s	ʃ	0.185
ɫ	ˈu_j	0.169
ˈi	ˈaː	0.168
ʔ	d̥	0.166
ˈeɪ̯	-	0.159
ˈʌ	-	0.157
ɫ	l	0.156
ˈeɪ̯	ˈɑ	0.153
ˈeɪ̯	ˈɒː_ŋ	0.152
ɫ	ɡ̊_l	0.145
ˈi	ˈeː	0.143
ˈaɪ̯	ˈiɐ̯	0.137
ˈɛ	-	0.13
ˈoʊ̯	-	0.13
ˈi	ˈoː	0.13
d	d̥_n	0.125
w	-	0.106
ˈʌ	ˈuɐ̯	0.103
ˈɛ	ˈou̯	0.102
ˈi	ˈiɐ̯	0.1
ˈʌ	ˈaː	0.098
k	ɡ̊_a	0.097
ˈɛ	ˈai̯	0.096
ˈɛ	ˈoː	0.093
ˈɪ	ˈu	0.091
ˈɪ	-	0.091
ˈi	ˈai̯	0.091
ˈi	-	0.091
ˈaɪ̯	ˈau̯	0.08
l	l_ˈɑ	0.08
ˈi	ˈe	0.07
ˈi	ˈa	0.064
ˈi	ˈo	0.063
f	β	0.056
ˈɪ	ˈiː	0.055
ˈɪ	ˈai̯	0.055
