Northern Low Saxon	Northern Low Saxon	probability
ˈʏ	ˈi	1.0
ˈʊ	ˈu	1.0
ˈɛː	j	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈɔ_r	1.0
ˈɔʏ̯	j	1.0
ˈɔ	-	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈuː	ˈuː	1.0
ˈiː_#>	ˈiː_s_#>	1.0
ˈaː	ˈa_r	1.0
ˈa	ˈa	1.0
ʒ	j	1.0
ɐ_#>	r_#>	1.0
ç	x	1.0
t	t	1.0
s	s	1.0
r	r	1.0
j	-	1.0
i	ˈi_ɣ	1.0
h	h	1.0
f	f	1.0
b_#>	p_s_#>	1.0
<#_ˈɪ	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_s	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#	<#_h	1.0
v	w	0.9
l	l	0.84
n	n	0.792
#>	s_#>	0.753
ɡ	k	0.75
ˈɪ	ˈi	0.737
ˈiː	ˈiː	0.714
x	h	0.714
<#_d	<#_d	0.692
b	b	0.625
m	m	0.619
ˈɛ	-	0.6
ŋ	ŋ_ɡ	0.556
ʃ	s_k	0.538
ˈeː	ˈi	0.5
ˈeː	-	0.5
ʃ	s	0.462
ˈoː	ˈa	0.429
ˈaɪ̯	ˈiu̯	0.429
ˈɛ	ˈi	0.4
b	p	0.375
ɐ	r	0.368
ˈoː	ˈeː	0.357
ˈaɪ̯	ˈɛː	0.357
ˈaʊ̯	ˈoː	0.316
ɐ	a_r	0.316
d	t	0.308
<#_d	<#_θ	0.308
ˈiː	ˈi	0.286
x	-	0.286
d	θ	0.282
ˈaʊ̯	ˈɔː	0.263
ɡ	ɡ	0.25
ŋ	ɣ_a	0.222
ŋ	ŋ	0.222
ˈoː	-	0.214
ˈaɪ̯	ˈɛ	0.214
ˈaʊ̯	ˈɔ	0.211
ˈaʊ̯	ˈa	0.211
d	d	0.179
ˈɪ	ˈɛː	0.158
#>	n_#>	0.151
m	β_a	0.143
m	a	0.143
ˈɪ	-	0.105
ɐ	oː	0.105
ɐ	a	0.105
ɐ	-	0.105
v	ʍ	0.1
#>	a_#>	0.096
m	β	0.095
n	nː	0.083
l	ˈa_l	0.08
l	lː_s	0.08
d	t_a	0.077
n	n_θ	0.062
n	n_d	0.062
d	θ_iː	0.051
d	r_t	0.051
d	-	0.051
