Occitan	Friulian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈɔ	<#	1.0
a_ð	a_d	1.0
a_β	a_v	1.0
e_n	e_n	1.0
e_r	e_r	1.0
j_s	s	1.0
k_#>	k_#>	1.0
k_ɔ	c_e	1.0
l_#>	l_#>	1.0
l_a	l_a	1.0
l_ˈa	l_ˈa	1.0
m_#>	m_#>	1.0
n_#>	n_t_#>	1.0
p_#>	f_#>	1.0
r	r	1.0
r_#>	r_#>	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	p	1.0
s_t	s_t	1.0
t	t	1.0
t_#>	t_#>	1.0
t_ɾ	t_r	1.0
t_ˈa	t_ˈaː	1.0
u_z	o	1.0
w_#>	f_#>	1.0
w_ɾ	v	1.0
y	u	1.0
ð	d	1.0
ð_ɔ	d_e	1.0
ŋ	ŋ	1.0
ɔ	-	1.0
ɔ_#>	e_#>	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ɥ_ˈɔ	ˈuː	1.0
ɥ_ˈɛ	v_ˈɔ	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_#>	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_ˈe	r_ˈeː	1.0
ʤ	j	1.0
ʧ_#>	t_#>	1.0
ˈa_j	ˈa	1.0
ˈa_n	ˈa_n	1.0
ˈa_w	ˈa_l	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_#>	ˈeː_#>	1.0
ˈi_l	ˈi_l	1.0
ˈu_#>	ˈoː_r_#>	1.0
ˈu_n	ˈo_n	1.0
ˈy_#>	ˈuː_r_#>	1.0
ˈɔ_r	w_ˈa_r	1.0
ˈɛ_n	ˈi_n	1.0
<#_k	<#_c	0.421
j	-	0.571
l	l_i	0.231
u	u	0.231
ˈa	w_ˈa	0.091
ˈu	ˈo	0.531
ˈy	ˈo	0.211
ˈɛ	ˈɛ	0.341
#>	ʧ_#>	0.182
<#_ʤ	<#_j	0.222
a	e	0.2
e	j	0.2
n	-	0.12
n	ɲ	0.2
s	-	0.182
s	p	0.182
w	ˈɔ	0.2
ˈa_#>	ˈaː_#>	0.762
ˈi	ˈiː	0.12
ˈu	w_ˈi	0.062
ˈy	ˈu	0.632
ˈɛ	ˈiː	0.122
β	b	0.2
<#_l	<#	0.13
<#_s	<#_ʧ	0.273
<#_t	<#	0.3
e	e	0.133
e	u	0.133
e	i	0.533
s	ʧ	0.273
w	-	0.3
ɥ	w	0.333
ˈa	ˈa	0.523
ˈe	ˈeː	0.083
ˈe	ˈɛ	0.083
ˈi_#>	i_#>	0.333
ˈɔ	w_ˈa	0.143
β	-	0.3
<#_e	<#_s	0.4
l	l	0.654
m	-	0.154
s	s	0.364
ʎ	ˈɛ_l	0.4
ʦ_#>	s_#>	0.714
ˈe_j	ˈo	0.4
ˈu	ˈɔ	0.094
ˈɔ	ˈɔ	0.214
<#_a	<#_a	0.375
<#_a	<#	0.625
<#_k	<#_k	0.5
e_#>	#>	0.5
e_#>	i_#>	0.5
i	-	0.25
i	i	0.75
l	-	0.115
v	z_v	0.5
v	v	0.5
w	w	0.5
ɾ	d	0.075
ɾ	-	0.075
ˈa	ˈaː	0.295
β	v	0.5
<#_e	<#	0.6
m	m	0.846
z	d	0.286
z	z	0.286
ʎ	-	0.6
ʦ_#>	ʧ_#>	0.286
ˈe_j	ˈe	0.6
ˈu	ˈu	0.156
ˈu	ˈoː	0.156
ˈɔ	ˈuː	0.286
<#_l	<#_l	0.87
<#_s	<#_s	0.727
<#_t	<#_t	0.7
ɥ	-	0.667
ˈe	-	0.167
ˈe	ˈe	0.667
ˈi_#>	ˈiː_#>	0.667
ˈɔ	w_ˈɛ	0.357
#>	ŋ_#>	0.818
<#_ʤ	<#_ʤ	0.778
a	a	0.8
n	n	0.68
ɾ	r	0.8
ˈa_#>	ˈa_ŋ_#>	0.238
ˈi	ˈi	0.88
ˈy	ˈuː	0.158
ˈɛ	ˈi	0.098
<#_k	<#	0.079
j	j	0.429
u	o	0.769
z	s	0.429
ˈɛ	j_ˈɛ	0.39
