Westphalian	Westphalian	probability
ˈɪɛ̯_t	ð̞ˠ	1.0
ˈɪə̯	-	1.0
ˈɛː	-	1.0
ˈɔ	ˈɛ	1.0
ˈɒː	ˈɑː	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈyːœ̯	ˈɒ	1.0
ˈyː	ˈyˀ	1.0
ˈyə̯	ˈu	1.0
ˈuə̯	-	1.0
ˈiɛ̯	-	1.0
ɡ_n	ə	1.0
ɐ_#>	#>	1.0
ç	-	1.0
z̥_#>	s_#>	1.0
z	s	1.0
t_n	ð̞ˠ_ə	1.0
t_#>	d̥_#>	1.0
p	b̥	1.0
n_n	n_ə	1.0
n_d̥	nˀ	1.0
n_#>	#>	1.0
m_#>	#>	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
d_n	ð̞ˠ_ə	1.0
aɪ̯	ˈɑ_d̥	1.0
<#_x	<#_ɡ̊	1.0
<#_v_ˈʊ	<#_ˈu	1.0
<#_t	<#_ʦʰ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#	1.0
s	s	0.955
r	ʁ	0.913
b	b̥	0.905
m	m	0.9
d̥	ð̞ˠ	0.875
ˈaː	-	0.75
ˈɪɛ̯	-	0.714
ˈoː	ˈoˀ	0.714
k_#>	ɡ̊_#>	0.714
ɐ	ɐ	0.704
l	l	0.7
ʃ	s	0.696
ˈʏ	ˈœ	0.667
ˈuːə̯	-	0.667
ˈeː	ˈeˀ	0.6
ʋ	ʋ	0.6
ɡ	-	0.6
v	ʋ	0.6
ə	ə	0.588
ˈɛ	-	0.583
ˈiː	ˈiˀ	0.583
ˈɪ	ˈe	0.571
ˈuː	ˈuˀ	0.556
ˈɔː	ˈɔˀ	0.5
ˈaʊ̯	ˈœˀ	0.5
x	j	0.5
x	-	0.5
t	ð̞ˠ	0.5
#>	ɡ̊_#>	0.5
#>	d̥_#>	0.5
d	d̥	0.481
ˈøː	ˈœˀ	0.429
ˈʊ	ˈɔ	0.417
ŋ	ŋˀ	0.417
ə	-	0.412
k	kʰ	0.409
ˈeː	-	0.4
ʋ	-	0.4
ɡ	ɡ̊	0.4
t	d̥	0.389
n	n	0.388
ˈaɪ̯	ˈyː	0.385
ˈʏ	-	0.333
ˈɔː	-	0.333
ˈuːə̯	ˈœ	0.333
ŋ	-	0.333
d	ʦʰ	0.333
n	ə	0.327
ˈa	ˈa	0.308
ʃ	s_ɡ̊	0.304
ˈaʊ̯	-	0.3
ˈɪɛ̯	ˈɛˀ	0.286
ˈøː	ˈøː	0.286
ˈøː	-	0.286
ˈoː	-	0.286
k_#>	#>	0.286
ˈʊ	ˈʌ	0.25
ˈɛ	ˈɛ	0.25
ˈiː	ˈiː	0.25
ˈaː	ˈaː	0.25
ŋ	ŋ	0.25
ˈɪ	-	0.238
ˈaɪ̯	ˈeˀ	0.231
ˈaɪ̯	-	0.231
k	ɡ̊	0.227
l	lˀ	0.225
ˈuː	ˈuː	0.222
ˈuː	-	0.222
ɐ	ʌ	0.222
ˈaʊ̯	ˈʌˀ	0.2
v	w	0.2
v	-	0.2
ˈa	ˈɛ	0.192
ˈa	ˈɑ	0.192
ˈa	-	0.192
ˈɪ	ˈiˀ	0.19
ˈʊ	ˈu	0.167
ˈʊ	-	0.167
ˈɛ	ˈe	0.167
ˈɔː	ˈɔː	0.167
ˈiː	ˈyˀ	0.167
ˈaɪ̯	ˈyˀ	0.154
d	-	0.148
k	j	0.136
k	-	0.136
d̥	lˀ	0.125
t	ʦʰ	0.111
n	nˀ	0.102
n	n_ə	0.102
m	wˀ_n	0.1
b	w	0.095
k	ɡ̊_ə	0.091
r	ʁ_ˈœ	0.087
ˈa	ˈʌ	0.077
l	ˈʌ	0.075
ɐ	-	0.074
