Dutch	Standard German	probability
χ_ɾ	ɡ_ʁ	1.0
χ_ə	ɡ	1.0
χ_t	ç_t	1.0
ˈøː	ˈaː	1.0
ˈyː	ˈɔʏ̯	1.0
ʋ	v	1.0
ɾ_t	ɐ_ʦ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ə_χ	ɪ_ç	1.0
ə_ɾ	ɐ	1.0
ə_ɫ	l	1.0
v_ə	b	1.0
v	f	1.0
t_ə	s	1.0
s_χ	ʃ	1.0
s_t	s_t	1.0
p_ə	f	1.0
m	m	1.0
k_ə	k	1.0
j	j	1.0
i	eː	1.0
d_ə	t	1.0
b	b	1.0
n	n	0.945
ˈɪ	ˈɪ	0.878
s	ʃ	0.857
ˈɛi̯	ˈaɪ̯	0.811
z	z	0.811
ŋ	ŋ	0.805
ə_n	n	0.795
ə	ə	0.794
ˈœy̯	ˈaʊ̯	0.786
ˈɑ	ˈa	0.784
ˈu	ˈuː	0.738
ˈɔ	ˈʊ	0.721
ˈʏ	ˈʏ	0.67
ɾ	ɐ	0.656
z̥	z̥	0.632
ˈi	ˈiː	0.62
ˈɑu̯	ˈa_l	0.6
p	p͡f	0.589
ˈɛ	ˈɛ	0.552
d	d	0.552
v̥	b̥	0.526
d̥	t	0.514
t	s	0.498
χ	ɡ	0.465
d	tʰ	0.448
k	kʰ	0.447
ˈaː	ˈaː	0.435
d̥	d̥	0.433
ˈeː	ˈaɪ̯	0.42
p	f	0.411
ˈɑu̯	ˈaʊ̯	0.4
z̥	z	0.368
t	t	0.342
ˈʏ	-	0.33
k	ç	0.315
v̥	f	0.299
ˈoː	ˈoː	0.291
ˈeː	ˈeː	0.288
ɾ	ʁ	0.281
ˈɔ	ˈɔ	0.279
ˈoː	ˈɔ	0.266
ˈu	ˈyː	0.262
ˈɛ	ˈɪ	0.214
ˈœy̯	ˈɔʏ̯	0.214
ˈaː	-	0.208
ə_n	ə	0.205
ŋ	ç	0.195
ˈi	-	0.193
ˈɛi̯	ˈiː_ɐ	0.189
z	ʃ	0.189
ˈi	ˈeː	0.188
ˈoː	ˈaʊ̯	0.186
χ	ɡ̊	0.179
χ	x	0.176
v̥	b	0.175
ˈaː	ˈa	0.172
t	ʦ	0.16
ˈeː	-	0.159
k	x	0.147
s	k_s	0.143
ˈɑ	ˈaː	0.141
ˈoː	ˈøː	0.141
ˈeː	ˈɛ	0.132
ə	ɐ	0.132
χ	k	0.124
ˈɛ	-	0.12
ˈaː	ˈɛː	0.094
ˈaː	ˈoː	0.091
k	k	0.09
ˈɪ	-	0.076
ˈɑ	ˈɛ	0.075
ə	-	0.073
ˈoː	ˈyː	0.059
ˈɛ	ˈeː	0.057
ˈɛ	ˈaː	0.057
ˈoː	-	0.057
χ	k_n	0.055
d̥	-	0.053
