American English	English	probability
θ	θ	1.0
ˈʌɪ̯	ˈaɪ̯	1.0
ˈʌ	ˈɐ	1.0
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɝ_t	ɜː	1.0
ˈɝ	ˈɜː	1.0
ˈɛə̯	ˈæ	1.0
ˈɔ_ɹ	ˈɔː	1.0
ˈɔ	ˈɔː	1.0
ˈɑ_ɹ	ˈɑː	1.0
ˈu	ˈuː	1.0
ˈoʊ̯	ˈəʊ̯	1.0
ˈeɪ̯	ˈeɪ̯	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ʔ	t	1.0
ʃ	ʃ	1.0
ɾ	t	1.0
ɹ	ɹ	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ɚ	ə	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	z	1.0
w	w	1.0
v	v	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
oʊ̯	əʊ̯	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
ˈɛ	ˈe	0.804
ɫ	ɫ	0.747
ˈi	ˈiː	0.713
ˈæ	ˈɑː	0.54
ˈɑ	ˈɒ	0.525
ˈɑ	ˈɔː	0.475
ˈæ	ˈæ	0.46
ˈi	ˈɪ	0.287
ɫ	l	0.253
ˈɛ	ˈɛ	0.196
