Swedish	Dutch	probability
ˈʊ	ˈɔ	1.0
ˈɛː_d	ˈeː	1.0
ˈœː	ˈoː	1.0
ˈœ_l	ɫ	1.0
ˈæː	-	1.0
ˈoː_n	ˈoː_n	1.0
ˈeː_n	ˈeː_n	1.0
ʊ	-	1.0
ʈː	ɾ_t	1.0
ʈ	t	1.0
ʂ	ɾ_s	1.0
ɵ	-	1.0
ɪ	ə	1.0
ɡː	χ	1.0
ɖ	ɾ_d̥	1.0
ɔ	i	1.0
ŋː	ŋ	1.0
ŋ	ŋ	1.0
v_ɛ	v_ə	1.0
tʰ	d	1.0
t	t	1.0
sː	-	1.0
s_k	s	1.0
rː	ɾ	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
jː	χ_ə	1.0
h	ɦ	1.0
f	v	1.0
b	b	1.0
r	ɾ	0.916
ɡ	χ	0.905
n	n	0.89
ˈɪ	ˈɪ	0.869
ˈiː	ˈɛi̯	0.862
v	ʋ	0.858
ɳ	ɾ	0.782
ˈa	ˈɑ	0.754
k	k	0.747
ˈuː	ˈu	0.739
ˈɑː	ˈaː	0.728
ˈoː	ˈaː	0.693
ɛ	ə	0.68
tː	t	0.672
ɕ	k	0.669
nː	n	0.648
kː	k	0.627
ˈɵ	ˈɔ	0.619
j_ˈʉː	d_ˈi	0.588
d	d	0.58
lː	ɫ	0.574
ˈyː	ˈi	0.568
ˈʏ	ˈʏ	0.565
s	z	0.559
a	ə_n	0.559
ˈeː	ˈeː	0.545
ɧ	s_χ	0.524
ˈœ	ˈoː	0.512
ˈøː	ˈoː	0.489
ˈɛ	ˈɛ	0.48
ɧ	z	0.476
j	χ	0.453
s	s	0.441
ˈɔ	ˈɔ	0.439
ˈʏ	-	0.435
ˈyː	ˈyː	0.432
ˈʉː	ˈi	0.431
lː	d̥	0.426
d	d̥	0.42
j_ˈʉː	ˈi	0.412
kː	ŋ_k	0.373
ˈɔ	ˈoː	0.364
nː	n_d	0.352
ɕ	d	0.331
a	-	0.33
ˈɛː	ˈeː	0.329
tː	χ_t	0.328
ˈʉː	ˈœy̯	0.322
ɛ	-	0.32
ˈøː	-	0.311
ˈeː	ˈɛi̯	0.294
ˈɛː	ˈi	0.287
ˈɑː	ˈɑ	0.272
ˈœ	-	0.261
ˈuː	ˈoː	0.261
ˈɛː	-	0.26
k	χ	0.253
j	-	0.246
ˈɛ	ˈeː	0.234
ˈœ	ˈɔ	0.227
ɳ	ɾ_ə	0.218
ˈøː	ˈu	0.2
ˈɔ	-	0.196
j	ɦ	0.182
ˈʉː	-	0.174
ˈeː	ˈi	0.161
ˈɵ	ˈʏ	0.148
ˈɛ	-	0.145
ˈa	-	0.144
ˈoː	ˈɑ	0.142
ˈɛ	ˈɑ	0.141
ˈiː	n	0.138
ˈɪ	-	0.131
ˈɛː	ˈøː	0.124
j	ɫ	0.119
ˈɵ	ˈœy̯	0.118
ˈɵ	-	0.115
a	ə	0.111
n	-	0.11
ˈa	ˈaː	0.102
ɡ	-	0.095
ˈoː	ˈoː	0.086
v	-	0.082
ˈoː	ˈeː	0.079
ˈʉː	ˈɔ	0.073
v	v̥	0.061
r	-	0.051
