Yiddish	Yiddish	probability
χ_t	x_t	1.0
ˈʊ_n	ˈu_n	1.0
ˈɔ_ɫ	ˈu_l	1.0
ˈɔ_ɡ	ˈɑ_ɣ	1.0
ˈa_n	ɑi̯	1.0
ʧ	s_k	1.0
ʦ	t	1.0
ɫ_ˈʊ	l_ˈɔː	1.0
ɪ_k	ɑ_ɣ	1.0
ɛ	m_ɑ	1.0
ə_n	ɑ_n	1.0
ŋ	ŋ	1.0
z_ˈɪ	s_ˈi	1.0
z	s	1.0
s_t	s_t	1.0
m_#>	z_#>	1.0
m	m	1.0
k_s	x_s	1.0
h	x	1.0
d_z	s	1.0
a	ɔː_θ	1.0
<#_ˈʊ	<#_ˈu	1.0
<#_ˈɛ	<#_ˈe	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_ɣ	1.0
<#_t	<#_d	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_θ	1.0
<#	<#_x	1.0
ˈa	ˈɑ	0.929
ɫ	l	0.917
v	w	0.9
ˈɛɪ̯	ˈɑi̯	0.812
ʀ	r	0.8
f	ɸ	0.737
χ	k	0.6
b	b	0.593
s	t	0.588
n	n	0.584
ɡ	ɣ	0.579
ˈɛ	ˈe	0.571
ʃ	s	0.556
t	ð	0.531
ˈɔɪ̯	ˈɑu̯	0.519
ˈaɪ̯	ˈiː	0.5
ə_ʀ	r_ɑ	0.5
ə_ʀ	r	0.5
p	p	0.5
p	-	0.5
k	k	0.5
d	θ	0.5
ˈɪ	ˈi	0.477
ˈʊ	ˈu	0.476
ʃ	s_k	0.444
s	t_ɑ	0.412
#>	ɑ̃_#>	0.389
ˈʊ	ˈɔː	0.381
d	d	0.375
ˈɔɪ̯	ˈuː	0.37
ˈɔ	ˈɑ	0.37
ˈɔ	ˈu	0.37
ɡ	ɡ	0.368
#>	ɑ_z_#>	0.292
ˈɛ	ˈɑ	0.286
f	p	0.263
ˈɔ	ˈɛː	0.259
n	ɑ_n	0.234
b	β	0.222
χ	x	0.2
χ	k_i	0.2
ˈaɪ̯	-	0.2
k	ɣ	0.2
k	kʷ	0.2
#>	z_#>	0.2
t	t	0.188
t	d	0.188
ə	ɛː	0.185
ə	i	0.185
b	β_ɑ	0.185
ˈɪ	ˈe	0.182
ˈaɪ̯	ˈiu̯	0.15
ə	-	0.148
ˈʊ	-	0.143
ˈɪ	ˈeu̯	0.136
ˈɛɪ̯	-	0.125
d	d_ɑ	0.125
ˈɪ	ˈu	0.114
ˈɔɪ̯	ˈu	0.111
ə	ɑ	0.111
ə	r	0.111
ə	e	0.111
ˈaɪ̯	ˈi_j	0.1
v	xʷ	0.1
k	kː	0.1
t	θ	0.094
ˈɪ	ˈɔː	0.091
ʀ	z	0.083
ɫ	lː	0.083
n	nː	0.078
ə	ɔː	0.074
ə	r_u	0.074
ˈɛ	ˈu	0.071
ˈɛ	-	0.071
ˈa	ˈe	0.071
ˈɛɪ̯	jː	0.062
ɡ	ɡʷ	0.053
