Catalan	Catalan	probability
β_ˈa	v_ˈa	1.0
β_ə	v_ɐ	1.0
ˈɔ_n	ˈo	1.0
ˈu_ʎ	ˈo_ʎ	1.0
ˈo_t	ˈo_d	1.0
ˈo_#>	ˈɐ̃_w̃_#>	1.0
ˈi_n	ˈĩ_j̃	1.0
ˈa_n_ə_#>	ˈɐ̃_#>	1.0
ˈa_#>	h_#>	1.0
ʎ_ˈe	l_ˈe	1.0
ʎ_ˈa	l_ˈa	1.0
ʃ	ʃ	1.0
ɲ	j̃	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ_ɡ	j̃	1.0
ð	d	1.0
z	z	1.0
w_ɾ	h	1.0
u_#>	u_#>	1.0
t_ə	t_ɐ	1.0
t_#>	d_u_#>	1.0
s_ə	s_e	1.0
s_p	ʃ_p	1.0
s_i	s	1.0
r_t	h_ʧ	1.0
r_#>	ɾ_u_#>	1.0
n_#>	t_u_#>	1.0
mː	m	1.0
m_#>	m_i_#>	1.0
l_ə	ɐ	1.0
k_l	ʃ	1.0
k_#>	ɡ_u_#>	1.0
f_l	ʃ	1.0
f	f	1.0
a	ɐ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_p_l	<#_ʃ	1.0
<#_d	<#_d	1.0
k	k	0.957
p	p	0.938
m	m	0.909
ʒ	ʒ	0.812
ɾ	ɾ	0.711
β	b	0.667
s	s	0.661
ʎ	l	0.658
ə	ɐ	0.643
l_#>	w_#>	0.636
ˈa	ˈa	0.625
ɾ_ə	ɾ_i	0.625
u	o	0.625
j	j	0.625
t	t	0.607
ˈo	ˈo	0.571
r	ɦ	0.556
ˈɛ	ˈe	0.541
n	n	0.529
<#_ə	<#_e	0.529
b	v	0.528
ˈi	ˈi	0.525
ˈu	ˈu	0.519
ʧ	j_u	0.5
ʧ	-	0.5
d	ʤ	0.5
d	-	0.5
r	h	0.444
i	-	0.444
ŋ	-	0.429
ˈe	ˈɛ	0.419
b	b	0.417
#>	u_#>	0.402
ˈɔ	ˈo	0.4
ɾ_ə	ɾ_u	0.375
j	-	0.375
l_#>	#>	0.364
<#_ə	<#_a	0.353
ˈɔ	ˈɔ	0.35
ˈa	ˈɐ̃	0.344
ʎ	ʎ	0.342
β	v	0.333
i	i	0.333
l	l	0.312
l	-	0.312
w	w	0.304
ˈu	ˈũ	0.296
ˈe	ˈe	0.29
ŋ	u	0.286
ŋ	k_u	0.286
s	ʃ	0.268
l	w	0.25
ˈɛ	ˈɛ	0.243
n	-	0.235
#>	h_#>	0.235
ˈe	ˈẽ	0.226
i	e	0.222
#>	i_#>	0.196
ˈo	ˈõ	0.19
ʒ	-	0.188
u	u	0.188
u	-	0.188
ɾ	-	0.184
ˈɔ	ˈõ	0.175
ˈi	ˈĩ	0.175
w	v_i	0.174
ˈo	ˈɔ	0.143
t	ʧ	0.143
t	ʤ	0.143
ə	a	0.133
w	s_u	0.13
w	j_ʃ	0.13
l	ˈa	0.125
n	ʧ	0.118
<#_ə	<#	0.118
ˈu	ˈo	0.111
ˈɛ	-	0.108
t	-	0.107
ɾ	h	0.105
ˈi	ˈe_j	0.1
ˈo	-	0.095
ə	e	0.092
m	-	0.091
w	ʃ	0.087
w	v_u	0.087
w	v	0.087
#>	w̃_#>	0.078
ˈɔ	ˈo_w	0.075
ˈi	ˈe_h	0.075
ˈi	ˈe	0.075
ˈu	-	0.074
ˈe	ˈe_j	0.065
p	-	0.062
n	ˈẽ	0.059
n	j̃	0.059
b	-	0.056
ˈɛ	ˈi	0.054
ˈɛ	j	0.054
