Neapolitan	Neapolitan	probability
ˈɛ_n	ˈẽ	1.0
ˈɔ_sː	s	1.0
ˈɔ_k	ɡ	1.0
ˈu_tː	ˈo_d	1.0
ˈu_p	ˈo_b	1.0
ˈo_ɾ	ˈo_h	1.0
ˈo_n	ˈõ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈa_t	ˈa_d	1.0
ˈa_n	ˈɐ̃	1.0
ʧ	j_ʃ	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤː	-	1.0
ʎː	ʎ	1.0
ʃ_ə	j_ʃ	1.0
ɾ_t	h_ʧ	1.0
ɾ_n	ɦ_n	1.0
ɲː	j̃	1.0
ɲ	ɦ_d	1.0
ɡ	ɡ	1.0
ə_ɾ	ɾ	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z	z	1.0
w_ə	w_ɐ	1.0
sː_ə	ʃ_u	1.0
rː	h	1.0
nː	n	1.0
mː	m	1.0
m_ə	m_ɐ	1.0
m	m	1.0
lː_ə	u	1.0
lː	l	1.0
l_ə	w	1.0
kː_ə	k_ɐ	1.0
kː_j	ʎ	1.0
k_j	ʃ	1.0
j_ə	j_ʃ	1.0
fː	f	1.0
f	f	1.0
e_lː	ũ	1.0
dː	-	1.0
d	ʤ	1.0
b_w	b	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_n	<#_n	1.0
<#_j	<#_ʒ	1.0
<#_d	<#_d	1.0
#>	ʃ_#>	1.0
p	p	0.882
k	k	0.841
j	-	0.833
v	v	0.818
ˈɛ	ˈɛ	0.81
s	s	0.76
ʤ	ʒ	0.75
a	a	0.737
w_ˈɔ	ˈo	0.714
l	l	0.677
n_ə	w̃	0.667
j_ˈɛ	ˈe_j	0.667
r	ɾ	0.636
ˈi_n	ˈĩ_j̃	0.6
ʃː	-	0.6
tː	t	0.6
o	u	0.6
e	e	0.6
n	-	0.588
ʃ	s	0.571
ˈa	ˈa	0.569
ɾ_ə	h	0.529
w	ˈo	0.5
w	w	0.5
i	-	0.5
ˈe	ˈe	0.474
ɾ_ə	ɾ_u	0.471
ˈu	ˈu	0.444
t	t	0.429
ˈe	-	0.421
ə	u	0.415
ˈo	ˈɔ	0.4
ˈi_n	ˈĩ	0.4
ʃː	ʃ	0.4
o	o	0.4
e	i	0.4
ɾ	-	0.395
ˈi	ˈi	0.389
ˈi	ˈe	0.389
t	d	0.371
ˈɔ	ˈo	0.364
u	o	0.364
u	-	0.364
n_ə	ɐ	0.333
j_ˈɛ	ˈe	0.333
ɾ	ɾ	0.316
ə	ɐ	0.302
ˈa	ˈɐ̃	0.294
w_ˈɔ	ˈɔ	0.286
i	e	0.278
ˈɔ	ˈɔ	0.273
ˈɔ	ˈõ	0.273
u	u	0.273
l	-	0.258
ʤ	-	0.25
ʃ	e_ʃ	0.238
ˈu	ˈo	0.222
i	i	0.222
ˈo	ˈũ	0.2
ˈo	ˈo	0.2
ˈo	-	0.2
tː	ʧ	0.2
tː	j_t	0.2
r	h	0.182
r	a_ɾ	0.182
n	j	0.176
j	ʒ	0.167
ə	i	0.164
s	ʃ	0.16
k	ɡ	0.159
ɾ	h	0.158
a	-	0.158
ɾ	ɦ	0.132
v	b	0.121
p	b	0.118
n	ˈẽ	0.118
n	j̃	0.118
t	ʧ	0.114
ˈu	ˈɔ	0.111
ˈi	ˈẽ	0.111
ˈe	ˈe_j	0.105
a	o	0.105
ˈa	a	0.098
ˈɛ	ˈe_h	0.095
ˈɛ	ˈe	0.095
ʃ	ʃ	0.095
ʃ	-	0.095
ˈɔ	ˈo_w	0.091
t	-	0.086
ˈu	ˈũ	0.083
ˈu	-	0.083
s	-	0.08
l	w	0.065
v	-	0.061
ˈu	ˈɐ̃	0.056
ˈi	ˈĩ	0.056
ˈi	-	0.056
