American English	American English	probability
θ_#>	#>	1.0
ˈɝ	ˈu_ʁ	1.0
ˈɛə̯	ˈɒ	1.0
ˈɔ_ɹ	ʁ	1.0
ˈɔ	ˈo	1.0
ˈu_#>	#>	1.0
ˈu	-	1.0
ʤ	k	1.0
ʔ_#>	ʦ_#>	1.0
ʃ	ʃ	1.0
ɾ	s	1.0
ɹ_ˈɛ	ʁ_ˈi	1.0
ɫ_d	l_t	1.0
ɡ_ɚ	ə_ʁ	1.0
ɡ	ɡ̊	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
z	z̥	1.0
tʰ	ʦ	1.0
t	t	1.0
s_ˈɪ	s_ˈe	1.0
s_#>	z̥_#>	1.0
n	n	1.0
m	m	1.0
kʰ	kʰ	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f_#>	l_b̥_#>	1.0
f	f	1.0
d_ˈɛ	d̥_ˈoː	1.0
d_ɹ	t_ʁ	1.0
b	b̥	1.0
<#_ɹ	<#_ʁ	1.0
ɫ	l	0.895
l	l	0.875
w	ʋ	0.87
ɹ	ʁ	0.867
ˈɪ	ˈi	0.833
θ	d̥	0.778
ˈæ	ˈɒ	0.75
ɚ	ə_ʁ	0.636
k	ʃ	0.625
ˈʌ	ˈu	0.619
ˈʌɪ̯	ˈiː	0.6
ˈaʊ̯	ˈyː	0.6
#>	n_#>	0.6
ˈaɪ̯	ˈiː	0.571
s	s	0.571
d	d̥	0.567
ʔ	s	0.556
ˈɑ	-	0.545
ˈʊ	ˈo	0.5
ˈʊ	-	0.5
ʧ	kʰ	0.5
ʧ	-	0.5
ð	t	0.5
ð	d̥	0.5
p	f	0.5
ˈoʊ̯	ˈəi̯	0.462
ˈɑ	ˈɒ	0.455
ˈeɪ̯	ˈɒ	0.444
d	t	0.433
ˈaɪ̯	ˈi	0.429
ˈʌɪ̯	-	0.4
ˈaʊ̯	-	0.4
#>	j_ə_#>	0.4
p	f_ə	0.375
k	k	0.375
ɚ	ʁ	0.364
ˈeɪ̯	-	0.333
s	ʃ	0.321
ˈɛ	ˈe	0.312
v	f	0.286
v	b̥	0.286
v	-	0.286
ˈɛ	-	0.25
ˈæ	-	0.25
ˈoʊ̯	ˈeː	0.231
θ	t	0.222
ˈeɪ̯	ˈaː_ʋ	0.222
ʔ	s_ə	0.222
ˈʌ	-	0.19
ˈɛ	ˈoː	0.188
ˈi	ˈʊː	0.179
ˈi	ˈoː	0.179
ˈi	ˈiː	0.179
ˈɪ	ˈu	0.167
ˈoʊ̯	ˈɒ	0.154
ˈoʊ̯	-	0.154
v	e	0.143
ɹ	-	0.133
w	-	0.13
ˈɛ	ˈɛ	0.125
ˈɛ	ˈeː	0.125
p	p	0.125
l	l_ˈʊː	0.125
ʔ	ʃ_t	0.111
ʔ	x_t	0.111
ˈi	ˈei̯	0.107
ˈi	-	0.107
s	ʃ_w	0.107
ɫ	ˈɒː_l	0.105
ˈʌ	ˈyː	0.095
ˈʌ	ˈoː	0.095
ˈi	ˈæː	0.071
ˈi	ˈeː_ʁ	0.071
ˈi	ˈeː	0.071
