English	English	probability
θ_#>	d̥_#>	1.0
θ	d	1.0
ˈiː_#>	ˈiː_#>	1.0
ʧ	k	1.0
ʤ	-	1.0
ʃ_#>	ʃ_k_#>	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ_ə	ɐ	1.0
ɡ	x	1.0
ɜː	ˈiɛ̯	1.0
əʊ̯	-	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈiː	v	1.0
w_ˈe	ʋ	1.0
s_#>	z̥_#>	1.0
pʰ	-	1.0
p	p	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
k_s	s	1.0
h	h	1.0
d_ˈe	d_ˈaʊ̯	1.0
d_ə	ɐ	1.0
b	b	1.0
<#_ˈɐ	<#_ˈʊ	1.0
<#_ɹ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_s	<#_z	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
f	f	0.955
t	t	0.923
ˈæ	ˈa	0.9
ɹ	r	0.9
ə	ɐ	0.88
w	v	0.864
n	n	0.846
#>	ç_#>	0.8
ɫ	l	0.789
k	k	0.75
ˈɛ	-	0.667
ð	d	0.667
v	v	0.667
s	s	0.656
ˈuː	-	0.625
ˈʊ	ˈʊ	0.6
d	d̥	0.561
ˈɜː	ˈuːə̯	0.5
ˈɜː	-	0.5
ˈaʊ̯	ˈuː	0.5
j	j	0.5
j	-	0.5
f_#>	l_ʋ_#>	0.5
f_#>	#>	0.5
ˈɪ	ˈɪ	0.433
ˈɔː	-	0.429
ˈɐ	ˈʊ	0.421
ˈe	-	0.412
ˈʊ	ˈoː	0.4
ˈəʊ̯	ˈeː	0.4
ˈəʊ̯	-	0.4
ˈɑː	ˈa	0.4
ˈuː	ˈoː	0.375
ˈaɪ̯	ˈiː	0.37
s	ʃ	0.344
ˈɛ	ˈɒː	0.333
ˈɒ	ˈɔ	0.333
ˈɒ	ˈa	0.333
ˈɒ	-	0.333
ð	-	0.333
v	v_n	0.333
ˈiː	ˈaɪ̯	0.32
ˈaʊ̯	ˈʊ	0.3
ˈaɪ̯	ˈɪ	0.296
d	d	0.293
ˈɔː	ˈaː	0.286
ˈɔː	ˈa	0.286
ˈiː	ˈøː	0.28
k	k_n	0.25
ˈe	ˈɪɛ̯	0.235
ˈe	ˈɛ	0.235
ˈaɪ̯	-	0.222
ˈɐ	-	0.211
ˈɑː	ˈɛː	0.2
ˈɑː	ˈaː	0.2
ˈɑː	ˈa_ɐ	0.2
ˈiː	ˈɔː	0.2
ˈeɪ̯	ˈɛ	0.2
ˈeɪ̯	ˈɔː	0.2
ˈeɪ̯	ˈaː	0.2
ˈeɪ̯	ˈa_x	0.2
ˈeɪ̯	-	0.2
ˈaʊ̯	-	0.2
#>	d̥_#>	0.2
ˈiː	ˈaʊ̯	0.16
ˈɐ	ˈoː	0.158
w	ʋ	0.136
ˈɪ	ˈʏ	0.133
ˈəʊ̯	ˈɔ	0.133
ə	-	0.12
ˈe	ˈaʊ̯	0.118
ˈɐ	ˈuː	0.105
ˈɐ	ˈuə̯	0.105
ɫ	ɡ_l	0.105
ɫ	l_ə	0.105
ˈɪ	ˈiː	0.1
ˈæ	ˈyə̯	0.1
ɹ	-	0.1
t	-	0.077
ˈaɪ̯	ˈyː	0.074
d	n	0.073
d	d_n	0.073
ˈɪ	ˈɪə̯	0.067
ˈɪ	ˈɛ	0.067
ˈɪ	ˈɔː	0.067
ˈɪ	ˈyː	0.067
ˈɪ	-	0.067
ˈəʊ̯	ˈyːœ̯	0.067
n	ˈɔː_n	0.051
n	n_ˈɪə̯	0.051
n	n_n	0.051
