Brazilian Portuguese	Brazilian Portuguese	probability
ˈɐ̃_w̃	ˈu	1.0
ˈo_ɡ	ˈø_k	1.0
ˈo_w	ˈo	1.0
ˈo_h	ˈu_r	1.0
ˈe_h_#>	#>	1.0
ʃ_t	s_t	1.0
ʃ_#>	#>	1.0
ɾ_ɐ	a	1.0
ɾ_i	e_r	1.0
ɦ_v	r_b	1.0
ɦ	r	1.0
ɡ_u	k	1.0
ɡ	ɡ	1.0
ɐ̃	-	1.0
ɐ_#>	#>	1.0
w̃_#>	#>	1.0
w_#>	l_#>	1.0
v_ˈi	ˈe	1.0
v_i_#>	f_#>	1.0
ũ	-	1.0
u_#>	#>	1.0
s_ˈe	s_ˈe	1.0
s_e	s	1.0
p	p	1.0
õ	-	1.0
m	m	1.0
l	l	1.0
k_ɾ	k_r	1.0
j̃_u_#>	#>	1.0
j̃_#>	#>	1.0
j_ʃ	s	1.0
j	-	1.0
i_#>	#>	1.0
h_ʧ	r_t	1.0
h_k	r_k	1.0
h_#>	#>	1.0
f	f	1.0
ẽ	-	1.0
e_ʃ	s	1.0
d_u	t	1.0
a_b	a	1.0
<#_ʃ	<#_ʧ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#_r	1.0
<#_e	<#	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
ɐ	a	0.952
s	s	0.951
k	k	0.951
ˈa	ˈa	0.911
t	t	0.85
ˈĩ	ˈi	0.818
ʒ	z	0.818
ɾ	r	0.806
ˈe_j	ˈɛ	0.778
o	o	0.778
h	r	0.778
ʧ	t	0.75
ˈe_h	ˈi	0.714
ˈɐ̃	ˈa	0.708
b	b	0.7
j̃	ɲ	0.692
ˈũ	ˈø	0.667
ʤ	t	0.667
n	n	0.667
<#_v	<#	0.667
ˈɛ	ˈɛ	0.625
z	-	0.625
ʃ	s	0.588
a	a	0.556
w	l	0.545
v	-	0.545
ˈu	ˈy	0.533
d	d	0.533
ˈi	ˈi	0.522
i	e	0.5
e	e	0.471
ˈu	-	0.467
ʎ	j	0.455
w	w	0.455
ˈe	ˈe	0.45
ˈõ	ˈɔ	0.444
#>	e_#>	0.444
ˈe	ˈɛ	0.4
ˈɔ	ˈu	0.389
ˈẽ	ˈe	0.385
ˈɛ	ˈe	0.375
z	z	0.375
ʎ	ʧ	0.364
ˈũ	ˈy	0.333
ˈõ	ˈo	0.333
ʤ	d	0.333
n	-	0.333
d	t	0.333
#>	l_#>	0.333
ˈo	ˈɔ	0.323
ˈẽ	ˈɛ	0.308
j̃	n	0.308
e	-	0.294
ˈe_h	d_ˈi	0.286
i	i	0.286
v	b	0.273
u	r	0.263
u	o	0.263
u	-	0.263
ˈi	-	0.261
ˈo	ˈø	0.258
ˈo	ˈo	0.258
ʧ	-	0.25
ˈɔ	ˈø	0.222
ˈɔ	ˈo	0.222
ˈõ	ˈu	0.222
ˈe_j	ˈa	0.222
o	-	0.222
h	ˈa	0.222
#>	s_#>	0.222
ˈi	ˈe	0.217
i	-	0.214
ˈɐ̃	ˈa_n	0.208
b	-	0.2
<#_v	<#_ʋ	0.2
ˈĩ	n	0.182
ʒ	j	0.182
ʎ	-	0.182
v	f	0.182
ʃ	-	0.176
e	i	0.176
ˈɔ	ˈɔ	0.167
a	ˈa	0.167
a	e	0.167
ˈo	ˈu	0.161
ˈẽ	ˈɛ_n	0.154
ˈẽ	-	0.154
ˈe	ˈi	0.15
t	n_t	0.15
d	-	0.133
<#_v	<#_e	0.133
ʃ	p	0.118
ʃ	f_j	0.118
a	a_r	0.111
u	l	0.105
u	k	0.105
b	ʋ	0.1
ɾ	e	0.097
ɾ	-	0.097
ˈɐ̃	ˈa_ŋ	0.083
e	y	0.059
