English	English	probability
ˈɪ_ə	ʀ	1.0
ˈe_ð	ˈeː	1.0
ˈe_n	n	1.0
ʧ	k	1.0
ʤ	k	1.0
ʃ_#>	s_#>	1.0
ʃ	ʃ	1.0
ɹ	ʀ	1.0
ɜː	ˈaː_ʀ	1.0
əʊ̯	ə	1.0
ə_n	ə	1.0
w_ˈe	β	1.0
s_t	s	1.0
s_#>	z̥_#>	1.0
p	p	1.0
m	m	1.0
kʰ	k	1.0
j	ɣ	1.0
h	ɦ	1.0
f_#>	v̥_#>	1.0
f	v	1.0
b	b	1.0
<#_ɹ	<#_ʀ	1.0
<#_tʰ	<#_t	1.0
<#_pʰ	<#_p	1.0
l	l	0.931
w	β	0.926
ɡ	ɣ	0.857
t	t	0.842
n	n	0.816
ˈuː	-	0.778
ɫ	l	0.778
θ	d	0.7
ɪ	ə	0.667
k	k	0.667
s	z	0.649
#>	ɣ̊_#>	0.625
ˈaʊ̯	ˈuː	0.615
ˈɜː	ʀ	0.6
ŋ	ŋ	0.6
ə	ə_ʀ	0.56
ˈɑː	ˈaː	0.538
ˈeɪ̯	-	0.538
ˈɛ	ˈɒː	0.5
ˈɛ	-	0.5
ˈɒ	ˈɔ	0.5
ð	j	0.5
ð	-	0.5
z	z̥	0.5
z	-	0.5
ˈeɪ̯	ˈaː	0.462
ˈæ	-	0.455
d	d̥	0.451
v	v	0.444
ə	ʀ	0.44
ˈəʊ̯	ˈɛː	0.421
d	d	0.412
ˈɜː	ˈʊː_ʀ	0.4
ŋ	ŋ_k	0.4
ˈɔː	ʀ	0.357
s	s	0.351
ˈɐ	ˈʊː	0.348
ˈʊ	ˈʊː	0.333
ˈʊ	ˈɔ	0.333
ˈʊ	-	0.333
ɪ	-	0.333
v	v̥	0.333
ˈəʊ̯	-	0.316
ˈaɪ̯	ˈiː	0.31
ˈɑː	ˈɑ	0.308
θ	d̥	0.3
ˈɔː	ˈʊː_ʀ	0.286
ˈe	-	0.286
ˈɪ	ˈɪː	0.273
ˈæ	ˈɑː	0.273
ˈæ	ˈaː	0.273
ˈɐ	-	0.261
ˈɒ	ˈaː	0.25
ˈɒ	-	0.25
ˈe	ˈeː	0.238
ˈaʊ̯	ˈoː	0.231
ˈuː	ˈʊː	0.222
v	v_ə	0.222
k	k_ə	0.222
ˈɔː	-	0.214
ˈɪ	ˈeː	0.212
ˈe	ˈu	0.19
#>	ɣ_ə_#>	0.188
#>	j_#>	0.188
ˈɐ	ˈoː	0.174
ˈaɪ̯	ˈeː	0.172
ɫ	ə_l	0.167
ˈiː	ˈøː	0.161
ˈiː	ˈeː	0.161
ˈəʊ̯	ˈi	0.158
t	x	0.158
ˈɑː	ˈæː_ʀ	0.154
ˈaʊ̯	-	0.154
ˈɔː	ˈeː_ʀ	0.143
ɡ	ə	0.143
n	ə	0.143
ˈiː	ˈɔː	0.129
ˈiː	ˈɒː	0.129
ˈiː	ˈi	0.129
k	-	0.111
ˈəʊ̯	ˈʊː	0.105
ˈaɪ̯	-	0.103
ˈiː	ˈɛː	0.097
ˈiː	-	0.097
ˈe	ˈɪ	0.095
ˈe	ˈɛː	0.095
ˈe	ˈɑ	0.095
ˈɪ	ˈɛ	0.091
ˈɪ	ˈœ	0.091
ˈɪ	-	0.091
ˈɐ	ˈɔu̯	0.087
ˈɐ	ˈɔ	0.087
d	j_ə	0.078
w	β_ˈɑ	0.074
ˈaɪ̯	ˈɪː	0.069
ˈaɪ̯	ˈɛ	0.069
ˈaɪ̯	ˈɑ	0.069
ˈaɪ̯	ˈyː	0.069
ˈaɪ̯	ˈi	0.069
ˈaɪ̯	ɣ̊	0.069
l	l_ˈʊː	0.069
ˈiː	ˈɛːi̯	0.065
ˈɪ	ˈʏ	0.061
ˈɪ	ˈɪ	0.061
ˈɪ	ˈɛː	0.061
ˈɪ	ˈyː	0.061
d	j	0.059
ɫ	w	0.056
