Limburgish	West Frisian	probability
ˈʏ	ˈɪ	1.0
ˈʊː_ʀ	ˈoə̯	1.0
ˈʊː_n	n	1.0
ˈʊ	ˈu	1.0
ˈɛːi̯	ˈɛ_j	1.0
ˈɔu̯	-	1.0
ˈœː	-	1.0
ˈœi̯	ˈuː	1.0
ˈæː	ˈɛ	1.0
ˈu	-	1.0
ˈaː_v̥	ˈɪə̯_l	1.0
ˈaː_j	ˈɔː	1.0
ʃ	s_k	1.0
ʀ_ə	n	1.0
ʀ_t	t	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ɡ	z	1.0
ə_ʀ	r	1.0
ə_ɣ̊	χ	1.0
ə_v̥	v_ə	1.0
ə_m	m	1.0
ə_k	k	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z	s	1.0
x	χ	1.0
w	ˈɔu̯	1.0
v_ə	n	1.0
p	p	1.0
m	m	1.0
l_ə	l	1.0
l	l	1.0
j_ə	d_ə	1.0
j	-	1.0
i	j_ɪ	1.0
b	b	1.0
n	n	0.981
t	t	0.945
v	f	0.894
ʀ	r	0.893
ə	ə	0.891
k	k	0.875
ˈɑ	ˈa	0.759
d	d	0.746
s	s	0.707
ˈɑː	ˈɔː	0.694
ˈɔ	ˈɔ	0.68
ɣ̊	χ	0.675
β	ʋ	0.666
ˈɪ	ˈɪ	0.662
ˈæ	-	0.662
ˈɛ	-	0.635
ɣ	ɡ	0.616
ˈɪː	ˈɪ	0.602
ˈœ	-	0.6
d̥	d̥	0.567
ˈyː	ˈɪə̯	0.555
ˈoː	-	0.548
ˈuː	ˈuː	0.544
ˈi	ˈiə̯	0.517
ˈʏː	-	0.515
ˈɒː	ˈiə̯	0.49
ˈʏː	ˈøə̯	0.485
ˈuː	-	0.456
ˈoː	ˈuə̯	0.452
ˈɔː	ˈɪə̯	0.447
ˈyː	-	0.445
d̥	-	0.433
ˈœ	ˈɛː	0.4
ˈiː	ˈi	0.371
ˈɛ	ˈɪ	0.365
ˈɔː	ˈɔ	0.365
ˈɪ	-	0.338
ˈøː	ˈuə̯	0.338
ˈæ	ˈɔ	0.338
ɣ̊	ɣ	0.325
ˈiː	ˈiː	0.322
ˈɔ	-	0.32
ˈiː	-	0.307
ˈɑː	ˈa	0.306
ˈøː	-	0.306
ˈi	-	0.306
s	s_k	0.293
ˈaː	ˈaː	0.287
β	v	0.282
ˈʊː	ˈuə̯	0.268
ˈeː	-	0.267
ˈɛː	-	0.266
ˈʊː	ˈoə̯	0.249
ˈɒː	ˈoə̯	0.249
ˈaː	-	0.249
ˈøː	ˈiə̯	0.247
ˈɛː	ˈiə̯	0.219
ˈaː	ˈa	0.208
ˈeː	ˈɪə̯	0.203
ˈɪː	ˈiː	0.201
ˈɪː	ˈi	0.197
ɣ	ɣ	0.196
ˈɔː	-	0.188
ɣ	-	0.188
ˈɑ	ˈɛː	0.184
ˈi	ˈɪ	0.177
ˈɛː	ˈɪ	0.167
ˈʊː	ˈu	0.16
ˈɒː	ˈa	0.152
ˈaː	ˈɛː	0.152
ˈʊː	ˈɔ	0.144
d	ʦ	0.14
ˈeː	ˈiə̯	0.138
ˈɛː	ˈiː	0.128
ˈeː	j_ˈɪ	0.115
d	-	0.114
ˈɛː	ˈɪə̯	0.11
ˈɛː	ˈi	0.11
ˈɒː	ˈaː	0.109
ˈøː	ˈu̯o	0.109
v	v	0.106
ˈʊː	ˈuː	0.105
ˈaː	ˈɛ	0.104
ə	j_ə	0.09
ˈeː	ˈɪ	0.086
ˈeː	ˈaː	0.085
ʀ	-	0.081
ˈʊː	-	0.074
k	-	0.069
ˈɑ	ˈai̯	0.058
k	ɣ	0.056
t	ʦ	0.055
ˈeː	ˈiː	0.053
ˈeː	j_ˈɔ	0.053
β	-	0.052
