Aromanian	Aromanian	probability
ˈɨ_n	ẽɪ̯̃	1.0
ˈu_ŋ	ɒ̃ʊ̯̃	1.0
ˈu_s	ʊ	1.0
ˈu_n	ɒ̃ʊ̯̃	1.0
ˈo_s	o	1.0
ˈo_k	øʏ̯	1.0
ˈo_j	u	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈi_m	ã	1.0
ˈi_#>	w_ɛ_#>	1.0
ˈe_l	oʊ̯	1.0
ˈa_t	æɛ̯	1.0
ˈa_l	oʊ̯	1.0
ʦ_i	i	1.0
ʣ_ˈə	ʣ	1.0
ɨ_n	ã	1.0
ə_#>	#>	1.0
ç	f	1.0
z	v	1.0
t_ˈi	æɛ̯	1.0
s_i	s_œ	1.0
r_s	ɛɪ̯	1.0
r_i	e	1.0
r_#>	l_#>	1.0
o̯ˈa_p	ɥ	1.0
n_t	ã	1.0
n_i	d	1.0
k_ʎ_u_#>	#>	1.0
k_ʎ	j	1.0
k_ə_#>	ʃ_#>	1.0
k_ə	ʃ	1.0
k_o̯ˈa	k	1.0
k_e̯ˈa	p	1.0
k_#>	#>	1.0
i_r	ʁ	1.0
i_m	m	1.0
i_d	w	1.0
i_#>	#>	1.0
e_#>	#>	1.0
d	-	1.0
a_ʤ	æɛ̯_d	1.0
<#_ʃ	<#	1.0
<#_s	<#_e	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
<#	<#_a	1.0
r	ʁ	0.857
s	s	0.846
m	m	0.842
o̯ˈa	-	0.833
f	f	0.818
b	b	0.786
ɡ	ɡ	0.75
v	v	0.75
n_ə_#>	n_#>	0.727
ˈo	œ	0.667
w	f	0.667
l	l	0.667
<#_t	<#_t	0.667
u	-	0.656
ʤ	ʒ	0.6
ʃ	s	0.6
ɲ	m	0.6
#>	l_#>	0.6
ʣ	ʒ	0.556
ʦ	s	0.526
t	-	0.5
j	v	0.5
p	p	0.48
k	k	0.464
ˈe	ɛ	0.462
n	n	0.462
t	t	0.433
ʤ	-	0.4
ʃ	-	0.4
ɲ	ɲ	0.4
p	-	0.4
#>	ɛ_#>	0.4
ə	-	0.385
ˈi	i	0.381
ˈɨ	æɛ̯	0.375
ˈɨ	-	0.375
ˈa	-	0.375
ˈu	u	0.348
ˈu	-	0.348
ˈo	ɑɔ̯	0.333
ˈi	ɪ	0.333
ʎ	l	0.333
w	-	0.333
j	-	0.333
<#_t	<#	0.333
k	ʃ	0.321
ʦ	-	0.316
ə	ʁ	0.308
n	ã	0.308
ˈi	-	0.286
e̯ˈa	ɛ	0.286
n_ə_#>	#>	0.273
ˈɨ	ẽɪ̯̃	0.25
ʎ	l_a	0.25
ʎ	j	0.25
ɡ	-	0.25
v	-	0.25
i	-	0.25
e̯ˈa	æɛ̯	0.238
ˈe	-	0.231
n	-	0.231
ˈa	æɛ̯	0.225
ʣ	ʣ	0.222
ʣ	-	0.222
ˈu	y	0.217
b	-	0.214
e̯ˈa	w	0.19
f	-	0.182
ˈa	a	0.175
ʎ	-	0.167
o̯ˈa	aœ̯	0.167
l	oʊ̯	0.167
l	-	0.167
j	i	0.167
ʦ	k	0.158
m	-	0.158
ˈe	æɛ̯	0.154
ˈe	j_ɛ	0.154
ə	øʏ̯	0.154
ə	a	0.154
s	-	0.154
i	ʁ	0.15
i	ɛ	0.15
i	œ	0.15
i	i	0.15
k	-	0.143
u	u	0.125
p	v	0.12
ˈa	ɛ	0.1
i	w	0.1
e̯ˈa	w_ɛ	0.095
e̯ˈa	a	0.095
e̯ˈa	-	0.095
u	ɔ	0.094
ˈu	ɒ̃ʊ̯̃	0.087
r	l	0.079
ˈa	e	0.075
k	p	0.071
t	v_w	0.067
u	ʁ	0.062
u	ɑɔ̯	0.062
