Swiss German	Swiss German	probability
ˈøi̯	-	1.0
ˈø	ˈɛ	1.0
ˈæː	ˈɛ	1.0
ˈæi̯	ˈɛɪ̯	1.0
ˈyə̯	ˈɪ	1.0
ˈuː	ˈɔɪ̯	1.0
ˈuə̯	ˈʊ	1.0
ˈu_r	ˈɔ_ʀ	1.0
ˈiː	ˈaɪ̯	1.0
ˈiə̯	ˈɪ	1.0
ˈi	ˈɪ	1.0
ˈeː	-	1.0
ˈei̯	-	1.0
ˈe	ˈɛ	1.0
ˈau̯	ˈɔɪ̯	1.0
ʦ	ʦ	1.0
ʒ̊	ʃ	1.0
ʋ	v	1.0
ʃː_#>	ʃ_#>	1.0
ɣ̊	k	1.0
ɡ̊_#>	k_#>	1.0
ɡ̊	ɡ	1.0
æ	n	1.0
z̥	z	1.0
w	ɫ	1.0
v̥	f	1.0
tː_ə	t_ə	1.0
tː_r	t_ʀ	1.0
tː	t	1.0
sː	s	1.0
pː	p	1.0
n	n	1.0
m	m	1.0
l	ɫ	1.0
kː	k	1.0
j	j	1.0
h	h	1.0
fː_ə	f_n	1.0
fː	f	1.0
b̥	b	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_ʀ	1.0
r	ʀ	0.968
ˈɒː	ˈɔ	0.857
ˈæ	ˈɛ	0.857
d̥	d	0.852
ˈɒ	ˈa	0.839
χː	χ	0.833
#>	n_#>	0.783
ˈy	ˈɪ	0.778
ˈo	ˈɔ	0.769
ˈu	ˈʊ	0.765
i	ɪ	0.667
ˈoː	ˈɔɪ̯	0.615
ʃː	s	0.556
ˈøː	ˈɛ	0.5
ˈøː	-	0.5
ˈyː	ˈɪ	0.5
p͡f	p	0.5
p͡f	f	0.5
ŋ	ŋ	0.455
ə	n	0.424
ə	ə	0.39
ŋ	ŋ_ɡ	0.364
ˈyː	ˈaɪ̯	0.357
i	-	0.333
ˈoː	ˈɔ	0.231
ˈo	-	0.231
ˈy	-	0.222
ʃː	ʧ	0.222
ʃː	ʃ	0.222
ŋ	n_t	0.182
ə	-	0.169
χː	k	0.167
ˈɒ	ˈɔ	0.161
ˈoː	-	0.154
d̥	t	0.148
ˈɒː	n	0.143
ˈæ	ˈa	0.143
ˈyː	ˈaɪ̯_ə	0.143
#>	d_#>	0.13
ˈu	ˈɔ	0.118
ˈu	-	0.118
#>	ə_#>	0.087
