Afrikaans	Afrikaans	probability
ˈɪø̯	-	1.0
ˈə	ˈɪ	1.0
ˈɔː	-	1.0
ˈɑː_r	ˈɛə̯	1.0
ˈœɪ̯	ˈuː	1.0
ˈæː	ˈa	1.0
ˈyː	ˈyː	1.0
ˈoː	-	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_r	ɐ	1.0
ə_#>	#>	1.0
w	-	1.0
t	t	1.0
s_ɫ	s_l	1.0
s_k	ʃ	1.0
r_t	ɐ_t	1.0
r_s	s_t	1.0
n_d	n	1.0
m	m	1.0
k	k	1.0
i	ɒː	1.0
d	d	1.0
b	b	1.0
<#_ˈɔ	<#_ˈʏ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	ə_#>	0.925
n	n	0.913
v̥	f	0.906
ˈəɪ̯	ˈiː	0.857
v	v	0.852
ŋ	ŋ	0.846
p	p	0.846
ˈɑː	ˈɒː	0.842
ˈi	ˈɛɪ̯	0.833
d̥	d̥	0.8
ˈa	ˈa	0.788
ˈæ	ˈɛ	0.714
ˈœu̯	ˈɔ_l	0.667
ˈœ	ˈʏ	0.667
ˈɛ	-	0.6
j	-	0.6
ˈɔ	ˈʊ	0.55
r	ɐ	0.511
ˈʊə̯	ˈeo̯	0.5
r	r	0.489
ˈu	ˈaʊ̯	0.467
s	z	0.422
ˈɛ	ˈɪ	0.4
ˈu	ˈɔʏ̯	0.4
j	j	0.4
χ	ɣ	0.364
ˈɪə̯	ˈɛɪ̯	0.333
ˈɪə̯	ˈeː	0.333
ˈœu̯	ˈuː	0.333
ˈœ	-	0.333
s	s	0.333
ˈɔ	ˈɔ	0.3
ə	ɪ	0.3
ə	-	0.3
ˈæ	-	0.286
ˈʊə̯	ˈoː	0.227
ˈɪə̯	ˈɛː	0.222
χ	x	0.212
ə	ə	0.2
ə	ɐ	0.2
ˈi	-	0.167
ˈɑː	-	0.158
s	ʃ	0.156
ŋ	-	0.154
p	b_m	0.154
χ	ç	0.152
ˈɔ	-	0.15
v	w	0.148
ˈəɪ̯	ˈɛɪ̯	0.143
ˈʊə̯	ˈøː	0.136
ˈʊə̯	-	0.136
ˈu	ˈʊ	0.133
d̥	n	0.133
χ	j	0.121
ˈa	-	0.121
ˈɪə̯	ˈɛ	0.111
ˈa	ˈaː	0.091
s	z̥	0.089
#>	d̥_#>	0.075
d̥	-	0.067
v̥	v_ə	0.062
χ	ɡ	0.061
χ	ŋ	0.061
