Aromanian	Aromanian	probability
ˈɨ	ˈɐ̃	1.0
ˈə	-	1.0
ˈu_p	ˈo_b	1.0
ˈi_#>	ˈi_#>	1.0
ˈa_v	ˈo_w	1.0
ʦ_i	j_ʃ	1.0
ʃ_t	s_ˈa	1.0
ɨ	-	1.0
ə_t	a_d	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ç	f	1.0
z	-	1.0
t_i	i	1.0
t_#>	d_u_#>	1.0
r_u	ɾ_u	1.0
r_n	ɦ_n	1.0
r_k	h_k	1.0
r_i	h	1.0
r_b	ɦ_v	1.0
p_l	ʃ	1.0
n_ˈa	n_a	1.0
n_ə	ɐ	1.0
n_t	ʧ	1.0
n_i	w̃	1.0
n_#>	j̃_u_#>	1.0
m_t	t	1.0
k_ʎ	ʎ	1.0
k_#>	ɡ_u_#>	1.0
i_r	ˈe	1.0
f_l	ʃ	1.0
<#_ˈo	<#_ˈo	1.0
<#_ʎ	<#_l	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#_v	1.0
<#_e̯ˈa	<#_ˈɛ	1.0
m	m	0.828
f	f	0.778
ɡ	ɡ	0.75
ʤ	ʒ	0.714
ˈo	ˈo	0.706
l	l	0.696
ə	ɐ	0.688
u	u	0.688
d	d	0.688
p	p	0.682
ɲ	m	0.667
b	b	0.667
k	k	0.659
ˈa	ˈa	0.639
i_#>	#>	0.625
s	s	0.607
ˈe	ˈe	0.6
ʎ	ʎ	0.6
ʃ	s	0.6
r_#>	u_#>	0.6
e̯ˈa	ˈe	0.6
<#_ˈa	<#_ˈa	0.6
<#_a	<#	0.571
a	a	0.556
o̯ˈa	ˈɔ	0.533
ˈu_n	ˈõ	0.5
ˈu_n	ˈo	0.5
ˈi_n	ˈẽ	0.5
ˈi_n	ˈe_j	0.5
w	-	0.5
t	t	0.5
p_t	j_ʧ	0.5
p_t	j_t	0.5
j	j	0.5
e	w	0.5
e	j̃	0.5
<#	<#_d	0.5
<#	<#_b	0.5
#>	u_#>	0.5
ʣ	-	0.455
n	-	0.444
a	-	0.444
r	ɾ	0.429
<#_a	<#_h	0.429
i	i	0.42
ʦ	s	0.412
ˈe	ˈɛ	0.4
ʎ	-	0.4
ʃ	-	0.4
r_#>	w_#>	0.4
<#_ˈa	<#	0.4
ˈi	ˈi	0.393
i_#>	ʃ_#>	0.375
ʣ	ʒ	0.364
ɲ	-	0.333
b	v	0.333
t	d	0.318
d	-	0.312
ˈu	ˈu	0.31
ˈo	ˈɔ	0.294
ʤ	-	0.286
#>	ɐ_#>	0.267
ɡ	-	0.25
w	v_u	0.25
w	v	0.25
j	v	0.25
j	-	0.25
ʦ	z	0.235
#>	ʃ_#>	0.233
p	-	0.227
n	n	0.222
n	j̃	0.222
f	-	0.222
u	o	0.219
s	ʃ	0.214
ˈu	ˈũ	0.207
ˈu	ˈo	0.207
o̯ˈa	-	0.2
r	-	0.19
ʣ	ʤ	0.182
t	-	0.182
ˈi	ˈĩ	0.179
ˈi	ˈẽ	0.179
ˈi	-	0.179
ʦ	k	0.176
ʦ	-	0.176
m	-	0.172
k	ɡ	0.171
i	h	0.16
i	-	0.16
e̯ˈa	ˈɛ	0.15
e̯ˈa	-	0.15
ə	i	0.146
i	e	0.14
ˈa	ˈɛ	0.139
ˈu	ˈõ	0.138
ˈu	-	0.138
o̯ˈa	ˈu	0.133
o̯ˈa	ˈo	0.133
l	-	0.13
k	p	0.122
r	h	0.119
n	w̃	0.111
s	e_ʃ	0.107
e̯ˈa	ˈẽ	0.1
u	-	0.094
p	b	0.091
l	w	0.087
l	j̃	0.087
ˈa	ˈo	0.083
ˈa	a	0.083
ə	u	0.083
i	ɐ	0.08
ˈi	ˈe	0.071
s	-	0.071
r	ɦ	0.071
ˈa	ˈe	0.056
