Brazilian Portuguese	Brazilian Portuguese	probability
ˈũ	ˈu	1.0
ˈu	ˈu	1.0
ˈo_ɡ	ˈo_k	1.0
ˈo_w	ˈa	1.0
ˈo_j	ˈɔ	1.0
ˈi_ɡ	ˈi_k	1.0
ˈe_j	ˈe	1.0
ˈa_ɡ	ˈa	1.0
ˈa_b	ˈa_p	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ʤ	d	1.0
ʒ	ɡ	1.0
ʃ_t	s_t	1.0
ʃ_p	s_p	1.0
ɾ_ɐ	ɾ_a	1.0
ɾ_u	u	1.0
ɦ_n	r	1.0
ɦ	ɾ	1.0
ɐ̃	-	1.0
z	k	1.0
w_#>	l_u_#>	1.0
ũ	m	1.0
u_ʃ	ɔ_z	1.0
t_ˈa	ð_ɛ	1.0
s_u	u	1.0
p	p	1.0
õ	ɔ	1.0
m	m	1.0
j_ʃ	k_ɛ	1.0
j_#>	ɣ_ɛ_#>	1.0
h_ʧ	ɾ_t	1.0
h_k	ɾ_k	1.0
f	f	1.0
ẽ	-	1.0
<#_ˈo	<#_ˈo	1.0
<#_ʒ	<#_ʣ	1.0
<#_ʃ	<#_p_ɾ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#	1.0
<#_e	<#_i	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
u	u	0.933
k	k	0.886
d	t	0.875
t	t	0.85
ˈĩ	ˈi	0.846
ɐ	a	0.841
ˈi	ˈi	0.778
ɾ	ɾ	0.75
w	-	0.75
a	a	0.75
l	l	0.73
ˈɐ̃	ˈa	0.727
ˈɔ	ˈɔ	0.722
i	ɛ	0.686
<#	<#_a	0.667
h	ɾ_ɛ	0.619
ˈɛ	ˈɛ	0.591
b	b	0.591
v	b	0.571
ɡ	k	0.556
s	s	0.545
j̃	n	0.526
ʎ	ʣ	0.5
ʎ	k_ɾ	0.5
w̃	n_u	0.5
n	nː	0.5
n	n	0.5
#>	ɛ_#>	0.455
ˈõ	ˈu	0.4
e	i	0.4
ˈo	ˈɔ	0.379
<#_h	<#_ɾ	0.375
<#_h	<#_r	0.375
v	β	0.371
s	k	0.364
j	-	0.353
ˈo	ˈu	0.345
o	o	0.333
e	ɛ	0.333
<#	<#_i	0.333
ˈɛ	ˈe	0.318
w̃	n	0.3
j	j	0.294
ˈe	ˈɛ	0.286
ˈe	ˈi	0.286
ˈo	ˈo	0.276
ˈẽ	ˈɛ_n	0.273
ˈẽ	ˈi	0.273
ˈẽ	ˈe	0.273
b	p	0.273
e	-	0.267
ʃ	z	0.25
ʃ	s	0.25
w	l	0.25
o	ɔ	0.25
o	-	0.25
a	ˈa	0.25
<#_h	<#	0.25
ɡ	ɣ	0.222
ɡ	m	0.222
#>	u_#>	0.205
ˈõ	ˈɔ_n	0.2
ˈõ	ˈo_n	0.2
ˈõ	ˈo	0.2
w̃	ɛ	0.2
l	ɖː	0.189
ˈẽ	ˈe_n	0.182
ɾ	-	0.179
j	z	0.176
j	n	0.176
ˈe	ɛ_ɾ	0.171
i	i	0.171
ˈɔ	ˈo	0.167
o	ˈɔ	0.167
h	ɛ	0.167
#>	ɔ̆_#>	0.159
j̃	nː	0.158
j̃	n_ʣ	0.158
ˈĩ	ˈi_n	0.154
t	n_t	0.15
ˈe	ˈe	0.143
h	ɾ	0.143
ˈɐ̃	ˈa_n	0.136
ˈɐ̃	n	0.136
b	-	0.136
d	ð	0.125
ˈɔ	ˈu	0.111
ˈi	ð_i	0.111
ˈi	i	0.111
j̃	ɛ	0.105
ɐ	-	0.095
ˈɛ	ˈi	0.091
s	-	0.091
i	a	0.086
ʃ	ɛ̆	0.083
ʃ	ɔ_z	0.083
ʃ	p	0.083
ʃ	k_ɾ	0.083
ʃ	k	0.083
ʃ	f_ɾ	0.083
l	-	0.081
ɾ	ɾ_ˈi	0.071
h	r	0.071
#>	ŭ_#>	0.068
#>	a_#>	0.068
ɐ	n_a	0.063
ˈe	ˈɛ_ɣ	0.057
ˈe	ɛ	0.057
v	-	0.057
k	k_a	0.057
k	-	0.057
i	u	0.057
j̃	ɲ	0.053
