Sassarese	Sassarese	probability
β	-	1.0
ˈɛ_n	ã	1.0
ˈɔ_β	œ_f	1.0
ˈɔ_ʦ	w	1.0
ˈɔ_ɡː	øʏ̯	1.0
ˈɔ_sː	o	1.0
ˈɔ_n	ɒ̃ʊ̯̃	1.0
ˈɔ_j	u	1.0
ˈɔ_dː	u	1.0
ˈɔ_d	øʏ̯	1.0
ˈu_n	œ̃ʏ̯̃	1.0
ˈo_ʧː	u	1.0
ˈo_tː	u	1.0
ˈo_n	ɒ̃ʊ̯̃	1.0
ˈi_ŋ	ẽɪ̯̃	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈe_tː	ɛ_t	1.0
ˈe_dː	oʊ̯	1.0
ˈa_z	e	1.0
ˈa_n	ẽɪ̯̃	1.0
ˈa_bː	ɛ	1.0
ˈa_#>	e_#>	1.0
ʧː	-	1.0
ʧ	k_l	1.0
ʦː_a	s	1.0
ʦː	-	1.0
ʤː	-	1.0
ʤ	ʒ	1.0
ʣ	-	1.0
ʒ	-	1.0
ʎː	j	1.0
ʃː	-	1.0
ɲː_u	ẽɪ̯̃	1.0
ɲː	ɲ	1.0
ɬ_t	ʁ	1.0
ɬ	-	1.0
ɡː	-	1.0
ɔ	ɒ̃ʊ̯̃	1.0
ŋ	-	1.0
z	-	1.0
xː	ʃ	1.0
x	k	1.0
w_ˈa	a	1.0
v	v	1.0
u_n	ɒ̃ʊ̯̃	1.0
u_#>	#>	1.0
tː_u	i	1.0
tː	t	1.0
sː	s	1.0
s	s	1.0
rː	ʁ	1.0
r_u	l	1.0
p_ˈu	p_w	1.0
p_a	p_a	1.0
o	u	1.0
nː	-	1.0
lː	l	1.0
l_ˈa	l_æɛ̯	1.0
kː	ʃ	1.0
k_ˈa	ʃ	1.0
k_a	ʃ	1.0
j_u	ʒ	1.0
j_a	l	1.0
i_n	œ_n	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
dː	-	1.0
bː	-	1.0
a_r	ʁ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
#>	ʁ_#>	1.0
a_#>	#>	0.939
m	m	0.895
r	ʁ	0.8
p	p	0.769
b	b	0.75
<#_r	<#_ʁ	0.75
ɡ	ɡ	0.692
k	k	0.636
dː_u_#>	#>	0.625
ˈu	y	0.615
n	n	0.611
ʦ	s	0.583
mː	m	0.571
a	a	0.562
t	t	0.556
d	-	0.55
pː	p	0.5
pː	-	0.5
j	l	0.462
mː	-	0.429
ʦ	-	0.417
t	-	0.389
dː_u_#>	ɛ_#>	0.375
k	ʃ	0.364
d	d	0.35
ˈɔ	ɑɔ̯	0.333
ˈo	œ	0.333
ˈa	æɛ̯	0.321
ˈe	ɛ	0.316
ˈe	-	0.316
ɡ	-	0.308
j	-	0.308
ˈɛ	æɛ̯	0.286
ˈa	a	0.286
ˈɔ	ɔ	0.267
ˈo	-	0.267
ˈe	j	0.263
b	v	0.25
<#_r	<#	0.25
u	u	0.238
ˈu	u	0.231
j	ʁ	0.231
ˈi	ɪ	0.212
i	-	0.208
ˈɔ	aœ̯	0.2
ˈɔ	-	0.2
ˈɛ	w_ɛ	0.19
ˈɛ	w	0.19
u	-	0.19
a	æɛ̯	0.188
n	ẽɪ̯̃	0.167
i	i	0.167
r	l	0.156
ˈu	ʏ	0.154
p	-	0.154
ˈɛ	oʊ̯	0.143
ˈa	oʊ̯	0.143
ˈa	e	0.143
u	øʏ̯	0.143
u	i	0.143
ˈo	ɥ	0.133
ˈo	ɑɔ̯	0.133
ˈo	u	0.133
i	ɛ	0.125
i	w	0.125
i	j	0.125
a	v	0.125
a	-	0.125
ˈi	ʁ	0.121
ˈi	i_ʁ	0.121
ˈi	i	0.121
n	ã	0.111
n	-	0.111
ˈa	-	0.107
ˈe	ɪ	0.105
m	-	0.105
d	ʣ	0.1
ˈɛ	ɛ	0.095
ˈɛ	ã	0.095
u	oʊ̯	0.095
u	l	0.095
u	e	0.095
ˈi	ɛ	0.091
ˈi	w_ɛ	0.091
i	ʒ	0.083
i	æɛ̯	0.083
i	e	0.083
p	v	0.077
ˈi	w	0.061
ˈi	e	0.061
ˈi	d_ʁ	0.061
ˈi	-	0.061
a_#>	l_#>	0.061
t	ʦ	0.056
