Yiddish	Yiddish	probability
χ_t	h_t	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʀ_#>	#>	1.0
ɡ_#>	ɡ_s_#>	1.0
ə_m	m_s	1.0
z	s	1.0
s_t	s_t	1.0
p	-	1.0
n_d	n	1.0
m	m	1.0
k	-	1.0
j	j	1.0
h	h	1.0
a	oː	1.0
<#_ˈɔɪ̯	<#_ˈɔː	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_s	1.0
<#_t	<#_d	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_d	<#_θ	1.0
<#	<#_h	1.0
ʀ	r	0.941
ˈɪ	ˈi	0.917
v	w	0.895
ɫ	l	0.893
ˈa	ˈa	0.889
#>	s_#>	0.83
ˈɛɪ̯	ˈɛː	0.8
ŋ	ŋ	0.778
s	t	0.75
b	b	0.722
χ	k	0.7
n	n	0.696
f	f	0.667
ˈaɪ̯	ˈiː	0.636
d	θ	0.6
ə	a	0.565
ʃ	s_k	0.545
ɡ	ɡ	0.5
ʃ	s	0.455
ˈʊ	ˈu	0.444
ˈʊ	ˈoː	0.444
d	d	0.4
ˈɛ	ˈɛ	0.389
t	θ	0.368
ˈaɪ̯	ˈiu̯	0.364
ˈɛ	ˈi	0.333
ˈɔɪ̯	ˈɔː	0.333
ˈɔ	ˈa	0.333
f	p	0.333
t	d	0.316
χ	h	0.3
ˈɛ	ˈa	0.278
b	β	0.278
ə	-	0.261
ˈɔɪ̯	ˈɔ	0.25
ˈɔɪ̯	ˈuː	0.25
ɡ	ɣ	0.25
s	t_a	0.25
n	a_n	0.25
ŋ	-	0.222
t	θ_s	0.211
ˈɔ	ˈu	0.208
ˈɔ	ˈeː	0.208
ˈɛɪ̯	-	0.2
ˈɔɪ̯	ˈu	0.167
ˈɔ	ˈɔ	0.167
ɡ	x_s	0.167
ə	s	0.13
#>	a_#>	0.113
ˈʊ	ˈuː	0.111
ˈa	ˈɛ	0.111
ɫ	lː	0.107
v	ʍ	0.105
t	t	0.105
ˈɪ	ˈiu̯	0.083
ˈɔ	-	0.083
ɡ	ɡʷ	0.083
ʀ	-	0.059
#>	iː_s_#>	0.057
n	-	0.054
