Romanian	Neapolitan	probability
ˈɨ_j	ˈa	1.0
ˈɨ	ˈa	1.0
ˈau̯	ˈɔ	1.0
ˈa_l	ˈa	1.0
ʧʲ	-	1.0
ʦʲ	tː_i	1.0
ʒ	j	1.0
ʃ_t	ʃː	1.0
ʃ	-	1.0
ɨ	-	1.0
ŋ	-	1.0
r_t	ɾ_t	1.0
p_t	tː	1.0
p_l	k_j	1.0
o	-	1.0
nʲ	ˈɔ_n	1.0
n_ʤ	ɲː	1.0
n_e	n_ə	1.0
kʲ	kː_j	1.0
j_ˈe	ˈɛ	1.0
j_ˈa	ˈɛ	1.0
f_l	ʃ	1.0
f_e	fː	1.0
f	f	1.0
e̯ˈa	ˈi	1.0
e_n	ə_n	1.0
p	p	0.884
ə	ə	0.87
v	v	0.859
ˈa	ˈa	0.827
k	k	0.814
t	t	0.809
e	ə	0.745
ʦ	-	0.735
ˈi	ˈi	0.722
u	u	0.714
ˈu	ˈu	0.694
ʧ	ʃ	0.691
o̯ˈa	ˈɔ	0.687
s	s	0.654
m	m	0.652
e_r	ə_ɾ	0.644
w	ə	0.636
ɡ	ɡ	0.575
n	n	0.531
ʤ	-	0.516
i	-	0.516
z	d	0.507
b	b	0.507
a	-	0.505
a	a	0.495
z	-	0.493
b	v	0.493
ʤ	ʤ	0.484
i	i	0.484
j	j	0.48
r	ɾ	0.477
ˈo	w_ˈɔ	0.466
ˈe	ˈɛ	0.464
d	ɾ	0.44
ɡ	-	0.425
d	d	0.423
ˈo	ˈu	0.371
e_r	ə	0.356
r	-	0.313
o̯ˈa	ˈo	0.313
ˈe	ˈe	0.294
u	-	0.286
ʦ	ʦː	0.265
ʧ	-	0.236
j	ˈa	0.202
m	-	0.196
w	ˈɔ_v	0.192
k	kː	0.186
s	-	0.182
w	-	0.172
j	ʎː	0.166
ˈe	ˈi	0.165
s	ʃ	0.164
ˈi	ˈɛ	0.16
n	n_ə	0.154
j	-	0.152
ˈu	w_ˈɔ	0.142
v	v_j	0.141
d	-	0.138
t	tː	0.137
n	-	0.137
r	r	0.128
e	i	0.125
ˈi	ˈe	0.118
m	mː	0.118
p	-	0.116
ˈu	ˈo	0.11
ˈo	ˈɔ	0.108
ˈa	ˈɛ	0.1
n	nː	0.09
n	ɲː	0.088
ˈe	j_ˈɛ	0.076
r	l	0.074
ʧ	dː	0.073
ə	a	0.065
ə	-	0.065
ˈo	w	0.056
ˈu	-	0.054
t	ʃː	0.054
e	-	0.052
