Luxembourgish	Luxembourgish	probability
ˈʊ	ˈoˀ	1.0
ˈɜɪ̯_#>	ˈeˀ_#>	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	-	1.0
ˈæːʊ̯	ˈuˀ	1.0
ˈæːɪ̯_n	ˈiˀ_n	1.0
ˈuə̯_ɕ	ˈɛ	1.0
ˈuə̯	-	1.0
ˈoː_ə	ˈɔˀ	1.0
ˈiə̯	-	1.0
ˈi	-	1.0
ˈe_ŋ_#>	ˈiˀ_#>	1.0
ʦ_w	ʦʰ	1.0
ʦ_#>	d̥_#>	1.0
ʑ	-	1.0
ʃ_#>	s_ɡ̊_ə_#>	1.0
ɡ	ɡ̊	1.0
ə_ɕ	i	1.0
ɕ_t	d̥	1.0
ɕ_#>	#>	1.0
ɐ_#>	#>	1.0
z̥_#>	s_#>	1.0
v̥_#>	#>	1.0
v̥	w	1.0
v_ə	w	1.0
n_#>	#>	1.0
l_ˈaː	l	1.0
l_ə	lˀ	1.0
l_#>	l_#>	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
h	h	1.0
e	-	1.0
d̥_#>	#>	1.0
d̥	ð̞ˠ	1.0
d_ɐ	ɐ	1.0
b	b̥	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
#>	ɡ̊_#>	1.0
m	m	0.92
ʀ	ʁ	0.893
z	s	0.882
v	ʋ	0.875
s	ð̞ˠ	0.867
f	f	0.818
ʦ	ʦʰ	0.778
ʃ	s	0.778
n_d̥	nˀ	0.778
ɕ	j	0.75
ˈɑɪ̯	-	0.7
l	l	0.676
w	ʋ	0.667
ɐ	ɐ	0.643
ə	ə	0.641
ˈoː	-	0.625
t	d̥	0.611
ˈɑʊ̯	-	0.6
ˈeː	ˈeˀ	0.6
ˈɜɪ̯	-	0.571
ˈiː	-	0.556
χ	w	0.5
χ	j	0.5
ˈɛː	ˈɛ	0.5
ˈɛː	-	0.5
ˈəʊ̯	ˈœˀ	0.5
ˈæːɪ̯	ˈiˀ	0.5
ˈæːɪ̯	-	0.5
ˈæ	ˈe	0.5
ˈæ	-	0.5
ˈuː	ˈo	0.5
ˈuː	-	0.5
ˈu	-	0.5
ˈo	ˈu	0.5
f_#>	b̥_#>	0.5
f_#>	#>	0.5
d	d̥	0.455
n	n	0.441
ˈe	ˈœ	0.429
ˈɑʊ̯	ˈuˀ	0.4
ˈeː	-	0.4
ŋ	ŋˀ	0.4
d	ʦʰ	0.394
ˈoː	ˈɔˀ	0.375
ˈɑ	-	0.364
ˈo	-	0.333
ˈiː	ˈɛ	0.333
w	-	0.333
l	lˀ	0.324
ˈə	ˈe	0.312
ˈɑɪ̯	ˈyˀ	0.3
ˈu	ˈʌ	0.3
ŋ	ŋ	0.3
ŋ	-	0.3
n	ə	0.294
ˈe	ˈy	0.286
ˈe	-	0.286
t	ð̞ˠ	0.278
ˈɑ	ˈe	0.273
ˈaː	ˈa	0.269
ˈaː	-	0.269
ˈəʊ̯	ˈɔː	0.25
ˈəʊ̯	ˈoˀ	0.25
ˈə	-	0.25
ɕ	-	0.25
ˈɑ	ˈa	0.227
ʦ	d̥	0.222
ʃ	s_ɡ̊	0.222
n_d̥	n_ə	0.222
ˈɜɪ̯	ˈyː	0.214
ˈɜɪ̯	ˈyˀ	0.214
ɐ	ʌ	0.214
ˈu	ˈoˀ	0.2
ˈə	ˈɑ	0.188
ə	-	0.179
ˈo	ˈœ	0.167
n	nˀ	0.147
ɐ	ɐˀ	0.143
ˈɑ	ˈɛ	0.136
s	ˈiː_ð̞ˠ	0.133
ˈə	ˈø	0.125
ˈə	j	0.125
v	w	0.125
d	-	0.121
z	s_ˈiː	0.118
ˈaː	ˈɑˀ	0.115
ˈaː	ˈo	0.115
ˈiː	ˈɶˀ	0.111
t	-	0.111
ʀ	ɐˀ_n	0.107
f	b̥_ə	0.091
f	b̥	0.091
m	mˀ	0.08
ˈaː	ˈɑ	0.077
ˈaː	ˈœˀ	0.077
ə	w	0.077
n	n_ə	0.059
n	-	0.059
ə	ɡ̊_ə	0.051
ə	ð̞ˠ	0.051
