Belarusian	Belarusian	probability
ˈ_x	́	1.0
ˈ_#>	#>	1.0
ʧ_a	k_e	1.0
ʧ	t	1.0
ʣʲ	d	1.0
ʐ̊	ŋ_ɡ	1.0
ʐ	ɡ	1.0
ʌ	a	1.0
ʉ	j_au̯	1.0
ɫ	l	1.0
ɣʲ	ɡ	1.0
ɣ	ɡ	1.0
ɛ	ai̯	1.0
æ_z	z	1.0
z̥	-	1.0
zʲ	zʲ	1.0
z	zʲ	1.0
xʲ	ʃ	1.0
x	ɡ_a	1.0
w	l_ˀ	1.0
vʲ	w	1.0
t	t	1.0
r_o	r	1.0
r_a	r	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ	l_i	1.0
kʲ	-	1.0
j	-	1.0
d̥ʲ	d	1.0
d̥	d	1.0
b̥	m_b	1.0
bʲ	b	1.0
b	b	1.0
<#_v	<#	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_d	<#_d	1.0
a_ˈ	aː_́ˀ	0.846
v	w	0.818
k	k	0.8
o	a	0.769
d	d	0.714
ɵ	e	0.6
#>	s_#>	0.596
u	a	0.583
a_#>	a_#>	0.571
sʲ	sʲ	0.5
sʲ	s	0.5
o_ˈ	́	0.5
o_ˈ	a	0.5
ˈ	́	0.463
a_#>	#>	0.429
ɵ	i	0.4
s	sʲ	0.4
s	s	0.4
e	-	0.385
ɨ	uː	0.353
ɨ	a_s	0.353
ʦʲ	t_ei̯	0.333
ʦʲ	t	0.333
æ	i	0.333
a	aː	0.323
e	e	0.308
d	-	0.286
i	u	0.273
i	a	0.273
i	-	0.273
a	a	0.258
u	au̯	0.25
o	i	0.231
e	ai̯	0.231
ˈ	-	0.224
æ	eː	0.222
æ	e_́	0.222
æ	e	0.222
#>	a_s_#>	0.213
s	-	0.2
k	-	0.2
ˈ	ˀ	0.194
a	-	0.194
v	ˀ_w	0.182
i	ei̯	0.182
ɨ	a	0.176
ʦʲ	t_i	0.167
ʦʲ	n	0.167
u	n	0.167
a_ˈ	oː	0.154
ˈ	́ˀ	0.119
ɨ	e_s	0.118
#>	ˀ_#>	0.106
a	a_́	0.097
e	ɛ	0.077
a	oː	0.065
a	eː	0.065
