Palatine German	Yiddish	probability
β_ə	b_n	1.0
ˈɪ	ˈɪ	1.0
ˈɛ̃ː	ˈɛɪ̯_n	1.0
ˈɑ̃ɪ̯	ˈaɪ̯_n	1.0
ˈuː	ˈʊ	1.0
ˈu	ˈʊ	1.0
ˈõː	ˈʊ	1.0
ˈoː_d̥	ˈɔɪ̯_t	1.0
ˈo	ˈɔ	1.0
ˈĩː	ˈɪ_n	1.0
ˈiː	ˈɪ	1.0
ˈi	ˈaɪ̯	1.0
ˈau̯̯	ˈɔɪ̯	1.0
ˈau̯	ˈɔɪ̯	1.0
ʣ̥	ʦ	1.0
ʃ_d̥	s_t	1.0
ɪ	ɪ	1.0
ɣ̊	ɡ	1.0
ɡ̊_r	ɡ_ʀ	1.0
ɑ	a	1.0
x	χ	1.0
s_ə	s_n	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
h	h	1.0
f_ə	f_n	1.0
f	f	1.0
eː	-	1.0
d̥_r	d_ʀ	1.0
ˈaɪ̯	ˈaɪ̯	0.915
β	v	0.887
ˈɑ	ˈa	0.872
ˈɛ	ˈɛ	0.87
b̥	b	0.868
n	n	0.866
ˈɔ	ˈɔ	0.797
ŋ	ŋ	0.784
r	ʀ	0.781
d̥	t	0.751
s	z	0.683
ˈoː	ˈɔ	0.617
j	ɡ	0.583
ɡ̊	k	0.565
ʃ	ʃ	0.558
ə	n	0.55
ɐ	ʀ	0.515
ˈɑː	ˈɔ	0.478
ˈɛː	ˈɛɪ̯	0.443
ɡ̊	ɡ	0.435
ˈɑː	ˈɔɪ̯	0.42
j	j	0.417
ˈeː	ˈɛ	0.401
ˈeː	ˈɛɪ̯	0.395
ˈoː	ˈɔɪ̯	0.383
ɐ	ə_ʀ	0.377
ˈɛː	ˈɛ	0.369
ʃ	χ	0.339
s	s	0.317
ə	ə_n	0.307
d̥	d	0.249
ŋ	ŋ_ɡ	0.216
ˈeː	ˈɪ	0.204
ˈɔ	ˈʊ	0.203
ˈɛː	-	0.188
b̥	p	0.132
ˈɛ	ˈa	0.13
ˈɑ	ˈɔ	0.128
β	b	0.113
r	t_ə	0.109
r	d	0.109
ɐ	ʀ_ə	0.108
ˈɑː	-	0.102
n	n_d	0.094
ˈaɪ̯	-	0.085
ʃ	k	0.08
ə	ɡ_n	0.075
ə	-	0.067
