Portuguese	Portuguese	probability
ˈɨ_#>	ˈi_#>	1.0
ˈɐ̃	ˈɨ	1.0
ˈɐ_j	ˈe	1.0
ˈũ	ˈu	1.0
ˈo_β	ˈu_p	1.0
ˈo_w	ˈa_v	1.0
ˈẽ	ˈi_n	1.0
ɾ_u	r_u	1.0
ɡ	ɡ	1.0
ɔ	-	1.0
ɐ̃	-	1.0
ɐ_#>	#>	1.0
ð_u_#>	t_#>	1.0
ð	t	1.0
z	ʦ	1.0
v_ɨ	w_ə	1.0
v_u	w	1.0
ũ	b_u	1.0
s_ˈa	ʃ	1.0
s_ɨ	s_i	1.0
p_ˈɛ	k_e̯ˈa	1.0
o	-	1.0
k_ˈɔ	k_o̯ˈa	1.0
k	k	1.0
j̃	-	1.0
j_t	p_t	1.0
i_ʃ	s	1.0
i	i	1.0
ẽ	i_n	1.0
<#_ˈo	<#_ˈo	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#	<#_a	1.0
#>	ə_#>	1.0
ˈa	ˈa	0.923
p	p	0.889
ɣ	k	0.857
u_#>	#>	0.857
m	m	0.852
ˈu	ˈu	0.846
u	u	0.781
ɲ	n	0.778
n	n	0.778
l	l	0.75
b	b	0.75
ˈi	ˈi	0.737
ɐ	ə	0.714
d	d	0.714
ɨ	i	0.667
t	t	0.65
ʃ_#>	#>	0.636
β	t_ˈi	0.6
ˈõ	ˈu_n	0.6
f	f	0.583
ʒ	ʤ	0.571
ʁ	r	0.571
ʎ	k_ʎ	0.556
ˈɔ	ˈo	0.5
ˈɔ	o̯ˈa	0.5
ɫ	r_i	0.5
ɫ	e	0.5
w̃	n_i	0.5
w̃	n	0.5
w	r	0.5
w	-	0.5
<#_ˈa	<#_ˈa	0.5
<#_ˈa	<#	0.5
ɾ	r	0.484
j	-	0.462
ʎ	ʎ	0.444
s	s	0.444
ˈe	e̯ˈa	0.435
ˈɛ	ˈe	0.429
ʒ	ʣ	0.429
ʁ	a_r	0.429
f	ç	0.417
β	p	0.4
ˈõ	ˈu	0.4
ˈo	ˈo	0.4
ʃ_#>	j_#>	0.364
ˈɛ	ˈa	0.357
ˈɐ	e̯ˈa	0.357
ɾ	r_i	0.355
ˈo	ˈu	0.32
v	j	0.318
j	i	0.308
ˈɐ	ˈa	0.286
d	ʣ	0.286
ʃ	s	0.278
v	v	0.273
ˈi	-	0.263
s	ʃ	0.259
l	-	0.25
b	-	0.25
j	n	0.231
v	b	0.227
ɲ	-	0.222
s	ʦ	0.222
n	m_n	0.222
ˈe	ˈe	0.217
ˈɛ	e̯ˈa	0.214
ˈɐ	ˈi	0.214
ˈo	o̯ˈa	0.2
v	-	0.182
ˈe	r	0.174
ˈe	i_r	0.174
ʃ	ʦ_i	0.167
ʃ	f_l	0.167
ʃ	-	0.167
ɨ	ə	0.167
ɨ	-	0.167
u	ə	0.156
ˈu	o̯ˈa	0.154
t	ʦ	0.15
m	ɲ	0.148
ˈɐ	ˈɨ	0.143
ɣ	-	0.143
u_#>	r_#>	0.143
ɾ	i	0.129
ʃ	p_l	0.111
ʃ	k	0.111
p	k	0.111
ɐ	i	0.102
t	n_t	0.1
t	m_t	0.1
ɐ	ˈa	0.082
ˈo	ˈa	0.08
ˈa	-	0.077
s	t	0.074
u	i	0.062
ɐ	n_ə	0.061
