American English	American English	probability
ˈʌɪ̯	h	1.0
ˈɪ	ˈi	1.0
ˈɝ	ˈɔ_r	1.0
ˈɛə̯	ˈa	1.0
ˈɔ_ɹ	r	1.0
ˈɔ	ˈɔ	1.0
ˈæ	ˈa	1.0
ˈu	-	1.0
ʃ	s_k	1.0
ɾ	t	1.0
ə	-	1.0
ð	θ	1.0
t	t	1.0
s_ˈɛ	s_ˈi	1.0
s_t	s_t	1.0
s	s	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j	j	1.0
i	-	1.0
h	h	1.0
d_#>	#>	1.0
b	b	1.0
<#_θ	<#_θ	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɹ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_tʰ	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_d	<#_d	1.0
#>	s_#>	0.952
w	w	0.895
ɹ	r	0.889
f	f	0.889
ˈoʊ̯	ˈɛː	0.778
ʔ	t	0.769
ɫ	l	0.75
θ	θ	0.6
ˈʊ	ˈu	0.6
<#	<#_h	0.6
ŋ	ŋ_ɡ	0.571
v	β	0.571
ˈɑ	ˈa	0.556
ˈʌ	ˈu	0.5
ˈeɪ̯	ˈa	0.5
ˈaʊ̯	ˈuː	0.5
ˈaɪ̯	ˈi	0.5
d	θ	0.455
d	d	0.455
ŋ	ŋ	0.429
v	f	0.429
θ	θ_u	0.4
ˈʊ	ˈoː	0.4
<#	<#_ˈu	0.4
ɚ	r	0.389
ˈɛ	-	0.375
ˈaʊ̯	ˈu	0.375
ɚ	a_r	0.333
ˈɛ	ˈa	0.312
ˈaɪ̯	ˈiː	0.3
ˈeɪ̯	ˈi_ɡ	0.25
ˈeɪ̯	ˈa_h	0.25
ʔ	t_a	0.231
ˈɑ	ˈɛ	0.222
ˈɑ	-	0.222
ˈoʊ̯	ˈa	0.222
ˈi	ˈiu̯	0.217
ˈaɪ̯	ɣ_a	0.2
ˈɛ	ˈɔ	0.188
ˈi	ˈi	0.174
ˈi	ˈeː	0.174
ˈʌ	ˈoː	0.167
ˈʌ	n	0.167
ˈʌ	h	0.167
ɚ	a	0.167
ɫ	lː	0.15
ˈi	ˈɔː	0.13
ˈi	ˈiː_s	0.13
ˈɛ	ˈi	0.125
ˈaʊ̯	ɡʷː	0.125
ɹ	-	0.111
ɚ	oː	0.111
f	l_b	0.111
w	-	0.105
ɫ	ɡ_l	0.1
d	θ_iː	0.091
ˈi	ˈɔː_s	0.087
ˈi	ˈa	0.087
