Russian	Proto-Balto-Slavic	probability
ˈʉ	j_áu̯	1.0
ˈɨ	úːˀ	1.0
ˈɛ	ái̯	1.0
ˈæ	k_i	1.0
ˈo_n	áu̯ˀ	1.0
ˈe_r	r	1.0
ʐ̊	ŋ_ɡ	1.0
ʐ	ɡ	1.0
ʂ	k	1.0
ɪ_mʲ	óː	1.0
ɡ̊	-	1.0
ɡʲ	ɡ	1.0
ɡ	ɡ	1.0
ɐ_dʲ	ai̯ˀ	1.0
zʲ	zʲ	1.0
xʲ	ʃ	1.0
x	ʃ	1.0
vʲ	w	1.0
v	w	1.0
t	t	1.0
sʲ	sʲ	1.0
pʲ	p	1.0
p	p	1.0
mʲ	m	1.0
lʲ	l	1.0
kʲ	-	1.0
j	s	1.0
fʲ	j_a	1.0
e	e_s	1.0
dʲ	d	1.0
b̥	m_b	1.0
bʲ	b	1.0
b	b	1.0
m	m	0.816
k	k	0.815
z	zʲ	0.806
d	d	0.753
ˈu	á	0.747
ʨ	k	0.742
r	r	0.737
n	n	0.737
rʲ	r	0.734
ɫ	l	0.726
ɐ	a	0.687
ˈi	-	0.653
ʦ	k	0.619
d̥	d	0.574
ɪ	-	0.57
ɨ	a	0.57
ˈa	áːˀ	0.543
ˈɵ	i	0.539
ɪ_j	u_s	0.5
ɪ_j	s	0.5
ə	aːˀ	0.488
s	s	0.472
ˈɵ	é	0.461
tʲ	t_ei̯	0.448
ˈe	é	0.441
d̥	d_a	0.426
ˈo	á	0.421
ʊ	au̯	0.408
ɨ	-	0.39
ʊ	-	0.388
ʦ	-	0.381
tʲ	t	0.325
ɐ	-	0.313
ə	a	0.308
ɪ	e	0.306
s	-	0.278
ɫ	lˀ	0.274
rʲ	r_í	0.266
n	n_a	0.263
ˈo	a	0.258
ʨ	k_t	0.258
ˈu	ŋˀ	0.253
s	sʲ	0.25
d	-	0.247
ˈe	-	0.241
tʲ	-	0.227
ˈo	-	0.211
ʊ	nˀ	0.204
ə	-	0.204
ˈe	eːˀ	0.2
z	z	0.194
k	-	0.185
m	m_a	0.184
ˈi	iː	0.174
ˈi	éi̯ˀ	0.174
ˈa	aːˀ	0.171
ˈa	-	0.17
r	r_a	0.135
r	rˀ	0.128
ɪ	ai̯	0.124
ˈe	ɛ	0.119
ˈa	oː	0.06
ˈo	é	0.056
ˈo	í	0.054
