Yiddish	Yiddish	probability
ˈɔ_ʀ	ˈu_r	1.0
ˈaɪ̯_ə	ˈyː	1.0
ˈa_ʀ	r	1.0
ʧ	ʃː	1.0
ʦ	ʦ	1.0
ʃ_#>	ʃː_#>	1.0
ʀ	r	1.0
ɪ	i	1.0
ɛ	-	1.0
ə_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z	z̥	1.0
v	ʋ	1.0
t_ʀ	tː_r	1.0
t_ə	tː_ə	1.0
n_t	ŋ	1.0
n_#>	#>	1.0
m	m	1.0
k_#>	ɡ̊_#>	1.0
j	j	1.0
h	h	1.0
f_n	fː_ə	1.0
d_#>	#>	1.0
a	ə	1.0
<#_ʀ	<#_r	1.0
<#	<#_ɡ̊	1.0
ɫ	l	0.979
ɡ	ɡ̊	0.931
b	b̥	0.923
d	d̥	0.92
t	tː	0.913
χ	χː	0.909
ʃ	ʒ̊	0.905
ˈa	ˈɒ	0.812
s	sː	0.792
ə	ə	0.767
ˈɛɪ̯	ˈæi̯	0.714
f	v̥	0.694
ˈɛ	ˈæ	0.6
n	n	0.582
ˈɪ	ˈi	0.523
ˈʊ	ˈu	0.5
ˈaɪ̯	ˈiː	0.5
p	p͡f	0.5
p	pː	0.5
k	ɣ̊	0.478
ˈʊ	ˈuə̯	0.385
ˈɔ	ˈɒː	0.375
n	ə	0.373
ˈɔɪ̯	ˈuː	0.37
k	kː	0.348
ˈɔ	ˈo	0.312
ˈɔɪ̯	ˈoː	0.296
ˈɛɪ̯	-	0.286
ˈɔɪ̯	ˈau̯	0.259
ˈaɪ̯	ˈyː	0.25
ˈaɪ̯	-	0.25
f	fː	0.25
ə	-	0.233
s	ʃː	0.208
k	χː	0.174
ˈɪ	ˈyː	0.159
ˈɪ	ˈy	0.159
ˈɔ	ˈɒ	0.156
ˈɛ	ˈø	0.133
ˈɛ	ˈæː	0.133
ˈʊ	-	0.115
ʃ	ʃː	0.095
ˈɔ	ˈoː	0.094
ˈa	ˈæ	0.094
ˈa	-	0.094
χ	-	0.091
t	d̥	0.087
d	-	0.08
b	-	0.077
ˈɔɪ̯	-	0.074
ɡ	-	0.069
ˈɪ	ˈyə̯	0.068
ˈɛ	ˈøː	0.067
ˈɛ	ˈe	0.067
ˈɔ	ˈu	0.062
f	p͡f	0.056
