Proto-Germanic	Eastphalian	probability
θ_ɑ	d̥	1.0
β_ɑ̃	v̥	1.0
β_ɑ	f	1.0
ˈɛː	ˈɒː	1.0
ˈɑː	ˈɒː	1.0
ˈɑ_ɣ	ˈɛ	1.0
ˈuː	ˈuː	1.0
ˈu_ŋ	ˈʊ	1.0
ˈĩː	ˈɪ	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈyː	1.0
ˈi_ŋ	ˈɪ	1.0
ˈeː	ˈiː	1.0
ˈeu̯	ˈɛɪ̯	1.0
ɸ	f	1.0
ɣ_j	ɡ	1.0
ɡʷ	ŋ	1.0
ɡ	ŋ	1.0
ɛː	ɐ	1.0
ɔːu̯	ə	1.0
ɔː	-	1.0
ɑ_n	m	1.0
ŋ	ŋ	1.0
ð_ɛː	d	1.0
ð_ɑ	d̥	1.0
ð_i	d̥	1.0
z	-	1.0
wː	ˈuː	1.0
tː	t	1.0
t_ɑ	t	1.0
t	t	1.0
s_ɑ̃	z̥	1.0
s_k	ʃ	1.0
r_ɑ̃	ɐ	1.0
r_ɑ	ɐ	1.0
r_u	ɐ	1.0
r_i	ɐ	1.0
pː	p	1.0
nː	n	1.0
n_θ	n	1.0
n_d	n	1.0
mː	-	1.0
m_ɑ	m	1.0
m_b	m	1.0
lː	-	1.0
l_ɑ	l	1.0
l	l	1.0
kʷ	k	1.0
k_s	k	1.0
k	k	1.0
jː	ˈɛɪ̯	1.0
i_z	ə	1.0
i	-	1.0
e_x	ɒː	1.0
e_r	ɐ	1.0
d_ɑ	d̥	1.0
d_u	d̥	1.0
b	b	1.0
n	n	0.955
j	-	0.892
ɑ	-	0.859
m	m	0.858
ɔ̃ː	ə	0.854
p	p	0.818
d	d	0.794
u	-	0.792
ˈɑi̯	ˈɛɪ̯	0.773
ˈɑu̯	ˈeo̯	0.736
ˈi	ˈɪ	0.693
β	v	0.677
iː	-	0.669
ɣ	ɣ	0.654
ɔːː	ə	0.615
w	v	0.6
xʷ	v	0.56
r	r	0.55
x	h	0.51
ɣ_ɑ	ŋ	0.506
s	z	0.506
θ	d	0.503
ˈɑ	ˈa	0.502
ˈɔː	ˈaʊ̯	0.472
s	s	0.453
xʷ	-	0.44
r	ɐ	0.422
ˈɔː	ˈɔʏ̯	0.413
ɔːː	-	0.385
ð	-	0.383
ð	d	0.375
ɣ	j	0.346
iː	ə	0.331
β	-	0.323
θ	-	0.305
ˈɑu̯	ˈøː	0.264
ˈu	ˈʊ	0.254
ð	d̥	0.242
ˈu	ˈɔ	0.239
ˈe	ˈeː	0.235
ˈe	-	0.227
ɣ_ɑ	ç	0.225
ˈe	ˈɛ	0.214
u	ə	0.208
w	-	0.207
x	-	0.206
d	d̥	0.206
ˈu	ˈʏ	0.202
w	w	0.193
θ	d̥	0.192
ˈu	ˈoː	0.19
p	b	0.182
ɣ_ɑ	x	0.18
ˈɑi̯	-	0.175
x	ç	0.159
ˈi	ˈiː	0.152
ˈe	ˈɛː	0.149
ˈɑ	ˈɒː	0.148
ɔ̃ː	-	0.146
m	-	0.142
x	x	0.125
ˈe	ˈa	0.118
ˈɔː	ˈʊ	0.115
ˈu	ˈœ	0.114
j	j	0.108
ɑ	ə	0.102
ɣ_ɑ	ɣ̊	0.089
ˈi	-	0.086
ˈɑ	ˈɛ	0.081
ˈɑ	-	0.081
ˈɑ	ˈaː	0.072
ˈi	ˈʏ	0.069
ˈɑ	ˈɛː	0.068
ˈe	ˈɪ	0.057
ˈɑi̯	ˈaɪ̯	0.052
ˈɑ	ˈɔ	0.05
