Swedish	Swedish	probability
ˈʏ	ˈɪ	1.0
ˈʊ	ˈʌ	1.0
ˈɛː_#>	ˈi_#>	1.0
ˈœː	ˈi	1.0
ˈæː	ɹ	1.0
ˈeː_n	ˈoʊ̯_n	1.0
ˈeː_#>	ˈi_#>	1.0
ˈa_l	ˈæ	1.0
ʈː	ɹ_ʔ	1.0
ʈ	t	1.0
ʂ	ˈɝ_s	1.0
ɵ	-	1.0
ɳ	ɹ_n	1.0
ɪ	i	1.0
ɡː	ʤ	1.0
ɡ_a_#>	ˈaɪ̯_#>	1.0
ɡ_#>	#>	1.0
ɛ_r	ɚ	1.0
ɛ_#>	#>	1.0
ɖ	d	1.0
ɕ	θ	1.0
ŋː	ŋ	1.0
v_ɛ	v	1.0
v_a	v	1.0
v_#>	f_#>	1.0
t_ɛ	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s_a	z	1.0
s	s	1.0
rː	-	1.0
r_a	ɚ	1.0
r_#>	#>	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
kʰ_n	n	1.0
kʰ	kʰ	1.0
jː	ˈeɪ̯	1.0
j_ˈʉː	d_ˈi	1.0
h	h	1.0
f	f	1.0
d_ˈøː	d_ˈɛ	1.0
d_r	d_ɹ	1.0
d_#>	θ_#>	1.0
b	b	1.0
<#_ˈɵ	<#_ˈʌ	1.0
<#_ɡ	<#_ɡ	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
a	-	0.946
d	d	0.935
v	w	0.905
n	n	0.875
tː	ʔ	0.75
#>	d_#>	0.75
t	ʔ	0.72
k	k	0.714
ˈœ	ˈi	0.667
ˈyː	-	0.667
ŋ	-	0.667
kː	k	0.667
l	ɫ	0.645
ˈɛː	-	0.571
ˈɪ	ˈɪ	0.562
tʰ	tʰ	0.556
ˈɑː	ˈeɪ̯	0.538
ˈøː	ˈi	0.5
ˈeː	ˈɪ	0.5
ˈeː	ˈoʊ̯	0.5
ɧ	ʃ	0.5
ɧ	s	0.5
ɡ	j	0.5
ɡ	-	0.5
r	ɹ	0.5
r	ɚ	0.5
j	-	0.5
<#	<#_w	0.5
<#	<#_j	0.5
ˈɛ	ˈɛ	0.474
tʰ	θ	0.444
ˈʉː	ˈaʊ̯	0.438
ˈɛː	ˈoʊ̯	0.429
ˈiː	ˈaɪ̯	0.429
ɛ	-	0.429
ˈɔ	ˈʌ	0.375
ˈɔ	-	0.375
ˈœ	-	0.333
ˈyː	ˈi	0.333
ŋ	ŋ	0.333
kː	ŋ	0.333
ˈʉː	-	0.312
j	ɡ	0.3
ˈoː	ˈi	0.294
l	l	0.29
ɛ	ɡ	0.286
ɛ	ə	0.286
t	t	0.28
ˈɪ	ˈaɪ̯	0.25
ˈɔ	ˈɔ	0.25
ˈa	ˈɛə̯	0.25
ˈa	ˈɑ	0.25
tː	ɾ	0.25
#>	θ_#>	0.25
ˈoː	ˈu	0.235
ˈɵ	ˈʌ	0.231
ˈɵ	ˈɪ	0.231
ˈɵ	ˈaʊ̯	0.231
ˈuː	ˈʊ	0.231
ˈuː	ˈu	0.231
ˈuː	ˈaʊ̯	0.231
ˈøː	ˈɛ	0.222
ˈiː	ˈʌɪ̯	0.214
ˈiː	ˈɪ	0.214
ˈɛ	-	0.211
ˈa	-	0.2
j	h	0.2
ˈɪ	-	0.188
ˈoː	ˈʌ	0.176
ˈoː	ˈoʊ̯	0.176
ˈøː	-	0.167
ˈɵ	w_ˈʊ	0.154
ˈɵ	-	0.154
ˈɑː	ˈɛ	0.154
ˈɑː	ˈɑ	0.154
ˈɑː	ˈæ	0.154
ˈuː	ˈʌ_ð	0.154
ˈuː	ˈɔ	0.154
ˈiː	ˈi	0.143
k	ʧ	0.143
k	-	0.143
ˈʉː	ˈɛ	0.125
ˈʉː	ˈɑ	0.125
n	-	0.125
ˈoː	-	0.118
ˈøː	ˈoʊ̯	0.111
ˈɛ	ˈʌɪ̯	0.105
ˈɛ	ˈɪ	0.105
ˈɛ	ˈæ	0.105
ˈa	ˈɔ	0.1
ˈa	ˈæ	0.1
ˈa	ˈeɪ̯	0.1
v	-	0.095
l	-	0.065
d	ˈɛ	0.065
a	k	0.054
