Emilian	Emilian	probability
ˈʌu̯_r	ˈo_r	1.0
ˈɛ_v	ˈa_p	1.0
ˈɛ_t	ˈɛ_tː	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈɛ_r	ˈɛ_rː	1.0
ˈɛ_d	ˈa_d	1.0
ˈɛ_#>	ˈa_#>	1.0
ˈɔ	ˈɔ	1.0
ˈi	ˈi	1.0
ˈaː_t	ˈa_tː	1.0
ˈa_ŋ	ˈa_n	1.0
ʧ	kː_j	1.0
ʤ	ɡ_j	1.0
ŋ_#>	n_o_#>	1.0
w	w	1.0
u_l	o_l	1.0
s_e	ʃː_e	1.0
s_#>	sː_o_#>	1.0
r_t	r_t	1.0
r_e	r_n	1.0
r_#>	e_#>	1.0
p_#>	p_o_#>	1.0
p	p	1.0
o	o	1.0
n_d	n	1.0
n_#>	o_#>	1.0
m	m	1.0
k_#>	k_o_#>	1.0
e_r	r_o	1.0
d_#>	d_o_#>	1.0
a_v	a_p	1.0
a_r	e_r	1.0
a_l	a_l	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ʧ	<#_k_j	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
f	f	0.958
r	r	0.957
s	s	0.935
k	k	0.902
b	b	0.882
ˈaː	ˈa	0.875
v	v	0.867
n	n	0.857
t	t	0.788
ð	ʤ	0.786
ˈʌu̯	ˈo	0.778
ɲ	ɲː	0.778
ˈɛː	ˈɛ	0.75
ˈiː	ˈi	0.75
ˈɛ	ˈa	0.727
ˈo	ˈu	0.722
ˈæ	ˈɛ	0.714
ɡ	ɡ	0.714
l	l	0.714
ˈʌ	ˈo	0.7
u	o	0.7
i	i	0.667
e	e	0.667
ˈɔː	ˈɔ	0.65
ˈe	ˈi	0.65
θ	ʧ	0.647
ˈa	ˈe	0.632
ˈa_j	ˈe	0.625
d	d	0.621
j	j	0.6
ŋ	n	0.586
#>	e_#>	0.514
ˈuː	ˈu	0.5
#>	o_#>	0.486
z	ʧ_e	0.455
j	ʎː	0.4
ˈa_j	ˈe_r	0.375
d	t	0.345
ˈuː	ˈɔ	0.333
i	-	0.333
e	r	0.333
ˈʌ	-	0.3
u	u	0.3
ˈæ	ˈe	0.286
l	lː	0.286
ˈɛ	ˈɛ	0.273
ˈa	ˈa	0.263
ˈɛː	-	0.25
ˈɔː	w_ˈɔ	0.25
ˈiː	ˈe	0.25
ŋ	ŋ	0.241
θ	ʧː	0.235
ˈʌu̯	ˈu	0.222
ɲ	-	0.222
t	tː	0.212
ˈe	-	0.2
ɡ	k	0.19
z	ʧ	0.182
z	z_o	0.182
z	s	0.182
ˈuː	ˈo	0.167
ˈo	ˈɔ	0.167
ˈe	ˈe	0.15
ð	-	0.143
n	nː	0.143
ˈaː	-	0.125
θ	ʦ	0.118
b	bː	0.118
ˈo	-	0.111
ˈa	-	0.105
ŋ	-	0.103
ˈɔː	-	0.1
k	kː	0.098
ɡ	i_k	0.095
ð	ʣː	0.071
ŋ	m	0.069
v	p	0.067
v	-	0.067
s	s_e	0.065
