Swiss German	Swiss German	probability
χː_ə	k	1.0
χː_tː	ʔ	1.0
ˈɒ_χː	ˈʌɪ̯	1.0
ˈɒ_l	ˈæ	1.0
ˈøː	ˈi	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈæ_ɡ̊	ˈeɪ̯	1.0
ˈyː_ɡ̊	ˈaɪ̯	1.0
ˈyː_#>	ˈi_#>	1.0
ˈyə̯	ˈi	1.0
ˈu_r	ˈɝ	1.0
ˈiː_tː	ˈaɪ̯_d	1.0
ˈeː_#>	ˈoʊ̯_#>	1.0
ˈeː	ˈi	1.0
ˈei̯	ˈi	1.0
ˈe	ˈɛ	1.0
ʒ̊_l	s_l	1.0
ʃː_#>	ʃ_#>	1.0
ɡ̊_l	ɫ	1.0
ɡ̊_#>	#>	1.0
ə_r	ɚ	1.0
ŋ_#>	n_d_#>	1.0
ŋ	ŋ	1.0
æ	i_n	1.0
w	ˈoʊ̯	1.0
v̥_ˈo	f	1.0
v̥	f	1.0
tː_ˈyː	d_ˈi	1.0
tː_ˈoː	d_ˈɛ	1.0
tː_ə	ð	1.0
tː_r	d_ɹ	1.0
sː_ə	ɾ	1.0
p͡f	pʰ	1.0
pː	-	1.0
m	m	1.0
j	j	1.0
h	h	1.0
d̥_ə	ð	1.0
d̥_l	d_ɫ	1.0
b̥_ə	v	1.0
b̥_#>	f_#>	1.0
<#_ˈu	<#_ˈʌ	1.0
<#_ɡ̊	<#	1.0
<#_tː	<#_d	1.0
<#_l	<#_l	1.0
<#_d̥	<#_θ	1.0
#>	f_#>	1.0
b̥	b	0.909
n	n	0.905
ʋ	w	0.897
ə	-	0.893
z̥	s	0.893
ˈuː	ˈaʊ̯	0.8
sː	ʔ	0.789
ɡ̊	ɡ	0.75
fː	p	0.75
<#_r	<#_ɹ	0.75
ˈau̯	ˈi	0.714
i	i	0.714
l	ɫ	0.69
d̥	d	0.688
ɣ̊	kʰ	0.636
ʒ̊	s	0.611
ˈiə̯	ˈi	0.6
ˈi	ˈɪ	0.565
ˈæ	ˈɛ	0.556
ˈy	ˈɪ	0.556
ˈæi̯	ˈoʊ̯	0.545
χː	k	0.533
ˈøi̯	ˈu	0.5
ˈøi̯	-	0.5
ˈyː	ˈaɪ̯	0.5
ʦ	tʰ	0.5
ʃː	s	0.5
tː	d	0.469
kː	k	0.455
ˈu	ˈʌ	0.438
r	ɹ	0.411
ˈiː	ˈʌɪ̯	0.4
ˈiə̯	ˈʌɪ̯	0.4
ʒ̊	ʃ	0.389
ˈo	ˈɔ	0.385
ˈoː	ˈʌ	0.364
ɣ̊	ʧ	0.364
kː	ʤ	0.364
tː	t	0.344
r	ɚ	0.339
ˈu	-	0.312
ʦ	ʔ	0.312
d̥	θ	0.312
l	l	0.31
ˈuə̯	ˈʊ	0.3
ˈuə̯	ˈu	0.3
ˈɒː	ˈi	0.286
ˈau̯	-	0.286
i	-	0.286
ˈæi̯	-	0.273
ˈoː	ˈi	0.273
ˈɒ	ˈeɪ̯	0.269
ˈi	ˈaɪ̯	0.261
ˈyː	ˈɪ	0.25
ˈyː	ˈi	0.25
ʃː	ˈɛ_s	0.25
ʃː	ʃ	0.25
fː	v	0.25
<#_r	<#	0.25
ˈo	ˈɑ	0.231
ˈo	-	0.231
ˈy	ˈɛ	0.222
ˈy	-	0.222
ˈɒː	ˈæ	0.214
ˈɒː	ˈeɪ̯	0.214
sː	s	0.211
χː	ʧ	0.2
ˈuː	-	0.2
ˈuə̯	ˈʌ	0.2
ˈuə̯	ˈaʊ̯	0.2
ˈiː	ˈɪ	0.2
ˈiː	ˈaɪ̯	0.2
ˈiː	-	0.2
ˈɒ	ˈɑ	0.192
ʦ	-	0.188
ˈæi̯	ˈoʊ̯_n	0.182
ˈoː	ˈɛ	0.182
ˈoː	-	0.182
kː	-	0.182
ˈi	-	0.174
ˈɒ	-	0.154
ˈo	ˈʊ	0.154
ˈɒː	ˈɛ	0.143
ˈɒː	-	0.143
χː	ˈʌɪ̯	0.133
χː	-	0.133
ˈu	ˈɪ	0.125
ˈu	ˈaʊ̯	0.125
ɡ̊	ˈaɪ̯	0.125
ɡ̊	oʊ̯	0.125
tː	ʔ	0.125
ˈɒ	ˈɛə̯	0.115
ˈɒ	ˈoʊ̯	0.115
ˈæ	ˈɪ	0.111
ˈæ	ˈɑ	0.111
ˈæ	ˈæ	0.111
ˈæ	-	0.111
z̥	z	0.107
ʋ	-	0.103
n	-	0.095
b̥	v	0.091
r	ˈɔ_ɹ	0.089
r	-	0.089
ˈɒ	ˈɔ	0.077
ˈɒ	ˈæ	0.077
r	ˈɝ	0.071
tː	θ	0.062
ə	ə_n	0.054
ə	n	0.054
